Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fantasy Points
1,14967,Le'Veon Bell,RB,16,PIT,BAL,0,0,0,82.1,0.7,6.2,51.7,0.2,24.78
2,7242,Drew Brees,QB,16,NO,TB,307.5,2.3,1,1,0,0,0,0,23.20
3,16847,David Johnson,RB,16,ARI,SEA,0,0,0,73.5,0.6,5.4,50.3,0.2,22.38
4,17923,Ezekiel Elliott,RB,16,DAL,DET,0,0,0,97.9,0.9,2.7,23.5,0.1,20.74
5,11932,LeSean McCoy,RB,16,BUF,MIA,0,0,0,93,0.9,2.9,21.5,0.1,20.15
6,4314,Tom Brady,QB,16,NE,NYJ,278.6,2.4,0.5,1.3,0,0,0,0,20.07
7,11056,Antonio Brown,WR,16,PIT,BAL,0,0,0,0.9,0,7.4,89.7,0.6,19.96
8,732,Matt Ryan,QB,16,ATL,CAR,297.7,2.2,0.8,1.7,0,0,0,0,19.88
9,16597,Mike Evans,WR,16,TB,NO,0,0,0,0,0,6.1,95.4,0.7,19.74
10,14008,Andrew Luck,QB,16,IND,OAK,278.8,1.9,0.9,18.2,0,0,0,0,19.27
11,16389,Odell Beckham Jr,WR,16,NYG,PHI,0,0,0,0.2,0,6.3,88.2,0.6,18.64
12,3807,Ben Roethlisberger,QB,16,PIT,BAL,276.3,2.1,1,3.2,0,0,0,0,18.57
13,2593,Aaron Rodgers,QB,16,GB,MIN,267.7,2,0.9,9.5,0,0,0,0,18.46
14,14536,Russell Wilson,QB,16,SEA,ARI,250.6,1.7,0.8,20.9,0.1,0,0,0,18.41
15,13124,DeMarco Murray,RB,16,TEN,JAX,0,0,0,84.2,0.7,3,22,0.1,18.22
16,16311,Derek Carr,QB,16,OAK,IND,261.2,2,0.6,5.6,0,0,0,0,18.21
17,8244,Philip Rivers,QB,16,SD,CLE,256.3,2.1,0.9,1.4,0,0,0,0,17.69
18,18067,Jordan Howard,RB,16,CHI,WAS,0,0,0,85.1,0.6,2.7,22.3,0.1,17.54
19,16762,Jameis Winston,QB,16,TB,NO,271.5,1.8,0.9,6.5,0,0,0,0,17.51
20,16771,Todd Gurley,RB,16,LA,SF,0,0,0,84.1,0.7,2.5,18.5,0.1,17.46
21,13320,Cam Newton,QB,16,CAR,ATL,236.6,1.5,1,19.7,0.2,0,0,0,17.33
22,18055,Dak Prescott,QB,16,DAL,DET,241.8,1.6,0.7,15.4,0.1,0,0,0,17.31
23,14252,Kirk Cousins,QB,16,WAS,CHI,281.1,1.6,0.8,4.5,0,0,0,0,17.09
24,12831,Tyrod Taylor,QB,16,BUF,MIA,212,1.4,0.8,26.9,0.2,0,0,0,16.87
25,16763,Marcus Mariota,QB,16,TEN,JAX,226.4,1.5,0.7,19.8,0.1,0,0,0,16.74
26,4556,Jordy Nelson,WR,16,GB,MIN,0,0,0,0,0,5.6,76.1,0.6,16.71
27,14005,TY Hilton,WR,16,IND,OAK,0,0,0,0.3,0,5.3,83.2,0.5,16.55
28,8355,Julian Edelman,WR,16,NE,NYJ,0,0,0,2.1,0,6.3,70.5,0.5,16.46
29,9038,Matthew Stafford,QB,16,DET,DAL,271,1.6,0.8,2.6,0,0,0,0,16.40
30,13443,Colin Kaepernick,QB,16,SF,LA,194.4,1.3,0.9,33.9,0.2,0,0,0,16.37
31,4932,Eli Manning,QB,16,NYG,PHI,251.9,1.8,1,1.6,0,0,0,0,16.14
32,16245,Blake Bortles,QB,16,JAX,TEN,246.7,1.5,1.2,15.7,0,0,0,0,16.04
33,13291,Julio Jones,WR,16,ATL,CAR,0,0,0,0.1,0,5.2,77.4,0.5,15.95
34,5571,Larry Fitzgerald,WR,16,ARI,SEA,0,0,0,0.1,0,6.5,70.6,0.4,15.87
35,13460,Doug Baldwin,WR,16,SEA,ARI,0,0,0,0.1,0,5.8,70.5,0.5,15.86
36,1658,Greg Olsen,TE,16,CAR,ATL,0,0,0,0,0,5.7,70.9,0.5,15.79
37,9331,Michael Crabtree,WR,16,OAK,IND,0,0,0,0.1,0,5.5,66.2,0.6,15.73
38,11197,Demaryius Thomas,WR,16,DEN,KC,0,0,0,0,0,6,73.9,0.4,15.69
39,11611,Golden Tate,WR,16,DET,DAL,0,0,0,1.8,0,6.2,69.6,0.4,15.64
40,16765,Amari Cooper,WR,16,OAK,IND,0,0,0,0.6,0,5.2,72.4,0.5,15.50
41,12800,Bilal Powell,RB,16,NYJ,NE,0,0,0,54.9,0.3,4.6,32,0.1,15.49
42,12845,AJ Green,WR,16,CIN,HOU,0,0,0,0.2,0,5.6,75.4,0.4,15.46
