Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fantasy Points
1,14967,Le'Veon Bell,RB,12,PIT,IND,0,0,0,86.9,0.6,6.4,55.9,0.4,26.48
2,11056,Antonio Brown,WR,12,PIT,IND,0,0,0,1.3,0,8.1,101.8,0.7,25.51
3,16847,David Johnson,RB,12,ARI,ATL,0,0,0,83.9,0.8,5.2,49,0.2,24.29
4,17923,Ezekiel Elliott,RB,12,DAL,WAS,0,0,0,103.9,0.9,2.4,22.4,0.1,23.83
5,7242,Drew Brees,QB,12,NO,LA,304.7,2.2,0.8,0.9,0,0,0,0,22.98
6,16909,Jay Ajayi,RB,12,MIA,SF,0,0,0,106.5,0.9,1.6,11.2,0.1,22.27
7,16389,Odell Beckham Jr,WR,12,NYG,CLE,0,0,0,0,0,7.2,96.6,0.7,20.96
8,4314,Tom Brady,QB,12,NE,NYJ,280.7,2.4,0.7,1.3,0,0,0,0,19.96
9,16776,Melvin Gordon,RB,12,SD,HOU,0,0,0,83.4,0.7,3.8,30.8,0.1,19.82
10,3807,Ben Roethlisberger,QB,12,PIT,IND,287.7,2.2,0.8,1.6,0,0,0,0,19.47
11,2593,Aaron Rodgers,QB,12,GB,PHI,277.7,2,1,16.3,0,0,0,0,19.44
12,18055,Dak Prescott,QB,12,DAL,WAS,254.9,2,0.5,12.6,0.1,0,0,0,19.26
13,14536,Russell Wilson,QB,12,SEA,TB,262.7,2.1,0.6,11.1,0,0,0,0,19.02
14,13124,DeMarco Murray,RB,12,TEN,CHI,0,0,0,86.7,0.7,3.1,23,0.1,18.67
15,16311,Derek Carr,QB,12,OAK,CAR,267.5,2,0.7,7.6,0,0,0,0,18.56
16,11932,LeSean McCoy,RB,12,BUF,JAX,0,0,0,81.5,0.9,2.6,17.8,0.1,18.43
17,16765,Amari Cooper,WR,12,OAK,CAR,0,0,0,0.2,0,6.5,82.5,0.6,18.37
18,16763,Marcus Mariota,QB,12,TEN,CHI,251.4,1.8,0.8,14.4,0.1,0,0,0,18.30
19,13291,Julio Jones,WR,12,ATL,ARI,0,0,0,0.3,0,6,87,0.6,18.23
20,13320,Cam Newton,QB,12,CAR,OAK,237.3,1.4,0.8,30,0.2,0,0,0,18.19
21,14252,Kirk Cousins,QB,12,WAS,DAL,278.8,1.8,0.7,4.9,0,0,0,0,17.84
22,5571,Larry Fitzgerald,WR,12,ARI,ATL,0,0,0,0.2,0,7.1,78,0.5,17.82
23,4932,Eli Manning,QB,12,NYG,CLE,264.8,2,0.8,1.7,0,0,0,0,17.76
24,16597,Mike Evans,WR,12,TB,SEA,0,0,0,0,0,5.4,82.4,0.6,17.24
25,732,Matt Ryan,QB,12,ATL,ARI,258.9,1.8,0.7,6.2,0,0,0,0,17.18
26,9038,Matthew Stafford,QB,12,DET,MIN,259.1,1.7,0.9,8.4,0,0,0,0,16.80
27,2428,Carson Palmer,QB,12,ARI,ATL,277.7,1.7,1.1,1.3,0,0,0,0,16.64
28,16263,Allen Robinson,WR,12,JAX,BUF,0,0,0,0,0,6.1,81.6,0.4,16.56
29,13443,Colin Kaepernick,QB,12,SF,MIA,215.4,1.4,1,30.2,0.1,0,0,0,16.54
30,4556,Jordy Nelson,WR,12,GB,PHI,0,0,0,0,0,5.8,77.6,0.5,16.46
31,12831,Tyrod Taylor,QB,12,BUF,JAX,215.8,1.3,0.5,25.9,0.1,0,0,0,16.32
32,11270,Dez Bryant,WR,12,DAL,WAS,0,0,0,0,0,4.4,70.2,0.8,16.22
33,15100,Jordan Reed,TE,12,WAS,DAL,0,0,0,0,0,6.3,68.8,0.5,16.08
34,17920,Carson Wentz,QB,12,PHI,GB,266.9,1.5,1,6.8,0,0,0,0,16.06
35,13799,Ryan Tannehill,QB,12,MIA,SF,226,1.7,0.7,10.7,0,0,0,0,16.01
36,15261,Spencer Ware,RB,12,KC,DEN,0,0,0,79.6,0.5,2.5,21.4,0.1,16
37,16568,Brandin Cooks,WR,12,NO,LA,0,0,0,2.2,0,5.1,71.5,0.6,15.97
38,11527,Sam Bradford,QB,12,MIN,DET,251.7,1.6,0.6,0.6,0,0,0,0,15.73
39,17050,Thomas Rawls,RB,12,SEA,TB,0,0,0,70.1,0.6,2.6,19.9,0.1,15.70
40,13460,Doug Baldwin,WR,12,SEA,TB,0,0,0,0,0,5.2,69,0.6,15.70
41,8244,Philip Rivers,QB,12,SD,HOU,257.3,1.6,0.9,0.8,0,0,0,0,15.67
42,8649,Rashad Jennings,RB,12,NYG,CLE,0,0,0,66.5,0.5,3,24.6,0.1,15.61
43,1658,Greg Olsen,TE,12,CAR,OAK,0,0,0,0,0,5.7,74.2,0.4,15.52
44,13103,Scott Tolzien,QB,12,IND,PIT,245.8,1.3,1.1,10.9,0.1,0,0,0,15.42
45,14986,DeAndre Hopkins,WR,12,HOU,SD,0,0,0,0,0,5.6,73.4,0.4,15.34
46,16762,Jameis Winston,QB,12,TB,SEA,251.4,1.4,1.2,9.2,0,0,0,0,15.18
47,15126,Theo Riddick,RB,12,DET,MIN,0,0,0,39.2,0.2,5,39.5,0.2,15.17
48,16245,Blake Bortles,QB,12,JAX,BUF,246.1,1.4,1.4,14.1,0,0,0,0,15.15
49,14005,TY Hilton,WR,12,IND,PIT,0,0,0,0.2,0,5.1,76.2,0.4,15.14
50,16550,Kelvin Benjamin,WR,12,CAR,OAK,0,0,0,0,0,4.9,72.5,0.5,15.05
51,15974,Jordan Matthews,WR,12,PHI,GB,0,0,0,0.1,0,5.2,67.4,0.5,14.95
52,611,Joe Flacco,QB,12,BAL,CIN,250.5,1.5,1.1,1.2,0,0,0,0,14.84
53,8355,Julian Edelman,WR,12,NE,NYJ,0,0,0,3.6,0,5.7,64.5,0.4,14.81
54,11667,Brandon Marshall,WR,12,NYJ,NE,0,0,0,0,0,5.1,73,0.4,14.80
55,16020,Jarvis Landry,WR,12,MIA,SF,0,0,0,1.7,0,5.8,64.1,0.4,14.68
56,13693,Terrelle Pryor,WR,12,CLE,NYG,0,0,0,1.7,0,5,71.9,0.4,14.66
57,16524,Devonta Freeman,RB,12,ATL,ARI,0,0,0,60.9,0.5,2.9,22.3,0.1,14.62
58,5820,Frank Gore,RB,12,IND,PIT,0,0,0,66.2,0.5,2.5,19.6,0.1,14.58
59,9331,Michael Crabtree,WR,12,OAK,CAR,0,0,0,0.1,0,5.6,65.7,0.4,14.58
60,13791,Lamar Miller,RB,12,HOU,SD,0,0,0,75.8,0.4,2.4,16.7,0.1,14.55
61,5282,Josh McCown,QB,12,CLE,NYG,240.2,1.4,1.2,6.3,0,0,0,0,14.44
62,14385,Doug Martin,RB,12,TB,SEA,0,0,0,64.5,0.4,2.8,22.9,0.1,14.44
63,11197,Demaryius Thomas,WR,12,DEN,KC,0,0,0,0,0,5.2,69.4,0.4,14.44
64,2699,Matt Forte,RB,12,NYJ,NE,0,0,0,68.5,0.4,2.6,20.4,0.1,14.29
65,13788,Rishard Matthews,WR,12,TEN,CHI,0,0,0,0,0,4.7,65.2,0.5,14.22
66,12841,Andy Dalton,QB,12,CIN,BAL,232.1,1.3,1,8.8,0,0,0,0,14.06
67,17009,Trevor Siemian,QB,12,DEN,KC,229.2,1.4,1,4.6,0,0,0,0,13.93
68,11063,Emmanuel Sanders,WR,12,DEN,KC,0,0,0,0.3,0,5,71,0.3,13.93
69,17970,Devontae Booker,RB,12,DEN,KC,0,0,0,68.9,0.5,2.1,15,0.1,13.89
70,8283,Ryan Fitzpatrick,QB,12,NYJ,NE,231.6,1.3,1.3,9.1,0,0,0,0,13.77
71,11611,Golden Tate,WR,12,DET,MIN,0,0,0,2.6,0,5.3,58.5,0.4,13.71
72,14053,Brock Osweiler,QB,12,HOU,SD,217.7,1.4,1.1,7.5,0,0,0,0,13.66
73,4358,Steve Smith,WR,12,BAL,CIN,0,0,0,0,0,5.1,67.6,0.3,13.66
74,17960,Michael Thomas,WR,12,NO,LA,0,0,0,0,0,5,60.4,0.4,13.44
75,16668,Carlos Hyde,RB,12,SF,MIA,0,0,0,71.1,0.6,1.7,11.3,0,13.34
76,14918,Tyler Eifert,TE,12,CIN,BAL,0,0,0,0,0,5,59.3,0.4,13.33
77,8532,Kenny Britt,WR,12,LA,NO,0,0,0,0.1,0,4.6,63.8,0.4,13.29
78,18067,Jordan Howard,RB,12,CHI,TEN,0,0,0,67.6,0.3,2.3,19.2,0.1,13.28
79,14141,Cole Beasley,WR,12,DAL,WAS,0,0,0,0,0,4.5,56.4,0.5,13.14
80,16771,Todd Gurley,RB,12,LA,NO,0,0,0,69.2,0.4,2.2,17.8,0,13.10
81,17048,Tyrell Williams,WR,12,SD,HOU,0,0,0,0,0,4.1,58.9,0.5,12.99
82,8529,Mike Wallace,WR,12,BAL,CIN,0,0,0,1,0,4.5,65.3,0.3,12.93
83,7175,Delanie Walker,TE,12,TEN,CHI,0,0,0,0.1,0,4.5,54,0.5,12.91
84,15534,Adam Thielen,WR,12,MIN,DET,0,0,0,0.3,0,4.3,60.6,0.4,12.79
85,11488,Jimmy Graham,TE,12,SEA,TB,0,0,0,0,0,4.6,58.8,0.4,12.78
86,16127,Isaiah Crowell,RB,12,CLE,NYG,0,0,0,53.5,0.4,2.5,19.9,0.1,12.74
87,6739,Alex Smith,QB,12,KC,DEN,213.1,1.1,1,11,0,0,0,0,12.72
88,13227,Randall Cobb,WR,12,GB,PHI,0,0,0,2.4,0,4.9,58.7,0.3,12.71
89,7884,Antonio Gates,TE,12,SD,HOU,0,0,0,0,0,4.6,49.8,0.5,12.58
90,15071,Latavius Murray,RB,12,OAK,CAR,0,0,0,49,0.5,2.4,16.8,0.1,12.48
91,17922,Jared Goff,QB,12,LA,NO,209.2,1.2,0.9,3.9,0,0,0,0,12.46
92,6767,Pierre Garcon,WR,12,WAS,DAL,0,0,0,0.2,0,4.3,56.9,0.4,12.41
93,18451,Rob Kelley,RB,12,WAS,DAL,0,0,0,69,0.6,1.2,7.9,0,12.39
94,16866,Jamison Crowder,WR,12,WAS,DAL,0,0,0,0.6,0,4,52.8,0.5,12.34
95,13337,Mark Ingram,RB,12,NO,LA,0,0,0,53.4,0.3,2.6,19.2,0.1,12.06
96,15048,Travis Kelce,TE,12,KC,DEN,0,0,0,0,0,4.8,53.2,0.3,11.92
97,13275,Kyle Rudolph,TE,12,MIN,DET,0,0,0,0,0,4.6,48.8,0.4,11.88
98,12239,Chris Ivory,RB,12,JAX,BUF,0,0,0,53.2,0.3,2.4,17.6,0.1,11.78
99,17986,Tyler Boyd,WR,12,CIN,BAL,0,0,0,1.4,0,4.7,51,0.3,11.74
100,10974,Rob Gronkowski,TE,12,NE,NYJ,0,0,0,0,0,3.6,50.9,0.5,11.69
101,6198,Darren Sproles,RB,12,PHI,GB,0,0,0,37,0.3,3,25.6,0.1,11.56
102,16141,Willie Snead,WR,12,NO,LA,0,0,0,0,0,4.3,54.9,0.3,11.49
103,16451,Eric Ebron,TE,12,DET,MIN,0,0,0,0,0,4.5,49.9,0.3,11.29
104,16775,Devante Parker,WR,12,MIA,SF,0,0,0,0,0,4.1,53.6,0.3,11.26
105,16470,Davante Adams,WR,12,GB,PHI,0,0,0,0,0,4.2,53,0.3,11.20
106,12296,LeGarrette Blount,RB,12,NE,NYJ,0,0,0,69.5,0.6,0.5,3.4,0,11.19
107,16112,Jeremy Hill,RB,12,CIN,BAL,0,0,0,59.4,0.4,1.7,12.5,0,11.19
108,16232,Donte Moncrief,WR,12,IND,PIT,0,0,0,0.3,0,3.5,52,0.4,11.13
109,722,Jason Witten,TE,12,DAL,WAS,0,0,0,0,0,4.5,48.2,0.3,11.12
110,16142,Terrance West,RB,12,BAL,CIN,0,0,0,58,0.4,1.6,11,0,10.80
111,14856,Zach Ertz,TE,12,PHI,GB,0,0,0,0,0,4.2,46.4,0.3,10.64
112,16200,CJ Fiedorowicz,TE,12,HOU,SD,0,0,0,0,0,4,42,0.4,10.60
113,2262,Tim Hightower,RB,12,NO,LA,0,0,0,42.2,0.3,2.2,17.6,0.1,10.48
114,13870,Marvin Jones,WR,12,DET,MIN,0,0,0,0.1,0,3.2,48.7,0.4,10.48
115,5451,Jonathan Stewart,RB,12,CAR,OAK,0,0,0,65.1,0.4,1,7.1,0,10.42
116,12506,James Starks,RB,12,GB,PHI,0,0,0,44.3,0.2,2.4,16.7,0.1,10.20
117,17290,Adam Humphries,WR,12,TB,SEA,0,0,0,0.3,0,3.9,44.5,0.3,10.18
118,14855,Matt Barkley,QB,12,CHI,TEN,192.2,0.9,1.3,3.6,0,0,0,0,10.15
119,16838,Duke Johnson,RB,12,CLE,NYG,0,0,0,23.1,0.1,3.7,30.4,0.1,10.15
120,3943,DeSean Jackson,WR,12,WAS,DAL,0,0,0,0.1,0,3.4,49.1,0.3,10.12
121,11017,Dennis Pitta,TE,12,BAL,CIN,0,0,0,0,0,4.6,43.1,0.2,10.11
122,17961,Sterling Shepard,WR,12,NYG,CLE,0,0,0,0,0,3.6,46.6,0.3,10.06
123,16834,Tevin Coleman,RB,12,ATL,ARI,0,0,0,31.7,0.2,2.6,25.5,0.1,10.02
124,12800,Bilal Powell,RB,12,NYJ,NE,0,0,0,19.1,0.1,3.7,26.7,0.2,9.98
125,18082,Tyreek Hill,WR,12,KC,DEN,0,0,0,3.8,0,4,42.5,0.2,9.83
126,17167,Cameron Meredith,WR,12,CHI,TEN,0,0,0,0.1,0,4.1,44.9,0.2,9.80
127,17938,Corey Coleman,WR,12,CLE,NYG,0,0,0,0.2,0,3.9,46.7,0.2,9.79
128,16258,Marqise Lee,WR,12,JAX,BUF,0,0,0,0.6,0,3.8,46.2,0.2,9.68
129,37,Buffalo Bills,DST,12,BUF,JAX,0,0,0,0,0,0,0,0,9.60
130,11463,Brandon LaFell,WR,12,CIN,BAL,0,0,0,0.3,0,3.5,48.2,0.2,9.55
131,26,Philadelphia Eagles,DST,12,PHI,GB,0,0,0,0,0,0,0,0,9.40
132,1181,Martellus Bennett,TE,12,NE,NYJ,0,0,0,0,0,3.3,36.4,0.4,9.34
133,17969,Kenneth Dixon,RB,12,BAL,CIN,0,0,0,33.1,0.2,2.5,18.2,0.1,9.33
134,75,New York Giants,DST,12,NYG,CLE,0,0,0,0,0,0,0,0,9.30
135,16510,Jerick McKinnon,RB,12,MIN,DET,0,0,0,48.8,0.2,1.9,14.2,0,9.30
136,16593,Cameron Brate,TE,12,TB,SEA,0,0,0,0,0,3.5,39.7,0.3,9.27
137,13887,Travis Benjamin,WR,12,SD,HOU,0,0,0,0,0,3.8,43.4,0.2,9.24
138,13878,Mohamed Sanu,WR,12,ATL,ARI,0,0,0,0.2,0,3.5,40.1,0.3,9.23
139,15150,Cordarrelle Patterson,WR,12,MIN,DET,0,0,0,1.2,0,3.9,40,0.2,9.22
140,16003,Sammy Watkins,WR,12,BUF,JAX,0,0,0,0.1,0,3.1,42.7,0.3,9.18
141,13255,Matt Asiata,RB,12,MIN,DET,0,0,0,33.4,0.2,2.2,16.2,0.1,8.86
142,15215,Tavon Austin,WR,12,LA,NO,0,0,0,6.4,0,3.2,37.7,0.2,8.81
143,55,Kansas City Chiefs,DST,12,KC,DEN,0,0,0,0,0,0,0,0,8.80
144,13,Houston Texans,DST,12,HOU,SD,0,0,0,0,0,0,0,0,8.80
145,49,Denver Broncos,DST,12,DEN,KC,0,0,0,0,0,0,0,0,8.80
146,16056,James White,RB,12,NE,NYJ,0,0,0,6.7,0,3.7,33.1,0.2,8.78
147,18070,Wendell Smallwood,RB,12,PHI,GB,0,0,0,46,0.4,1,7.9,0,8.69
148,7389,Eddie Royal,WR,12,CHI,TEN,0,0,0,0.3,0,3.4,38.9,0.2,8.52
149,21,New England Patriots,DST,12,NE,NYJ,0,0,0,0,0,0,0,0,8.50
150,69,New Orleans Saints,DST,12,NO,LA,0,0,0,0,0,0,0,0,8.50
151,16640,John Brown,WR,12,ARI,ATL,0,0,0,0.6,0,2.8,37.3,0.3,8.39
152,13386,Lance Kendricks,TE,12,LA,NO,0,0,0,0,0,3.6,36.5,0.2,8.35
153,15239,Vance McDonald,TE,12,SF,MIA,0,0,0,0,0,2.9,36.3,0.3,8.33
154,64,Miami Dolphins,DST,12,MIA,SF,0,0,0,0,0,0,0,0,8.30
155,18058,Tajae Sharpe,WR,12,TEN,CHI,0,0,0,0.1,0,3,40.5,0.2,8.26
156,17480,Eli Rogers,WR,12,PIT,IND,0,0,0,0,0,2.8,36.1,0.3,8.21
157,34,Tennessee Titans,DST,12,TEN,CHI,0,0,0,0,0,0,0,0,8.20
158,17916,Will Fuller,WR,12,HOU,SD,0,0,0,0,0,2.5,38.6,0.3,8.16
159,4577,Gary Barnidge,TE,12,CLE,NYG,0,0,0,0,0,3.2,37.6,0.2,8.16
160,15102,Chris Thompson,RB,12,WAS,DAL,0,0,0,16.7,0.1,3,23.1,0.1,8.08
161,16855,Ty Montgomery,WR,12,GB,PHI,0,0,0,16.2,0.1,2.7,20.5,0.2,8.07
162,14478,Michael Floyd,WR,12,ARI,ATL,0,0,0,0,0,2.5,37.5,0.3,8.05
163,15602,Jack Doyle,TE,12,IND,PIT,0,0,0,0,0,3.2,30.5,0.3,8.05
164,11712,Anquan Boldin,WR,12,DET,MIN,0,0,0,0,0,3.3,35.5,0.2,8.05
165,17972,Paul Perkins,RB,12,NYG,CLE,0,0,0,29.2,0.2,1.8,16,0.1,8.02
166,7,Cincinnati Bengals,DST,12,CIN,BAL,0,0,0,0,0,0,0,0,8
167,14424,Brian Quick,WR,12,LA,NO,0,0,0,0,0,2.9,38.4,0.2,7.94
168,12751,Charles Clay,TE,12,BUF,JAX,0,0,0,0,0,3.4,33.1,0.2,7.91
