"Lorenzo Cain_KC","Eric Hosmer_KC","Alex Gordon_KC","Brandon Moss_KC","Jorge Soler_KC","Whit Merrifield_KC","Peter O'Brien_KC","Salvador Perez_KC","Cheslor Cuthbert_KC","Alcides Escobar_KC","Mike Moustakas_KC","Paulo Orlando_KC","Billy Burns_KC","Ryan O'Hearn_KC","Terrance Gore_KC","Christian Colon_KC","Raul Mondesi_KC","Drew Butera_KC"
22.5151515151515,-0.666666666666667,-0.5,-13.3333333333333,0,-5.40909090909091,0,-1.33333333333333,0.257575757575758,-1.42424242424242,-3.81818181818182,-0.363636363636364,0,0,0,-1.24242424242424,10.6818181818182,0
0,16.6969696969697,7.40909090909091,-1.6969696969697,0,0.318181818181818,0,6.66666666666667,17.2575757575758,-0.424242424242424,-4.45454545454545,0.363636363636364,0,0,0,-0.333333333333333,-2.22727272727273,0
0,0,17.4772727272727,0,0,3.34090909090909,0,14.9545454545455,8.88636363636364,2.90909090909091,2.86363636363636,-0.772727272727273,0,0,0,-0.954545454545455,4.97727272727273,0
0,0,10.1818181818182,31.6969696969697,0,12.0909090909091,0,1.78787878787879,-7.21212121212121,-5.57575757575758,14.6363636363636,0.454545454545455,0,0,0,-0.848484848484849,-3.63636363636364,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,36.75,0,-9.86363636363636,-2.70454545454545,-7,-10.5,-4.77272727272727,0,0,0,-0.318181818181818,-3.34090909090909,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,38.3333333333333,9.01515151515152,11.0606060606061,10.2727272727273,10.5454545454545,0,0,0,-0.393939393939394,5.95454545454545,0
0,0,0,0,0,0,0,0,24.0833333333333,0.515151515151515,0,-3.86363636363636,0,0,0,-0.257575757575758,-2.70454545454545,0
0,0,0,0,0,0,0,0,0,14.4242424242424,0,2.18181818181818,0,0,0,1.33333333333333,5.72727272727273,0
0,0,0,0,0,0,0,0,-8.5,-6.90909090909091,40.6363636363636,9.36363636363636,0,0,0,-1.18181818181818,-7.68181818181818,0
0,0,0,0,0,0,0,0,0,0,0,16.4545454545455,0,0,0,-0.454545454545455,-5.22727272727273,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,-0.681818181818182,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6590909090909,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
