"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Yu Darvish",12000,"SEA@TEX 03:05PM ET",20.689,"TEX","SEA",25.74,18.9,25.0475,NA,7.25
"SP","Jason Vargas",9300,"KC@LAA 03:37PM ET",20.108,"KC","LAA",19.16,16.2,12.693,NA,11.5
"SP","David Price",7500,"BOS@HOU 08:08PM ET",13.438,"BOS","HOU",17.33,17.2,21.0655,NA,8.05
"SP","Tyler Chatwood",7400,"SF@COL 03:10PM ET",15.239,"COL","SF",8.24,14.1,8.84,NA,13.5
"SP","JC Ramirez",6600,"KC@LAA 03:37PM ET",11.844,"LAA","KC",16.79,13.6,14.175,NA,2.75
"SP","Joe Musgrove",6500,"BOS@HOU 08:08PM ET",11.336,"HOU","BOS",NA,12.7,16.216,NA,11.95
"SP","Christian Bergman",5600,"SEA@TEX 03:05PM ET",8.963,"SEA","TEX",9.13,6.7,11.57,NA,11.15
"SP","Jharel Cotton",5200,"NYY@OAK 04:05PM ET",11.432,"OAK","NYY",14.12,13,18.042,NA,19.45
"SP","Ty Blach",4800,"SF@COL 03:10PM ET",6.363,"SF","COL",NA,7,7.733,NA,13.6
"RP","Luis Cessa",4700,"NYY@OAK 04:05PM ET",2.5,"NYY","OAK",14.4,11.7,14.996,NA,5.4
