"Charlie Blackmon_COL","Nolan Arenado_COL","Carlos Gomez_TEX","Rougned Odor_TEX","Ian Desmond_COL","Jose Abreu_CWS","Mike Napoli_TEX","Mike Trout_LAA","Melky Cabrera_CWS","David Dahl_COL","Shin-Soo Choo_TEX","Nomar Mazara_TEX","DJ LeMahieu_COL","Raimel Tapia_COL","Adrian Beltre_TEX","Delino DeShields_TEX","Mark Reynolds_COL","Todd Frazier_CWS","Avisail Garcia_CWS","Matt Davidson_CWS","Yolmer Sanchez_CWS","Elvis Andrus_TEX","Gerardo Parra_COL","Trevor Story_COL","Joey Gallo_TEX","Kole Calhoun_LAA","Carlos Gonzalez_COL","Pat Valaika_COL","Yoan Moncada_CWS","Robinson Chirinos_TEX","Cameron Maybin_LAA","Andrelton Simmons_LAA","Tyler Saladino_CWS","Stephen Cardullo_COL","Willy Garcia_CWS","Adam Engel_CWS","Tim Anderson_CWS","Eric Young_LAA","Leury Garcia_CWS","Dustin Garneau_COL","Alen Hanson_CWS","Jacob May_CWS","Albert Pujols_LAA","Jonathan Lucroy_TEX","CJ Cron_LAA","Charlie Tilson_CWS","Kevan Smith_CWS","Tom Murphy_COL","Mike Tauchman_COL","Yunel Escobar_LAA","Nick Franklin_LAA","Jurickson Profar_TEX","Geovany Soto_CWS","Jordan Patterson_COL","Pete Kozma_TEX","Brett Nicholas_TEX","Jared Hoying_TEX","Shane Robinson_LAA","Ben Revere_LAA","Ryan Rua_TEX","Andy Ibanez_TEX","Omar Narvaez_CWS","Martin Maldonado_LAA","Luis Valbuena_LAA","Kaleb Cowart_LAA","Ronald Guzman_TEX","Jefry Marte_LAA","Hanser Alberto_TEX","Alexi Amarista_COL","Cristhian Adames_COL","Cody Asche_CWS","Drew Stubbs_TEX","David Fletcher_LAA","Ryan Hanigan_COL","Grant Green_CWS","Tony Wolters_COL","Zack Collins_CWS","Nolan Fontana_LAA","Cliff Pennington_LAA","Juan Graterol_LAA","Carlos Perez_LAA","Drew Robinson_TEX","Danny Espinosa_LAA"
79,76,0,0,46,0,0,0,0,0,0,0,72,19,0,0,71,0,0,0,0,0,32,61,0,0,61,15,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,10,0,48,0,0,0,0,0,0,0
76,79,0,0,47,0,0,0,0,0,0,0,72,19,0,0,71,0,0,0,0,0,34,60,0,0,60,13,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,11,0,47,0,0,0,0,0,0,0
0,0,54,53,0,0,50,0,0,0,47,45,0,0,18,28,0,0,0,0,0,51,0,0,43,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,14,0,0,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,53,81,0,0,64,0,0,0,72,70,0,0,31,50,0,0,0,0,0,77,0,0,69,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,17,0,0,7,0,14,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
46,47,0,0,49,0,0,0,0,0,0,0,47,12,0,0,42,0,0,0,0,0,12,33,0,0,35,12,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,10,0,26,0,0,0,0,0,0,0
0,0,0,0,0,74,0,0,70,0,0,0,0,0,0,0,0,64,64,53,40,0,0,0,0,0,0,0,0,0,0,0,25,0,21,20,64,0,42,0,9,8,0,0,0,0,31,0,0,0,0,0,9,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
0,0,50,64,0,0,65,0,0,0,56,53,0,0,22,39,0,0,0,0,0,62,0,0,53,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,13,0,0,6,0,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,35,43,0,0,0,0,0,0,0,0,0,0,37,0,19,0,0,0,0,29,0,0,0,0,0,0,0,0,16,0,0,0,36,14,0,0,22,0,0,0,0,0,0,0,0,0,0,3,9,5,3,0,34
0,0,0,0,0,70,0,0,71,0,0,0,0,0,0,0,0,62,61,51,40,0,0,0,0,0,0,0,0,0,0,0,23,0,19,20,63,0,39,0,9,6,0,0,0,0,29,0,0,0,0,0,10,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,47,72,0,0,56,0,0,0,73,61,0,0,30,42,0,0,0,0,0,69,0,0,62,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,17,0,0,7,0,14,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,45,70,0,0,53,0,0,0,61,70,0,0,26,39,0,0,0,0,0,66,0,0,65,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,17,0,0,3,0,13,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,72,0,0,47,0,0,0,0,0,0,0,75,16,0,0,67,0,0,0,0,0,32,57,0,0,58,13,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,8,0,46,0,0,0,0,0,0,0
19,19,0,0,12,0,0,0,0,0,0,0,16,20,0,0,18,0,0,0,0,0,2,16,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,13,0,0,0,0,0,0,0
0,0,18,31,0,0,22,0,0,0,30,26,0,0,32,18,0,0,0,0,0,29,0,0,21,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,4,0,0,5,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,28,50,0,0,39,0,0,0,42,39,0,0,18,51,0,0,0,0,0,48,0,0,39,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,5,0,0,6,0,9,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,71,0,0,42,0,0,0,0,0,0,0,67,18,0,0,74,0,0,0,0,0,28,58,0,0,55,16,0,0,0,0,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,11,0,44,0,0,0,0,0,0,0
0,0,0,0,0,64,0,0,62,0,0,0,0,0,0,0,0,65,55,45,38,0,0,0,0,0,0,0,0,0,0,0,19,0,19,19,57,0,35,0,8,6,0,0,0,0,28,0,0,0,0,0,9,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,64,0,0,61,0,0,0,0,0,0,0,0,55,65,49,32,0,0,0,0,0,0,0,0,0,0,0,24,0,14,13,57,0,40,0,5,7,0,0,0,0,25,0,0,0,0,0,10,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,53,0,0,51,0,0,0,0,0,0,0,0,45,49,54,32,0,0,0,0,0,0,0,0,0,0,0,17,0,14,14,47,0,30,0,6,4,0,0,0,0,25,0,0,0,0,0,5,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,0,38,32,32,40,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,37,0,14,0,8,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
