"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Yu Darvish",11300,"PHI@TEX 08:05PM ET",20.431,"TEX","PHI",25.71,20.8,24.1475,NA,32.15
"SP","John Lackey",9400,"CIN@CHC 08:05PM ET",15.613,"CHC","CIN",20.88,14.4,16.879,NA,10.6
"SP","Eduardo Rodriguez",8000,"BOS@STL 08:15PM ET",17.271,"BOS","STL",15.7,15.6,13.498,NA,16.7
"SP","Kyle Freeland",7700,"COL@MIN 08:10PM ET",13.571,"COL","MIN",13.56,12.1,10.147,NA,12.1
"SP","Lance Lynn",7500,"BOS@STL 08:15PM ET",17.414,"STL","BOS",18.36,15.1,14.215,NA,14.5
"SP","CC Sabathia",7200,"NYY@KC 08:15PM ET",8.936,"NYY","KC",11.48,13.8,11.907,NA,22.8
"SP","Jerad Eickhoff",7100,"PHI@TEX 08:05PM ET",11.95,"PHI","TEX",14.83,11.9,15.96,NA,20.1
"SP","Jason Hammel",7000,"NYY@KC 08:15PM ET",8.514,"KC","NYY",12.25,9.9,12.578,NA,-2.5
"SP","Phil Hughes",6200,"COL@MIN 08:10PM ET",10.643,"MIN","COL",12.55,9.1,12.102,NA,1.85
"SP","Bronson Arroyo",5300,"CIN@CHC 08:05PM ET",9.564,"CIN","CHC",7.75,7.8,9.501,NA,-2.75
