"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg"
"RB","David Johnson (0000000)","David Johnson",0,10100,"NO@Ari 00:00PM ET","Ari","David","Johnson","NO",25.68,22.6,2,0.194192377495463
"RB","Le'Veon Bell (0000000)","Le'Veon Bell",0,9800,"Pit@Cin 00:00PM ET","Pit","Le'Veon","Bell","Cin",26.44,29.3,2,0.166332665330661
"RB","LeSean McCoy (0000000)","LeSean McCoy",0,8900,"Cle@Buf 00:00PM ET","Buf","LeSean","McCoy","Cle",20.4,22,4,0.130208333333333
"WR","Antonio Brown (0000000)","Antonio Brown",0,8400,"Pit@Cin 00:00PM ET","Pit","Antonio","Brown","Cin",20.66,21.3,1,0.288577154308617
"WR","Mike Evans (0000000)","Mike Evans",0,8300,"TB@Dal 00:00PM ET","TB","Mike","Evans","Dal",20.21,20.7,1,0.314465408805031
"RB","Ezekiel Elliott (0000000)","Ezekiel Elliott",0,8200,"TB@Dal 00:00PM ET","Dal","Ezekiel","Elliott","TB",19.68,20.1,5,0.0888888888888889
"WR","Julio Jones (0000000)","Julio Jones",0,8100,"SF@Atl 00:00PM ET","Atl","Julio","Jones","SF",0,0,1,0.253863134657837
"WR","Odell Beckham Jr. (0000000)","Odell Beckham Jr.",0,8000,"Det@NYG 00:00PM ET","NYG","Odell","Beckham","Det",20.98,19,1,0.292338709677419
"WR","A.J. Green (0000000)","A.J. Green",0,7400,"Pit@Cin 00:00PM ET","Cin","A.J.","Green","Pit",0,0,1,0.227368421052632
"QB","Matt Ryan (0000000)","Matt Ryan",0,7300,"SF@Atl 00:00PM ET","Atl","Matt","Ryan","SF",21.64,21.9,0,0
"WR","Jordy Nelson (0000000)","Jordy Nelson",0,7300,"GB@Chi 00:00PM ET","GB","Jordy","Nelson","Chi",18.74,18.2,1,0.252390057361377
"WR","T.Y. Hilton (0000000)","T.Y. Hilton",0,7200,"Ind@Min 00:00PM ET","Ind","T.Y.","Hilton","Min",16.87,19.7,1,0.277327935222672
"WR","Amari Cooper (0000000)","Amari Cooper",0,7100,"Oak@SD 00:00PM ET","Oak","Amari","Cooper","SD",14.41,16,2,0.24236641221374
"QB","Aaron Rodgers (0000000)","Aaron Rodgers",0,7100,"GB@Chi 00:00PM ET","GB","Aaron","Rodgers","Chi",21.75,19.8,0,0
"WR","Larry Fitzgerald (0000000)","Larry Fitzgerald",0,7000,"NO@Ari 00:00PM ET","Ari","Larry","Fitzgerald","NO",15.58,18.2,1,0.252268602540835
"RB","DeMarco Murray (0000000)","DeMarco Murray",0,6900,"Ten@KC 00:00PM ET","Ten","DeMarco","Murray","KC",18.49,19.7,4,0.134615384615385
"WR","Dez Bryant (0000000)","Dez Bryant",0,6800,"TB@Dal 00:00PM ET","Dal","Dez","Bryant","TB",15.92,15.8,3,0.197530864197531
"QB","Kirk Cousins (0000000)","Kirk Cousins",0,6800,"Car@Was 00:00PM ET","Was","Kirk","Cousins","Car",19.25,21.1,0,0
"RB","Devonta Freeman (0000000)","Devonta Freeman",0,6700,"SF@Atl 00:00PM ET","Atl","Devonta","Freeman","SF",17.25,19.7,3,0.114790286975717
"QB","Tom Brady (0000000)","Tom Brady",0,6700,"NE@Den 00:00PM ET","NE","Tom","Brady","Den",18.94,17.2,0,0
"QB","Drew Brees (0000000)","Drew Brees",0,6600,"NO@Ari 00:00PM ET","NO","Drew","Brees","Ari",19.47,18,0,0
"WR","Emmanuel Sanders (0000000)","Emmanuel Sanders",0,6600,"NE@Den 00:00PM ET","Den","Emmanuel","Sanders","NE",15.14,14.8,2,0.283549783549784
"WR","Doug Baldwin (0000000)","Doug Baldwin",0,6600,"LA@Sea 00:00PM ET","Sea","Doug","Baldwin","LA",15.93,14.8,1,0.247030878859857
"QB","Ben Roethlisberger (0000000)","Ben Roethlisberger",0,6600,"Pit@Cin 00:00PM ET","Pit","Ben","Roethlisberger","Cin",18.36,17.9,0,0
"RB","Melvin Gordon (0000000)","Melvin Gordon",0,6500,"Oak@SD 00:00PM ET","SD","Melvin","Gordon","Oak",0,0,5,0.12691466083151
"WR","Golden Tate (0000000)","Golden Tate",0,6500,"Det@NYG 00:00PM ET","Det","Golden","Tate","NYG",13.59,14.5,1,0.22964509394572
"QB","Marcus Mariota (0000000)","Marcus Mariota",0,6500,"Ten@KC 00:00PM ET","Ten","Marcus","Mariota","KC",19.26,17.2,13,0.00240384615384615
"WR","Michael Thomas (0000000)","Michael Thomas",0,6400,"NO@Ari 00:00PM ET","NO","Michael","Thomas","Ari",13.69,13.8,2,0.171903881700555
"QB","Andrew Luck (0000000)","Andrew Luck",0,6400,"Ind@Min 00:00PM ET","Ind","Andrew","Luck","Min",19.58,18.6,0,0
"QB","Cam Newton (0000000)","Cam Newton",0,6400,"Car@Was 00:00PM ET","Car","Cam","Newton","Was",19.62,19.4,0,0
"WR","Demaryius Thomas (0000000)","Demaryius Thomas",0,6300,"NE@Den 00:00PM ET","Den","Demaryius","Thomas","NE",15.93,15.9,1,0.285714285714286
"QB","Russell Wilson (0000000)","Russell Wilson",0,6300,"LA@Sea 00:00PM ET","Sea","Russell","Wilson","LA",18.9,18.9,13,0.00475059382422803
"QB","Matthew Stafford (0000000)","Matthew Stafford",0,6300,"Det@NYG 00:00PM ET","Det","Matthew","Stafford","NYG",17.7,18.3,0,0
"QB","Derek Carr (0000000)","Derek Carr",0,6300,"Oak@SD 00:00PM ET","Oak","Derek","Carr","SD",19.91,18.3,0,0
"QB","Philip Rivers (0000000)","Philip Rivers",0,6200,"Oak@SD 00:00PM ET","SD","Philip","Rivers","Oak",18.84,18.6,0,0
"WR","Brandin Cooks (0000000)","Brandin Cooks",0,6200,"NO@Ari 00:00PM ET","NO","Brandin","Cooks","Ari",11.7,13.5,1,0.177449168207024
"WR","Stefon Diggs (0000000)","Stefon Diggs",0,6200,"Ind@Min 00:00PM ET","Min","Stefon","Diggs","Ind",14.58,15.3,1,0.220806794055202
"QB","Dak Prescott (0000000)","Dak Prescott",0,6200,"TB@Dal 00:00PM ET","Dal","Dak","Prescott","TB",18.27,18,0,0
"WR","Davante Adams (0000000)","Davante Adams",0,6100,"GB@Chi 00:00PM ET","GB","Davante","Adams","Chi",13.51,14.2,2,0.198852772466539
"WR","Julian Edelman (0000000)","Julian Edelman",0,6100,"NE@Den 00:00PM ET","NE","Julian","Edelman","Den",14.38,14.3,1,0.273858921161826
"QB","Jameis Winston (0000000)","Jameis Winston",0,6100,"TB@Dal 00:00PM ET","TB","Jameis","Winston","Dal",17.87,17.6,0,0
"RB","Jordan Howard (0000000)","Jordan Howard",0,6000,"GB@Chi 00:00PM ET","Chi","Jordan","Howard","GB",13.09,13.4,4,0.0978723404255319
"WR","Alshon Jeffery (0000000)","Alshon Jeffery",0,6000,"GB@Chi 00:00PM ET","Chi","Alshon","Jeffery","GB",12.72,14.7,1,0.157446808510638
"QB","Carson Palmer (0000000)","Carson Palmer",0,6000,"NO@Ari 00:00PM ET","Ari","Carson","Palmer","NO",18.81,19.2,0,0
"TE","Travis Kelce (0000000)","Travis Kelce",0,5900,"Ten@KC 00:00PM ET","KC","Travis","Kelce","Ten",16.72,14,1,0.223684210526316
"RB","Carlos Hyde (0000000)","Carlos Hyde",0,5900,"SF@Atl 00:00PM ET","SF","Carlos","Hyde","Atl",15.38,13.6,6,0.0673316708229426
"WR","Michael Crabtree (0000000)","Michael Crabtree",0,5900,"Oak@SD 00:00PM ET","Oak","Michael","Crabtree","SD",13.58,15.1,1,0.244274809160305
"RB","Thomas Rawls (0000000)","Thomas Rawls",0,5900,"LA@Sea 00:00PM ET","Sea","Thomas","Rawls","LA",13.8,13.1,7,0.0332541567695962
"WR","Sammy Watkins (0000000)","Sammy Watkins",0,5900,"Cle@Buf 00:00PM ET","Buf","Sammy","Watkins","Cle",12.26,13.5,5,0.0729166666666667
"WR","Tyrell Williams (0000000)","Tyrell Williams",0,5800,"Oak@SD 00:00PM ET","SD","Tyrell","Williams","Oak",14.37,13.3,1,0.192560175054705
"QB","Colin Kaepernick (0000000)","Colin Kaepernick",0,5800,"SF@Atl 00:00PM ET","SF","Colin","Kaepernick","Atl",18.79,19,0,0
"RB","Latavius Murray (0000000)","Latavius Murray",0,5800,"Oak@SD 00:00PM ET","Oak","Latavius","Murray","SD",14.72,12.7,5,0.0782442748091603
"QB","Tyrod Taylor (0000000)","Tyrod Taylor",0,5700,"Cle@Buf 00:00PM ET","Buf","Tyrod","Taylor","Cle",18.84,18.3,0,0
"WR","Brandon Marshall (0000000)","Brandon Marshall",0,5700,"Mia@NYJ 00:00PM ET","NYJ","Brandon","Marshall","Mia",12.37,12.3,1,0.259423503325942
"WR","Tyreek Hill (0000000)","Tyreek Hill",0,5700,"Ten@KC 00:00PM ET","KC","Tyreek","Hill","Ten",14.23,14.1,2,0.151315789473684
"QB","Joe Flacco (0000000)","Joe Flacco",0,5700,"Phi@Bal 00:00PM ET","Bal","Joe","Flacco","Phi",17.88,15.3,0,0
"RB","Jay Ajayi (0000000)","Jay Ajayi",0,5700,"Mia@NYJ 00:00PM ET","Mia","Jay","Ajayi","NYJ",14.05,13.9,4,0.0865139949109415
"RB","Spencer Ware (0000000)","Spencer Ware",0,5700,"Ten@KC 00:00PM ET","KC","Spencer","Ware","Ten",12.78,13.9,6,0.081140350877193
"WR","Taylor Gabriel (0000000)","Taylor Gabriel",0,5600,"SF@Atl 00:00PM ET","Atl","Taylor","Gabriel","SF",13.75,14.1,4,0.0883002207505519
"TE","Tyler Eifert (0000000)","Tyler Eifert",0,5600,"Pit@Cin 00:00PM ET","Cin","Tyler","Eifert","Pit",15.02,14,5,0.0926315789473684
