"Place_lo","Place_hi","Payout"
"1","1","30000"
"2","2","20000"
"3","3","15000"
"4","4","10000"
"5","5","7000"
"6","6","5000"
"7","7","3500"
"8","8","2500"
"9","10","2000"
"11","15","1500"
"16","20","1250"
"21","30","1000"
"31","40","750"
"41","50","500"
"51","70","400"
"71","120","300"
"121","170","250"
"171","220","200"
"221","300","160"
"301","403","150"
"404","603","140"
"604","1103","130"
