Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Arizona Cardinals,11,D,3800,ARI,NYJ,19.3,ARI by 7.5,1.8,0.6,2.0,253,104,18.4,11.4,10.0,9.6,11.6,0.7,18.6,11.6,3.1,0.0,0.0
Buffalo Bills,38,D,3700,BUF,SF,18.3,BUF by 7.5,2.0,0.8,1.2,178,121,22.2,7.8,18.0,8.1,13.8,1.3,15.0,7.9,2.1,0.0,0.0
Denver Broncos,0,D,3700,DEN,@SD,20.5,DEN by 3,2.2,1.6,0.6,295,90,29.2,6.0,9.3,8.4,11.2,2.2,14.7,8.6,2.3,0.0,0.0
Seattle Seahawks,9,D,3600,SEA,ATL,19.3,SEA by 7,2.2,0.2,0.4,348,124,32.6,2.2,7.0,8.3,8.0,4.2,12.5,8.5,2.4,0.0,0.0
Pittsburgh Steelers,11,D,3400,PIT,@MIA,21.0,PIT by 7.5,3.4,0.8,1.4,255,72,17.6,11.0,5.0,8.3,5.2,1.5,15.0,7.8,2.3,0.0,0.0
Tennessee Titans,33,D,3300,TEN,CLE,18.5,TEN by 7.5,2.6,0.6,1.0,240,125,16.2,9.2,6.7,5.4,6.2,2.5,8.2,7.9,2.4,0.0,0.0
New England Patriots,20,D,3200,NE,CIN,19.8,NE by 7.5,3.4,0.8,0.4,301,84,18.4,6.4,12.3,8.3,9.6,3.0,13.5,9.1,2.8,0.0,0.0
Philadelphia Eagles,2,D,3100,PHI,@WAS,21.0,PHI by 3,1.6,0.4,1.0,293,86,23.0,4.4,10.7,8.9,10.8,1.2,16.7,8.0,2.6,0.0,0.0
New York Giants,4,D,3000,NYG,BAL,19.5,NYG by 3.5,2.2,1.0,0.8,256,99,18.8,8.8,2.3,6.0,3.2,0.2,11.8,8.5,2.8,0.0,0.0
Detroit Lions,9,D,3000,DET,LA,20.8,DET by 2.5,2.4,0.6,1.0,219,82,15.2,11.0,5.7,5.0,5.0,1.4,8.6,6.6,2.2,0.0,0.0
Houston Texans,12,D,2900,HOU,IND,22.3,HOU by 3,4.0,0.6,0.6,294,90,27.4,9.6,4.0,10.0,6.8,1.7,18.3,7.5,2.6,0.0,0.0
Los Angeles Rams,0,D,2900,LA,@DET,23.3,DET by 2.5,2.6,0.2,0.8,276,90,23.8,4.2,11.0,8.4,9.0,1.4,15.5,8.3,2.9,0.0,0.0
Green Bay Packers,0,D,2800,GB,DAL,20.5,GB by 6,1.4,0.6,0.0,248,155,25.8,2.4,5.7,6.1,6.0,2.1,10.0,6.6,2.4,0.0,0.0
Kansas City Chiefs,,D,2800,KC,@OAK,22.0,KC by 2,1.0,0.4,0.4,277,119,28.4,1.4,11.3,13.0,8.8,3.5,22.5,7.0,2.5,0.0,0.0
Jacksonville Jaguars,,D,2700,JAX,@CHI,24.3,CHI by 2.5,2.0,1.0,0.4,293,90,17.0,6.8,6.0,6.4,4.8,-1.2,13.9,6.3,2.3,0.0,0.0
Washington Redskins,0,D,2700,WAS,PHI,24.0,PHI by 3,1.8,0.3,0.3,252,119,28.8,3.5,9.7,7.3,6.8,2.7,11.8,6.8,2.5,0.0,0.0
Cleveland Browns,,D,2600,CLE,@TEN,26.0,TEN by 7.5,1.4,0.6,1.0,218,149,18.4,11.4,5.3,5.4,5.0,0.7,10.2,6.2,2.4,0.0,0.0
Baltimore Ravens,4,D,2600,BAL,@NYG,23.0,NYG by 3.5,2.0,1.2,0.8,277,84,17.8,7.4,7.3,6.3,7.6,1.3,11.3,6.2,2.4,0.0,0.0
Oakland Raiders,1,D,2600,OAK,KC,24.0,KC by 2,3.3,1.0,0.5,268,90,19.3,7.5,8.0,6.3,5.0,2.3,10.4,6.8,2.6,0.0,0.0
San Diego Chargers,,D,2500,SD,DEN,23.5,DEN by 3,3.0,0.4,0.8,243,101,23.0,5.8,6.7,5.8,6.6,1.4,10.2,6.3,2.5,0.0,0.0
Miami Dolphins,,D,2500,MIA,PIT,28.5,PIT by 7.5,1.8,0.4,0.8,299,102,27.8,4.2,5.0,5.6,6.2,0.4,10.9,4.2,1.7,0.0,0.0
Cincinnati Bengals,,D,2500,CIN,@NE,27.3,NE by 7.5,1.8,0.8,0.0,261,128,22.8,5.0,6.7,8.6,6.0,3.8,13.3,5.3,2.1,0.0,0.0
Atlanta Falcons,,D,2500,ATL,@SEA,26.3,SEA by 7,2.3,0.8,0.5,282,93,19.8,7.0,10.3,4.9,6.4,0.8,9.1,5.8,2.3,0.0,0.0
Carolina Panthers,3,D,2400,CAR,@NO,25.3,CAR by 2.5,1.8,0.5,0.8,317,82,28.5,5.8,4.0,10.6,6.8,3.0,18.2,8.1,3.4,0.0,0.0
Dallas Cowboys,,D,2400,DAL,@GB,26.5,GB by 6,2.0,0.5,0.8,219,112,24.5,4.5,5.3,5.2,5.0,2.0,8.4,4.3,1.8,0.0,0.0
New York Jets,1,D,2400,NYJ,@ARI,26.8,ARI by 7.5,2.6,0.8,1.4,265,114,23.8,8.8,2.3,5.3,3.6,1.3,9.3,5.9,2.5,0.0,0.0
San Francisco 49ers,,D,2300,SF,@BUF,25.8,BUF by 7.5,2.0,0.4,0.4,181,137,19.8,5.4,2.0,5.3,5.8,1.2,9.3,3.6,1.6,0.0,0.0
Chicago Bears,13,D,2300,CHI,JAX,21.8,CHI by 2.5,3.0,0.5,1.5,263,75,21.0,7.8,4.0,5.2,4.6,2.0,8.4,5.9,2.6,0.0,0.0
Indianapolis Colts,2,D,2200,IND,@HOU,25.3,HOU by 3,2.2,0.6,1.4,227,102,16.4,10.4,5.0,6.8,3.0,1.5,12.0,6.9,3.1,0.0,0.0
New Orleans Saints,0,D,2000,NO,CAR,27.8,CAR by 2.5,2.6,1.2,1.8,285,125,22.2,12.2,5.0,4.4,2.8,-1.6,10.5,5.7,2.9,0.0,0.0
