Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Denver Broncos,11,D,3900,DEN,@JAX,17.8,DEN by 3.5,2.1,1.1,1.2,250,96,19.5,8.9,6.3,9.1,10.3,2.8,15.3,9.1,2.3,0.0,0.0
New England Patriots,7,D,3700,NE,LA,15.5,NE by 13,2.5,0.6,1.1,229,83,14.9,10.3,7.3,7.6,7.5,2.5,12.6,11.6,3.1,0.0,0.0
Seattle Seahawks,4,D,3500,SEA,CAR,18.3,SEA by 7.5,2.5,1.0,1.1,262,109,23.5,9.5,6.7,7.9,8.4,3.8,12.0,8.2,2.3,0.0,0.0
Minnesota Vikings,,D,3400,MIN,DAL,23.3,DAL by 3,1.3,0.5,0.2,258,157,28.7,1.6,8.7,11.4,11.5,3.4,19.3,8.2,2.4,0.0,0.0
Chicago Bears,1,D,3300,CHI,SF,22.8,SF by 2.5,2.5,1.5,0.8,212,126,20.7,8.3,2.3,4.9,5.3,1.2,8.5,6.0,1.8,0.0,0.0
Oakland Raiders,,D,3200,OAK,BUF,22.5,OAK by 3,2.8,0.7,0.4,195,157,23.9,5.5,9.0,7.0,5.9,2.5,11.5,7.5,2.3,0.0,0.0
New York Jets,1,D,3200,NYJ,IND,25.3,IND by 1.5,3.5,0.4,0.9,279,95,24.0,7.7,4.7,4.9,3.7,1.3,8.4,9.2,2.9,0.0,0.0
Philadelphia Eagles,4,D,3100,PHI,@CIN,21.8,CIN by 2,2.9,0.7,0.5,277,109,19.4,6.5,2.7,8.9,8.9,0.8,16.9,8.8,2.8,0.0,0.0
Baltimore Ravens,8,D,3000,BAL,MIA,18.5,BAL by 3.5,2.4,0.5,0.7,234,116,22.1,6.4,8.3,6.8,8.2,2.3,11.3,8.3,2.8,0.0,0.0
Dallas Cowboys,1,D,2900,DAL,@MIN,20.3,DAL by 3,2.4,0.4,0.3,241,71,18.2,6.2,0.7,4.6,4.7,1.6,7.6,9.6,3.3,0.0,0.0
Atlanta Falcons,,D,2900,ATL,KC,22.3,ATL by 5.5,2.5,0.7,0.4,246,97,21.3,5.3,5.0,5.3,5.9,1.0,9.5,7.8,2.7,0.0,0.0
Green Bay Packers,5,D,2900,GB,HOU,19.3,GB by 6,1.7,0.6,1.2,210,121,17.1,8.3,2.7,6.3,5.1,1.5,11.0,7.5,2.6,0.0,0.0
San Diego Chargers,2,D,2900,SD,TB,22.3,SD by 3.5,2.0,0.6,1.0,270,107,21.5,7.2,10.0,8.3,8.5,4.0,12.6,8.4,2.9,0.0,0.0
Pittsburgh Steelers,1,D,2800,PIT,NYG,21.0,PIT by 6.5,1.3,1.0,0.9,264,79,19.9,6.0,11.0,6.8,6.3,0.3,13.4,7.2,2.6,0.0,0.0
Kansas City Chiefs,,D,2800,KC,@ATL,27.8,ATL by 5.5,2.5,0.3,0.5,320,108,30.9,2.8,11.0,11.4,10.1,2.3,20.6,6.9,2.5,0.0,0.0
San Francisco 49ers,1,D,2800,SF,@CHI,20.3,SF by 2.5,1.9,0.9,0.8,264,98,15.6,8.3,3.7,4.4,3.9,-0.3,9.2,6.5,2.3,0.0,0.0
Buffalo Bills,,D,2700,BUF,@OAK,25.5,OAK by 3,1.2,0.5,0.5,283,112,27.4,2.5,5.3,7.3,8.4,0.9,13.8,6.4,2.4,0.0,0.0
New York Giants,0,D,2700,NYG,@PIT,27.5,PIT by 6.5,1.3,0.2,0.7,275,101,23.6,3.5,12.7,6.7,7.9,-0.2,13.6,7.1,2.6,0.0,0.0
Arizona Cardinals,1,D,2700,ARI,WAS,22.8,ARI by 2.5,1.3,0.5,0.6,325,112,25.5,4.5,4.3,9.0,8.5,-0.3,18.3,8.4,3.1,0.0,0.0
Cincinnati Bengals,2,D,2600,CIN,PHI,19.8,CIN by 2,2.3,0.7,0.7,236,115,22.5,6.2,6.3,6.4,5.6,2.5,10.2,7.2,2.8,0.0,0.0
Miami Dolphins,2,D,2600,MIA,@BAL,22.0,BAL by 3.5,2.0,0.5,0.9,262,87,19.8,6.5,11.3,7.5,8.1,2.1,12.9,9.7,3.7,0.0,0.0
Jacksonville Jaguars,4,D,2600,JAX,DEN,21.3,DEN by 3.5,2.8,0.7,0.7,254,100,22.5,7.8,6.7,4.5,3.5,-1.8,10.8,6.7,2.6,0.0,0.0
Carolina Panthers,1,D,2600,CAR,@SEA,25.8,SEA by 7.5,2.4,0.5,0.5,272,89,19.8,6.9,7.7,8.8,7.7,1.9,15.7,5.2,2.0,0.0,0.0
Indianapolis Colts,,D,2600,IND,@NYJ,23.8,IND by 1.5,2.0,0.7,1.4,233,111,17.8,10.4,5.3,5.8,4.5,0.5,11.0,7.2,2.8,0.0,0.0
