Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Antonio Brown,20,,WR,9800,PIT,NYJ,27.8,PIT by 7.5,15%,-31%,6%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,11.3,11.3,11.0,0.5,8.2,19,19.8,23.7,23.7,11.9,35.6,22.5,2.3,0.0,0.0
Julio Jones,3,,WR,9600,ATL,@DEN,21.3,DEN by 4.5,-27%,11%,-38%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.8,11.8,0.8,13.9,19,26.1,23.7,23.7,3.4,44.0,23.7,2.5,0.0,0.0
A.J. Green,7,,WR,8900,CIN,@DAL,23.3,CIN by 1,2%,-8%,-11%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,11.0,9.0,1.3,10.6,15,19.3,24.2,24.2,8.1,40.3,20.6,2.3,0.0,0.0
Odell Beckham Jr.,13,,WR,8500,NYG,@GB,20.5,GB by 7,25%,-58%,-6%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,9.8,10.0,1.0,7.8,16,14.7,13.8,13.8,6.6,21.0,18.9,2.2,0.0,0.0
Cam Newton,1,Q,QB,7900,CAR,TB,,,2%,-7%,20%,33.3,33.3,31.2,2.3,7.3,6.0,7.3,8.4,0.8,5.1,0.0,0.0,0.0,0.0,0.0,61,22.2,22.2,22.2,13.2,31.1,26.0,3.3,0.0,0.0
David Johnson,10,,RB,7900,ARI,@SF,23.0,ARI by 3.5,-2%,38%,8%,0.0,0.0,0.0,0.0,0.0,16.0,16.0,21.1,3.3,4.7,5.0,5.3,4.6,1.0,10.0,39,19.6,20.5,20.5,15.5,25.5,23.1,2.9,0.0,0.0
Jordy Nelson,17,,WR,7900,GB,NYG,27.5,GB by 7,2%,-18%,2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,2.7,7.6,15,21.5,21.5,21.5,13.1,30.0,20.3,2.6,0.0,0.0
Alshon Jeffery,1,Q,WR,7800,CHI,@IND,21.5,IND by 4.5,8%,4%,-7%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.3,9.2,0.8,12.7,16,11.4,12.9,12.9,8.7,17.1,16.7,2.1,0.0,0.0
Dez Bryant,,Q,WR,7700,DAL,CIN,22.3,CIN by 1,-10%,-4%,5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,7.7,0.0,1.0,6.5,0,11.7,11.7,11.7,2.4,20.9,0.0,0.0,0.0,0.0
Aaron Rodgers,19,,QB,7700,GB,NYG,27.5,GB by 7,2%,-18%,-18%,31.3,31.3,37.2,5.3,6.6,4.0,4.0,3.7,0.7,5.6,0.0,0.0,0.0,0.0,0.0,66,23.1,23.1,23.1,19.6,26.6,24.4,3.2,0.0,0.0
DeAndre Hopkins,1,,WR,7700,HOU,@MIN,17.3,MIN by 6.5,-5%,-19%,-30%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,8.3,10.3,0.5,6.9,16,12.8,13.7,13.7,2.7,24.6,18.3,2.4,0.0,0.0
Marvin Jones,6,Q,WR,7600,DET,PHI,21.5,PHI by 3,-14%,-30%,-32%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,9.0,8.9,0.8,13.4,16,25.6,22.3,22.3,8.6,36.0,18.7,2.5,0.0,0.0
Mike Evans,6,,WR,7500,TB,@CAR,,,3%,-12%,-6%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,12.0,11.4,1.0,7.5,18,20.7,20.8,20.8,12.0,29.5,19.0,2.5,0.0,0.0
Tom Brady,20,,QB,7500,NE,@CLE,28.5,NE by 10.5,2%,16%,16%,0.0,0.0,34.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,0.0,23.6,3.1,0.0,0.0
Le'Veon Bell,11,,RB,7500,PIT,NYJ,27.8,PIT by 7.5,15%,-31%,-17%,0.0,0.0,0.0,0.0,0.0,18.0,18.0,13.8,0.0,8.0,6.0,6.0,5.1,0.0,5.7,32,25.8,25.8,25.8,25.8,25.8,17.9,2.4,0.0,0.0
T.Y. Hilton,16,,WR,7400,IND,CHI,26.0,IND by 4.5,-17%,21%,-5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,10.7,11.0,8.9,1.8,7.6,14,19.9,18.4,18.4,7.1,29.7,19.2,2.6,0.0,0.0
Andrew Luck,6,Q,QB,7300,IND,CHI,26.0,IND by 4.5,-17%,21%,-12%,39.7,41.5,37.9,5.3,6.9,2.3,2.5,3.9,0.3,6.6,0.0,0.0,0.0,0.0,0.0,66,16.3,21.9,21.9,10.4,33.4,23.0,3.2,0.0,0.0
Kelvin Benjamin,1,,WR,7300,CAR,TB,,,2%,-7%,22%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,7.3,7.4,1.0,8.2,11,15.2,16.7,16.7,2.9,30.5,15.0,2.1,0.0,0.0
DeMarco Murray,20,,RB,7200,TEN,@MIA,20.0,MIA by 3.5,9%,27%,-11%,0.0,0.0,0.0,0.0,0.0,17.7,16.5,20.6,2.0,5.2,4.7,5.3,3.9,1.3,7.4,37,25.6,25.2,25.2,21.7,28.6,20.7,2.9,0.0,0.0
Amari Cooper,14,,WR,7200,OAK,SD,27.0,OAK by 3.5,16%,-20%,-4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,8.0,8.8,9.3,0.5,9.1,14,10.7,14.2,14.2,7.1,21.3,18.2,2.5,0.0,0.0
Ben Roethlisberger,18,,QB,7200,PIT,NYJ,27.8,PIT by 7.5,15%,-31%,21%,36.0,36.3,36.9,3.5,7.7,1.0,1.0,1.4,0.3,4.5,0.0,0.0,0.0,0.0,0.0,65,22.5,23.4,23.4,11.8,34.9,18.1,2.5,0.0,0.0
Larry Fitzgerald,2,,WR,7200,ARI,@SF,23.0,ARI by 3.5,-2%,38%,3%,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,1.0,10.0,10.0,7.9,1.8,7.1,12,14.8,18.1,18.1,10.5,25.8,16.7,2.3,0.0,0.0
Brandon Marshall,17,,WR,7100,NYJ,@PIT,20.3,PIT by 7.5,21%,-23%,2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,9.8,10.2,2.0,6.4,16,14.6,12.5,12.5,4.9,20.0,20.8,2.9,0.0,0.0
Matt Ryan,0,,QB,7100,ATL,@DEN,21.3,DEN by 4.5,-27%,11%,-19%,33.7,35.0,39.4,6.8,10.5,3.0,3.0,2.1,0.8,3.9,0.0,0.0,0.0,0.0,0.0,65,30.4,29.7,29.7,21.4,37.9,18.3,2.6,0.0,0.0
Melvin Gordon,15,,RB,7000,SD,@OAK,23.5,OAK by 3.5,26%,32%,27%,0.0,0.0,0.0,0.0,0.0,19.7,18.3,14.9,5.0,3.2,5.7,4.3,3.1,0.5,6.1,29,22.2,21.1,21.1,17.2,25.0,13.2,1.9,0.0,0.0
