Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Seattle Seahawks,,D,4000,SEA,LA,11.3,SEA by 15.5,2.6,0.8,1.2,224,81,14.5,11.8,4.0,7.6,7.5,3.0,12.3,11.3,2.8,0.0,0.0
Atlanta Falcons,,D,3900,ATL,SF,18.5,ATL by 14,2.8,1.2,0.7,192,137,19.3,8.4,12.0,7.0,7.4,0.7,13.3,9.6,2.5,0.0,0.0
Houston Texans,,D,3800,HOU,JAX,16.8,HOU by 6,2.1,1.0,1.2,245,100,18.5,9.3,5.3,8.1,5.7,0.1,16.1,9.5,2.5,0.0,0.0
Buffalo Bills,,D,3700,BUF,CLE,15.5,BUF by 10.5,3.7,0.7,1.0,238,96,15.5,10.8,1.3,7.0,7.2,0.1,13.9,8.1,2.2,0.0,0.0
Denver Broncos,,D,3600,DEN,NE,23.5,NE by 3,1.6,0.8,0.2,290,116,26.8,3.3,9.7,9.8,10.4,3.4,16.1,5.5,1.5,0.0,0.0
Minnesota Vikings,,D,3500,MIN,IND,20.8,MIN by 4,3.1,0.4,0.9,279,98,24.8,6.9,6.7,11.7,11.0,4.1,19.3,10.8,3.1,0.0,0.0
Kansas City Chiefs,,D,3400,KC,TEN,18.5,KC by 5,1.6,0.4,0.6,239,145,24.7,7.0,11.7,10.9,10.1,2.1,19.7,8.5,2.5,0.0,0.0
New York Jets,,D,3300,NYJ,MIA,20.3,MIA by 2.5,2.2,0.6,0.9,234,109,21.2,7.0,0.7,3.8,3.2,0.2,7.4,7.4,2.2,0.0,0.0
Miami Dolphins,,D,3200,MIA,@NYJ,17.8,MIA by 2.5,2.2,0.6,1.5,233,111,17.6,10.2,7.3,7.3,7.9,2.4,12.1,10.0,3.1,0.0,0.0
Green Bay Packers,,D,3200,GB,@CHI,17.0,GB by 6.5,1.8,0.8,0.7,254,101,16.1,7.6,13.0,6.7,6.4,1.3,12.1,7.1,2.2,0.0,0.0
Baltimore Ravens,,D,3100,BAL,PHI,17.8,BAL by 5.5,2.3,0.7,0.9,247,109,21.4,6.5,10.3,7.8,8.5,3.5,12.1,9.6,3.1,0.0,0.0
Arizona Cardinals,,D,3000,ARI,NO,24.0,ARI by 2.5,1.5,0.7,1.1,325,104,27.5,6.5,4.3,6.6,8.2,0.4,12.9,9.1,3.0,0.0,0.0
Philadelphia Eagles,,D,2900,PHI,@BAL,23.3,BAL by 5.5,1.8,0.5,0.9,277,86,21.5,6.2,4.3,7.6,8.5,1.1,14.2,9.3,3.2,0.0,0.0
New York Giants,,D,2900,NYG,DET,18.5,NYG by 4,2.2,0.2,0.5,265,84,22.2,4.7,14.7,7.1,8.3,0.0,14.2,9.2,3.2,0.0,0.0
Carolina Panthers,,D,2900,CAR,@WAS,28.0,WAS by 5,1.4,0.5,0.7,314,110,25.4,5.0,8.0,9.7,8.0,2.6,16.8,5.2,1.8,0.0,0.0
New England Patriots,,D,2800,NE,@DEN,20.5,NE by 3,2.8,0.8,0.6,249,94,20.9,7.7,10.0,7.3,8.0,2.7,11.8,9.5,3.4,0.0,0.0
Pittsburgh Steelers,,D,2800,PIT,@CIN,20.5,PIT by 3,2.8,0.8,0.5,273,115,20.6,6.0,9.3,7.4,6.6,0.9,13.8,7.2,2.6,0.0,0.0
Cincinnati Bengals,,D,2800,CIN,PIT,23.5,PIT by 3,1.2,0.2,0.9,272,113,23.9,3.8,8.0,6.3,6.1,3.1,9.4,6.2,2.2,0.0,0.0
Dallas Cowboys,1,D,2700,DAL,TB,19.8,DAL by 7,1.9,0.5,0.9,265,105,21.2,6.7,6.0,5.3,5.4,2.0,8.7,10.4,3.9,0.0,0.0
Tennessee Titans,,D,2700,TEN,@KC,23.5,KC by 5,2.3,0.8,0.4,249,96,21.4,5.4,6.3,5.1,5.5,1.7,8.5,6.4,2.4,0.0,0.0
San Diego Chargers,,D,2700,SD,OAK,26.0,OAK by 3,1.1,0.4,0.4,269,116,27.1,2.6,6.3,7.6,7.6,3.0,12.2,6.1,2.3,0.0,0.0
Oakland Raiders,,D,2700,OAK,@SD,23.0,OAK by 3,2.5,1.2,1.3,276,98,25.1,9.8,9.3,6.6,6.2,2.6,10.6,9.1,3.4,0.0,0.0
Los Angeles Rams,,D,2600,LA,@SEA,26.8,SEA by 15.5,2.5,0.5,0.8,273,104,20.6,7.4,0.3,6.6,6.2,0.8,12.3,6.2,2.4,0.0,0.0
Jacksonville Jaguars,,D,2600,JAX,@HOU,22.8,HOU by 6,1.8,0.6,1.1,204,126,17.2,7.9,4.3,3.1,3.4,-0.8,7.0,6.0,2.3,0.0,0.0
Detroit Lions,,D,2600,DET,@NYG,22.5,NYG by 4,1.4,1.0,1.0,253,79,18.7,6.7,7.3,6.6,6.8,1.5,11.7,5.8,2.2,0.0,0.0
Washington Redskins,,D,2600,WAS,CAR,23.0,WAS by 5,2.2,0.9,1.1,248,109,22.5,8.9,4.0,6.4,5.8,1.9,10.9,7.8,3.0,0.0,0.0
Tampa Bay Buccaneers,,D,2500,TB,@DAL,26.8,DAL by 7,1.5,0.8,0.3,242,152,26.2,3.3,14.0,7.7,8.8,0.6,14.7,5.7,2.3,0.0,0.0
Indianapolis Colts,,D,2500,IND,@MIN,24.8,MIN by 4,2.2,0.5,0.2,246,73,18.5,5.8,4.7,6.1,4.9,1.0,11.2,6.4,2.6,0.0,0.0
Chicago Bears,,D,2400,CHI,GB,23.5,GB by 6.5,2.0,0.7,0.6,273,99,25.6,5.4,9.7,5.9,6.7,1.0,10.9,5.3,2.2,0.0,0.0
New Orleans Saints,,D,2400,NO,@ARI,26.5,ARI by 2.5,2.8,0.8,1.2,274,110,22.5,9.8,5.0,4.4,4.2,0.1,8.7,8.8,3.7,0.0,0.0
San Francisco 49ers,,D,2300,SF,@ATL,32.5,ATL by 14,2.4,0.2,0.5,312,107,30.6,3.2,4.0,4.0,4.2,-0.5,8.5,3.6,1.6,0.0,0.0
Cleveland Browns,,D,2200,CLE,@BUF,26.0,BUF by 10.5,3.1,0.7,0.5,197,155,23.6,5.8,2.7,3.1,3.1,-0.5,6.7,4.6,2.1,0.0,0.0
