Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Arizona Cardinals,12,D,3900,ARI,LA,17.5,ARI by 7.5,1.2,0.5,0.8,172,127,15.6,7.9,12.0,9.6,12.0,0.8,18.3,9.1,2.3,0.0,0.0
Seattle Seahawks,5,D,3800,SEA,@NYJ,18.8,SEA by 2.5,1.4,0.6,1.1,257,123,23.8,7.1,7.0,8.9,7.0,5.0,12.8,9.0,2.4,0.0,0.0
Denver Broncos,8,D,3700,DEN,@TB,20.0,DEN by 3,1.5,0.8,1.1,259,134,21.3,7.6,12.3,9.9,12.3,2.9,17.0,9.5,2.6,0.0,0.0
Minnesota Vikings,3,D,3600,MIN,NYG,19.3,MIN by 4.5,1.8,0.6,1.1,282,102,24.2,6.2,20.3,10.8,20.3,3.4,18.3,8.0,2.2,0.0,0.0
Washington Redskins,10,D,3500,WAS,CLE,19.8,WAS by 7.5,3.3,0.9,0.8,239,107,16.0,11.4,4.3,7.8,4.3,3.5,12.0,7.8,2.2,0.0,0.0
Carolina Panthers,7,D,3400,CAR,@ATL,23.5,CAR by 3,2.1,0.8,1.0,277,107,20.3,7.7,8.0,10.1,8.0,3.2,16.9,9.9,2.9,0.0,0.0
New England Patriots,8,D,3300,NE,BUF,,,2.5,0.6,0.5,201,147,20.4,6.5,10.3,8.9,10.3,3.2,14.7,7.8,2.4,0.0,0.0
Cincinnati Bengals,1,D,3200,CIN,MIA,19.3,CIN by 7.5,2.8,0.6,0.8,243,96,19.1,7.9,5.0,8.2,5.0,3.7,12.6,9.1,2.8,0.0,0.0
Houston Texans,18,D,3200,HOU,TEN,18.0,HOU by 4.5,3.0,0.9,1.2,217,93,15.4,12.3,7.7,9.9,7.7,1.0,18.8,8.4,2.6,0.0,0.0
Detroit Lions,,D,3100,DET,@CHI,22.5,DET by 3,2.2,0.8,0.7,247,105,20.9,7.3,3.0,5.3,3.0,-0.6,11.1,7.4,2.4,0.0,0.0
Kansas City Chiefs,0,D,3000,KC,@PIT,26.3,PIT by 5,1.9,0.4,1.4,282,110,25.0,5.9,12.3,12.2,12.3,4.0,20.4,8.1,2.7,0.0,0.0
Dallas Cowboys,0,D,2900,DAL,@SF,21.3,DAL by 2.5,2.9,0.3,0.7,208,91,16.4,8.1,4.7,4.9,4.7,1.7,8.1,5.9,2.0,0.0,0.0
New York Giants,0,D,2900,NYG,@MIN,23.8,MIN by 4.5,2.8,0.4,0.4,198,121,21.6,5.3,4.0,6.5,4.0,0.8,12.2,7.5,2.6,0.0,0.0
New York Jets,3,D,2800,NYJ,SEA,21.3,SEA by 2.5,2.6,0.6,0.5,248,137,24.3,6.6,4.7,5.9,4.7,2.1,9.8,7.9,2.8,0.0,0.0
Pittsburgh Steelers,0,D,2800,PIT,KC,21.3,PIT by 5,2.6,0.5,0.3,212,126,22.4,5.3,3.3,8.6,3.3,1.9,15.4,8.2,2.9,0.0,0.0
Oakland Raiders,,D,2700,OAK,@BAL,24.8,BAL by 3.5,1.8,0.6,1.3,262,94,19.7,8.4,4.0,6.8,4.0,2.6,11.0,7.3,2.7,0.0,0.0
Los Angeles Rams,,D,2700,LA,@ARI,25.0,ARI by 7.5,2.2,0.6,0.9,293,116,26.1,6.1,8.0,8.3,8.0,1.7,14.9,7.1,2.6,0.0,0.0
Miami Dolphins,0,D,2700,MIA,@CIN,26.8,CIN by 7.5,2.6,0.5,0.6,250,105,24.0,5.9,7.7,6.8,7.7,-0.2,13.7,4.5,1.7,0.0,0.0
Buffalo Bills,,D,2600,BUF,@NE,,,2.3,0.5,0.4,263,101,25.8,5.8,12.3,6.8,12.3,0.6,13.0,6.7,2.6,0.0,0.0
Tampa Bay Buccaneers,1,D,2600,TB,DEN,23.0,DEN by 3,2.3,0.6,1.4,252,118,20.9,7.9,4.3,6.4,4.3,1.2,11.7,7.0,2.7,0.0,0.0
San Francisco 49ers,0,D,2600,SF,DAL,23.8,DAL by 2.5,2.0,0.6,1.2,213,124,16.9,9.7,8.3,5.3,8.3,1.3,9.4,4.4,1.7,0.0,0.0
Cleveland Browns,,D,2500,CLE,@WAS,27.3,WAS by 7.5,1.7,0.6,0.6,277,86,24.3,5.1,7.0,5.3,7.0,0.4,10.1,5.3,2.1,0.0,0.0
Chicago Bears,,D,2500,CHI,DET,25.5,DET by 3,2.9,0.4,0.7,276,95,23.6,5.5,4.0,5.5,4.0,2.2,8.8,4.8,1.9,0.0,0.0
