"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Charlie Blackmon",5500,"COL@STL 08:15PM ET",11.04,"COL","STL",9.17,9.4,8.07,NA,"1","1",0
"3B","Nolan Arenado",5400,"COL@STL 08:15PM ET",9.899,"COL","STL",8.34,7.4,7.55,NA,"3","3",5
"OF","Gerardo Parra",4800,"COL@STL 08:15PM ET",7.459,"COL","STL",7.21,7.6,1.39,NA,"4","4",7
"OF","Giancarlo Stanton",4800,"MIA@TEX 08:05PM ET",9.781,"MIA","TEX",9.5,12.7,9.48,NA,"2","2",7
"SS","Elvis Andrus",4600,"MIA@TEX 08:05PM ET",8.947,"TEX","MIA",7.74,8.5,11.01,NA,"2","2",15
"1B","Justin Bour",4600,"MIA@TEX 08:05PM ET",8.287,"MIA","TEX",NA,0,7.38,NA,"x","x",NA
"1B","Mark Reynolds",4400,"COL@STL 08:15PM ET",8.832,"COL","STL",7.62,0,6.5,NA,"x","x",NA
"OF","Tommy Pham",4400,"COL@STL 08:15PM ET",9.743,"STL","COL",NA,8.9,NA,NA,"2","2",3
"OF","Shin-Soo Choo",4300,"MIA@TEX 08:05PM ET",8.167,"TEX","MIA",8.13,9.2,10.47,NA,"1","1",16
"SS","Trevor Story",4200,"COL@STL 08:15PM ET",6.837,"COL","STL",5.86,5.5,5.86,NA,"7","7",14
"2B","DJ LeMahieu",4100,"COL@STL 08:15PM ET",7.505,"COL","STL",6.26,6.3,6.68,NA,"2","2",6
"OF","Carlos Gomez",4000,"MIA@TEX 08:05PM ET",7.971,"TEX","MIA",7.35,7.5,8.39,NA,"7","8",0
"2B","Dee Gordon",4000,"MIA@TEX 08:05PM ET",8.095,"MIA","TEX",6.69,8.5,8.71,NA,"1","1",17
"OF","Randal Grichuk",3900,"COL@STL 08:15PM ET",7.477,"STL","COL",6.09,8.4,6.16,NA,"7","4",3
"3B","Adrian Beltre",3900,"MIA@TEX 08:05PM ET",8.587,"TEX","MIA",8.2,8.4,10.61,NA,"4","4",4
"OF","Marcell Ozuna",3900,"MIA@TEX 08:05PM ET",9.021,"MIA","TEX",8.39,10.2,8.08,NA,"4","4",0
"OF","Delino DeShields",3900,"MIA@TEX 08:05PM ET",6.233,"TEX","MIA",NA,0,7.88,NA,"x","x",NA
"OF","Christian Yelich",3900,"MIA@TEX 08:05PM ET",7.979,"MIA","TEX",6.05,7.6,8.16,NA,"3","3",30
"1B","Matt Carpenter",3800,"COL@STL 08:15PM ET",7.8,"STL","COL",7.72,8.9,7.67,NA,"1","1",5
"OF","Stephen Piscotty",3800,"COL@STL 08:15PM ET",6.478,"STL","COL",NA,0,NA,NA,"x","x",NA
"OF","David Dahl",3800,"COL@STL 08:15PM ET",0,"COL","STL",NA,0,NA,NA,"x","x",NA
"SS","Aledmys Diaz",3800,"COL@STL 08:15PM ET",6.028,"STL","COL",NA,0,NA,NA,"x","x",NA
"1B","Mike Napoli",3700,"MIA@TEX 08:05PM ET",6.855,"TEX","MIA",7.26,7.6,9.03,NA,"5","5",22
"2B","Rougned Odor",3700,"MIA@TEX 08:05PM ET",6.909,"TEX","MIA",6.83,8.3,9.92,NA,"6","6",21
"2B/SS","Paul DeJong",3600,"COL@STL 08:15PM ET",7.787,"STL","COL",6.12,7.9,6.26,NA,"5","3",19
"3B","Martin Prado",3600,"MIA@TEX 08:05PM ET",5.378,"MIA","TEX",NA,0,NA,NA,"x","x",NA
"1B/3B","Joey Gallo",3600,"MIA@TEX 08:05PM ET",7.404,"TEX","MIA",6.07,7.4,2.42,NA,"9","9",32
"OF","Carlos Gonzalez",3500,"COL@STL 08:15PM ET",5.723,"COL","STL",5.71,7.8,5.97,NA,"6","6",3
"OF","Dexter Fowler",3500,"COL@STL 08:15PM ET",7.556,"STL","COL",6.16,0,7.57,NA,"x","x",NA
"3B","Jedd Gyorko",3500,"COL@STL 08:15PM ET",7.556,"STL","COL",6.18,0,7.27,NA,"x","x",NA
"1B/OF","Ian Desmond",3400,"COL@STL 08:15PM ET",7.453,"COL","STL",5.88,6.4,6.63,NA,"x","5",0
"1B/OF","Tyler Moore",3400,"MIA@TEX 08:05PM ET",3.741,"MIA","TEX",5.34,7.2,6.81,NA,"6","6",0
"C","Yadier Molina",3300,"COL@STL 08:15PM ET",6.489,"STL","COL",5.55,6.7,5.96,NA,"4","5",11
"2B/SS","Pat Valaika",3300,"COL@STL 08:15PM ET",4.273,"COL","STL",NA,0,NA,NA,"x","x",NA
"C","Robinson Chirinos",3300,"MIA@TEX 08:05PM ET",7.386,"TEX","MIA",5.79,0,2.13,NA,"x","x",NA
"3B","Derek Dietrich",3300,"MIA@TEX 08:05PM ET",4.622,"MIA","TEX",4.18,5.9,1.6,NA,"7","9",0
"C","JT Realmuto",3300,"MIA@TEX 08:05PM ET",7.805,"MIA","TEX",6.23,8.7,6.92,NA,"5","5",4
"OF/SS","Jurickson Profar",3300,"MIA@TEX 08:05PM ET",3.864,"TEX","MIA",NA,0,NA,NA,"x","x",NA
"OF","Raimel Tapia",3200,"COL@STL 08:15PM ET",5.625,"COL","STL",NA,0,NA,NA,"x","x",NA
"OF","Magneuris Sierra",3200,"COL@STL 08:15PM ET",8.154,"STL","COL",NA,0,NA,NA,"x","x",NA
"OF","Nomar Mazara",3200,"MIA@TEX 08:05PM ET",7.167,"TEX","MIA",7.55,8.2,9.76,NA,"3","3",13
"2B","Kolten Wong",3100,"COL@STL 08:15PM ET",6.373,"STL","COL",5.82,7.6,5.28,NA,"6","6",6
"1B","Luke Voit",3100,"COL@STL 08:15PM ET",5.417,"STL","COL",5.27,0,1.47,NA,"x","x",NA
"OF","Destin Hood",3000,"MIA@TEX 08:05PM ET",0,"MIA","TEX",NA,0,NA,NA,"x","x",NA
"C","Brett Nicholas",3000,"MIA@TEX 08:05PM ET",0,"TEX","MIA",NA,0,1.98,NA,"x","x",NA
"OF","Stephen Cardullo",2900,"COL@STL 08:15PM ET",2,"COL","STL",NA,0,NA,NA,"x","x",NA
"OF","Ichiro Suzuki",2900,"MIA@TEX 08:05PM ET",1.857,"MIA","TEX",3.29,0,1.46,NA,"x","x",NA
"C","AJ Ellis",2900,"MIA@TEX 08:05PM ET",4.654,"MIA","TEX",4.75,6.9,1.36,NA,"x","7",2
"C","Jonathan Lucroy",2900,"MIA@TEX 08:05PM ET",5.405,"TEX","MIA",5.6,7.4,8.19,NA,"8","7",9
"C","Tomas Telis",2900,"MIA@TEX 08:05PM ET",1.714,"MIA","TEX",NA,0,NA,NA,"x","x",NA
"1B/OF","Ryan Rua",2900,"MIA@TEX 08:05PM ET",3.8,"TEX","MIA",NA,0,NA,NA,"x","x",NA
"2B","Andy Ibanez",2900,"MIA@TEX 08:05PM ET",0,"TEX","MIA",NA,0,NA,NA,"x","x",NA
"C","Dustin Garneau",2800,"COL@STL 08:15PM ET",4.318,"COL","STL",NA,0,NA,NA,"x","x",NA
"1B/OF","Jose Martinez",2700,"COL@STL 08:15PM ET",5.148,"STL","COL",NA,0,1.59,NA,"x","x",NA
"2B/3B","Greg Garcia",2700,"COL@STL 08:15PM ET",2.883,"STL","COL",NA,5.5,1.27,NA,"x","8",3
"C","Tom Murphy",2700,"COL@STL 08:15PM ET",1.625,"COL","STL",NA,0,NA,NA,"x","x",NA
"OF","Jordan Patterson",2700,"COL@STL 08:15PM ET",0,"COL","STL",NA,0,NA,NA,"x","x",NA
"OF","Mike Tauchman",2700,"COL@STL 08:15PM ET",2,"COL","STL",NA,0,NA,NA,"x","x",NA
"OF","Harrison Bader",2700,"COL@STL 08:15PM ET",0,"STL","COL",NA,4.6,NA,NA,"8","7",7
"2B/3B","Christian Colon",2700,"MIA@TEX 08:05PM ET",1.833,"MIA","TEX",NA,0,NA,NA,"x","x",NA
"2B/OF","Steve Lombardozzi",2700,"MIA@TEX 08:05PM ET",0,"MIA","TEX",NA,0,NA,NA,"x","x",NA
"2B/SS","Hanser Alberto",2700,"MIA@TEX 08:05PM ET",0,"TEX","MIA",NA,0,NA,NA,"x","x",NA
"OF","Drew Stubbs",2600,"MIA@TEX 08:05PM ET",1,"TEX","MIA",NA,0,NA,NA,"x","x",NA
"1B","Ronald Guzman",2600,"MIA@TEX 08:05PM ET",0,"TEX","MIA",NA,0,NA,NA,"x","x",NA
"2B/OF","Mike Aviles",2500,"MIA@TEX 08:05PM ET",1.333,"MIA","TEX",NA,6.5,NA,NA,"x","8",6
"3B/SS","Pete Kozma",2500,"MIA@TEX 08:05PM ET",1.231,"TEX","MIA",NA,0,NA,NA,"x","x",NA
"3B/SS","Miguel Rojas",2500,"MIA@TEX 08:05PM ET",5.207,"MIA","TEX",4.8,0,1.35,NA,"x","x",NA
"OF","Jared Hoying",2500,"MIA@TEX 08:05PM ET",4.167,"TEX","MIA",NA,0,NA,NA,"x","x",NA
"SS","JT Riddle",2500,"MIA@TEX 08:05PM ET",4.914,"MIA","TEX",4.04,0,5.02,NA,"x","x",NA
"2B/SS","Alexi Amarista",2400,"COL@STL 08:15PM ET",3.377,"COL","STL",NA,0,1.31,NA,"x","x",NA
"2B/OF","Drew Robinson",2400,"MIA@TEX 08:05PM ET",8,"TEX","MIA",NA,0,2.18,NA,"x","x",NA
"C","Ryan Hanigan",2300,"COL@STL 08:15PM ET",5.217,"COL","STL",NA,4,1.09,NA,"x","8",5
"C","Eric Fryer",2300,"COL@STL 08:15PM ET",2.371,"STL","COL",NA,0,NA,NA,"x","x",NA
