"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts","RankTargets","RollingTargetPctg","FreqInd","TierRank","ValueWR"
"QB","Matt Ryan",5500,"ATL@MIA 07:00PM ET",24.759,"ATL","MIA",19.38,24.759,0,0,0,0,0,0
"QB","Matt Schaub",5500,"ATL@MIA 07:00PM ET",0.088,"ATL","MIA",0,0.088,0,0,0,0,0,0
"QB","Matt Simms",5500,"ATL@MIA 07:00PM ET",0,"ATL","MIA",0,0,0,0,0,0,0,0
"QB","Alek Torgersen",5500,"ATL@MIA 07:00PM ET",0,"ATL","MIA",0,0,0,0,0,0,0,0
"RB","Devonta Freeman",5500,"ATL@MIA 07:00PM ET",18.444,"ATL","MIA",18.61,18.444,0,0,0,0,0,0
"RB","Tevin Coleman",5500,"ATL@MIA 07:00PM ET",15.093,"ATL","MIA",12.97,15.093,0,0,0,0,0,0
"RB","Brian Hill",5500,"ATL@MIA 07:00PM ET",0,"ATL","MIA",0,0,0,0,0,0,0,0
"RB","Tyler Renew",5500,"ATL@MIA 07:00PM ET",0,"ATL","MIA",0,0,0,0,0,0,0,0
"RB","Derrick Coleman",5500,"ATL@MIA 07:00PM ET",0,"ATL","MIA",0,0,0,0,0,0,0,0
"RB","Terron Ward",5500,"ATL@MIA 07:00PM ET",3.44,"ATL","MIA",0.98,3.44,0,0,0,0,0,0
"WR","Julio Jones",5500,"ATL@MIA 07:00PM ET",20.094,"ATL","MIA",23.87,20.094,0,0,0,0,0,0
"WR","Mohamed Sanu",5500,"ATL@MIA 07:00PM ET",10.061,"ATL","MIA",11.76,10.061,0,0,0,0,0,0
"WR","Taylor Gabriel",5500,"ATL@MIA 07:00PM ET",10.367,"ATL","MIA",8.34,10.367,0,0,0,0,0,0
"WR","Marvin Hall",5500,"ATL@MIA 07:00PM ET",0,"ATL","MIA",0,0,0,0,0,0,0,0
"WR","Nick Williams",5500,"ATL@MIA 07:00PM ET",5.45,"ATL","MIA",0,5.45,0,0,0,0,0,0
"WR","Devin Fuller",5500,"ATL@MIA 07:00PM ET",0,"ATL","MIA",0,0,0,0,0,0,0,0
"WR","Josh Magee",5500,"ATL@MIA 07:00PM ET",0,"ATL","MIA",0,0,0,0,0,0,0,0
"WR","BJ Daniels",5500,"ATL@MIA 07:00PM ET",0,"ATL","MIA",0,0,0,0,0,0,0,0
"WR","Andre Roberts",5500,"ATL@MIA 07:00PM ET",2.929,"ATL","MIA",0,2.929,0,0,0,0,0,0
"WR","Deante Burton",5500,"ATL@MIA 07:00PM ET",0,"ATL","MIA",0,0,0,0,0,0,0,0
"WR","Reginald Davis III",5500,"ATL@MIA 07:00PM ET",0,"ATL","MIA",0,0,0,0,0,0,0,0
"WR","Bra'Lon Cherry",5500,"ATL@MIA 07:00PM ET",0,"ATL","MIA",0,0,0,0,0,0,0,0
"WR","Reggie Davis",5500,"ATL@MIA 07:00PM ET",0,"ATL","MIA",0,0,0,0,0,0,0,0
"WR","Anthony Dable",5500,"ATL@MIA 07:00PM ET",0,"ATL","MIA",0,0,0,0,0,0,0,0
"WR","Justin Hardy",5500,"ATL@MIA 07:00PM ET",3.839,"ATL","MIA",1.08,3.839,0,0,0,0,0,0
"TE","Austin Hooper",5500,"ATL@MIA 07:00PM ET",4.4,"ATL","MIA",7.29,4.4,0,0,0,0,0,0
"TE","Levine Toilolo",5500,"ATL@MIA 07:00PM ET",3.194,"ATL","MIA",1.68,3.194,0,0,0,0,0,0
"TE","DJ Tialavea",5500,"ATL@MIA 07:00PM ET",3.55,"ATL","MIA",0,3.55,0,0,0,0,0,0
"TE","Eric Saubert",5500,"ATL@MIA 07:00PM ET",0,"ATL","MIA",0,0,0,0,0,0,0,0
"TE","Alex Gray",5500,"ATL@MIA 07:00PM ET",0,"ATL","MIA",0,0,0,0,0,0,0,0
"TE","Joshua Perkins",5500,"ATL@MIA 07:00PM ET",1.32,"ATL","MIA",0,1.32,0,0,0,0,0,0
"TE","Darion Griswold",5500,"ATL@MIA 07:00PM ET",0,"ATL","MIA",0,0,0,0,0,0,0,0
"QB","Ryan Tannehill",5500,"ATL@MIA 07:00PM ET",16.246,"MIA","ATL",0,16.246,0,0,0,0,0,0
"QB","Matt Moore",5500,"ATL@MIA 07:00PM ET",10.071,"MIA","ATL",0,10.071,0,0,0,0,0,0
"QB","Brandon Doughty",5500,"ATL@MIA 07:00PM ET",0,"MIA","ATL",0,0,0,0,0,0,0,0
"QB","David Fales",5500,"ATL@MIA 07:00PM ET",0.44,"MIA","ATL",0,0.44,0,0,0,0,0,0
"RB","Jay Ajayi",5500,"ATL@MIA 07:00PM ET",14.738,"MIA","ATL",18.93,14.738,0,0,0,0,0,0
"RB","Damien Williams",5500,"ATL@MIA 07:00PM ET",6.45,"MIA","ATL",3.45,6.45,0,0,0,0,0,0
"RB","Kenyan Drake",5500,"ATL@MIA 07:00PM ET",2.912,"MIA","ATL",1.71,2.912,0,0,0,0,0,0
"RB","Storm Johnson",5500,"ATL@MIA 07:00PM ET",0,"MIA","ATL",0,0,0,0,0,0,0,0
"RB","De'Veon Smith",5500,"ATL@MIA 07:00PM ET",0,"MIA","ATL",0,0,0,0,0,0,0,0
"RB","Senorise Perry",5500,"ATL@MIA 07:00PM ET",0,"MIA","ATL",0,0,0,0,0,0,0,0
"WR","DeVante Parker",5500,"ATL@MIA 07:00PM ET",10.619,"MIA","ATL",12.14,10.619,0,0,0,0,0,0
"WR","Jarvis Landry",5500,"ATL@MIA 07:00PM ET",15.853,"MIA","ATL",15.32,15.853,0,0,0,0,0,0
"WR","Kenny Stills",5500,"ATL@MIA 07:00PM ET",10.871,"MIA","ATL",11.92,10.871,0,0,0,0,0,0
"WR","Leonte Carroo",5500,"ATL@MIA 07:00PM ET",0.85,"MIA","ATL",3.5,0.85,0,0,0,0,0,0
"WR","Malcolm Lewis",5500,"ATL@MIA 07:00PM ET",0,"MIA","ATL",0,0,0,0,0,0,0,0
"WR","Francis Owusu",5500,"ATL@MIA 07:00PM ET",0,"MIA","ATL",0,0,0,0,0,0,0,0
"WR","Drew Morgan",5500,"ATL@MIA 07:00PM ET",0,"MIA","ATL",0,0,0,0,0,0,0,0
"WR","Isaiah Ford",5500,"ATL@MIA 07:00PM ET",0,"MIA","ATL",0,0,0,0,0,0,0,0
"WR","Rashawn Scott",5500,"ATL@MIA 07:00PM ET",0,"MIA","ATL",0,0,0,0,0,0,0,0
"WR","Jordan Westerkamp",5500,"ATL@MIA 07:00PM ET",0,"MIA","ATL",0,0,0,0,0,0,0,0
"WR","Jakeem Grant",5500,"ATL@MIA 07:00PM ET",0.3,"MIA","ATL",1.03,0.3,0,0,0,0,0,0
"WR","Mitch Mathews",5500,"ATL@MIA 07:00PM ET",0,"MIA","ATL",0,0,0,0,0,0,0,0
"WR","Damore'ea Stringfellow",5500,"ATL@MIA 07:00PM ET",0,"MIA","ATL",0,0,0,0,0,0,0,0
