"Gary Sanchez_NYY","Manny Machado_Bal","Mookie Betts_Bos","Miguel Cabrera_Det","Chris Carter_NYY","Joey Votto_Cin","Chris Davis_Bal","Josh Donaldson_Tor","Brian Dozier_Min","Matt Holliday_NYY","Mark Trumbo_Bal","JD Martinez_Det","Todd Frazier_CWS","Adam Jones_Bal","Brett Gardner_NYY","Dexter Fowler_StL","Ian Kinsler_Det","Matt Carpenter_StL","Jose Bautista_Tor","Hanley Ramirez_Bos","Jose Abreu_CWS","Jacoby Ellsbury_NYY","Aaron Judge_NYY","Justin Upton_Det","Aledmys Diaz_StL","Stephen Piscotty_StL","Evan Longoria_TB","Xander Bogaerts_Bos","Miguel Sano_Min","Melky Cabrera_CWS","Starlin Castro_NYY","Didi Gregorius_NYY","Adam Duvall_Cin","Cody Asche_CWS","Greg Bird_NYY","Jonathan Schoop_Bal","Billy Hamilton_Cin","Jackie Bradley_Bos","Welington Castillo_Bal","Randal Grichuk_StL","Mallex Smith_TB","Dustin Pedroia_Bos","Nicholas Castellanos_Det","Tim Anderson_CWS","Max Kepler_Min","Chase Headley_NYY","Troy Tulowitzki_Tor","Brad Miller_TB","Victor Martinez_Det","Andrew Benintendi_Bos","Joe Mauer_Min","Seth Smith_Bal","Craig Gentry_Bal","Jedd Gyorko_StL","Jose Peraza_Cin","Devon Travis_Tor","Steven Souza_TB","Kennys Vargas_Min","Tyler Saladino_CWS","Robbie Grossman_Min","Jacob May_CWS","Hyun Soo Kim_Bal","Yadier Molina_StL","Scooter Gennett_Cin","Scott Schebler_Cin","Wilson Ramos_TB","Kendrys Morales_Tor","Kevin Kiermaier_TB","Pablo Sandoval_Bos","Avisail Garcia_CWS","Eddie Rosario_Min","Byron Buxton_Min","Trey Mancini_Bal","Aaron Hicks_NYY","Eugenio Suarez_Cin","Russell Martin_Tor","Colby Rasmus_TB","Corey Dickerson_TB","Jorge Polanco_Min","Jhonny Peralta_StL","Zack Cozart_Cin","Logan Morrison_TB","Matt Duffy_TB","Pete Kozma_NYY","JJ Hardy_Bal","Gleyber Torres_NYY","Matt Adams_StL","Arismendy Alcantara_Cin","Steve Pearce_Tor","Kevin Pillar_Tor","Brock Holt_Bos","Matt Davidson_CWS","Charlie Tilson_CWS","Austin Romine_NYY","Joey Rickard_Bal","Kolten Wong_StL","Mitch Moreland_Bos","Ronald Torreyes_NYY","Jesse Winker_Cin","Patrick Kivlehan_Cin","Harrison Bader_StL","Jake Bauers_TB","Tim Beckham_TB","Alex Avila_Det","Chris Young_Bos","Geovany Soto_CWS","Danny Santana_Min","Jose Martinez_StL","Justin Smoak_Tor","Rowdy Tellez_Tor","Dalton Pompey_Tor","James McCann_Det","JaCoby Jones_Det","Jason Castro_Min","Leury Garcia_CWS","Ryan Flaherty_Bal","Greg Garcia_StL","Jarrod Saltalamacchia_Tor","Sandy Leon_Bos","Marco Hernandez_Bos","Dixon Machado_Det","Steve Selsky_Bos","Mikie Mahtook_Det","Tyler Collins_Det","Eduardo Escobar_Min","Caleb Joseph_Bal","Devin Mesoraco_Cin","Stuart Turner_Cin","Ezequiel Carrera_Tor","Jose Iglesias_Det","Chris Gimenez_Min","Omar Narvaez_CWS","Eric Fryer_StL","Tucker Barnhart_Cin","Carson Kelly_StL","Derek Norris_TB","Curt Casali_TB","Christian Vazquez_Bos","Josh Rutledge_Bos","Deven Marrero_Bos","Yolmer Sanchez_CWS","Daniel Robertson_TB","Peter Bourjos_TB","Ehire Adrianza_Min","Darwin Barney_Tor","Jesus Sucre_TB","Andrew Romine_Det","Ryan Goins_Tor","Rickie Weeks_TB","Zack Collins_CWS"
83.7,0,0,0,0,0,0,0,0,81.9,0,0,0,0,80.7,0,0,0,0,0,0,-17.25,-14,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,57.6666666666667,0,0,0,0,-16.5,0,0,0,-12.8333333333333,0,0,-21.1666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.66666666666667,0,0,-9.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,32.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33333333333333,0,0,0,-10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,0,0,0,0,0,0,0,0,0,-24.5,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-16.5,0,0,0,0,26.25,0,0,0,-9.91666666666667,0,0,11.5833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.833333333333333,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,-24.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.5,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15.5833333333333,10.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.83333333333333,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,7.83333333333333,5.83333333333333,0,0,0,0,0,0,16.1666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81.9,0,0,0,0,0,0,0,0,95.3,0,0,0,0,91.65,0,0,0,0,0,0,-22.25,-11.5,0,0,0,0,0,0,0,-4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
