"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07"
"Gary Sanchez_NYY",0,NA,0,3,NA,21
"Manny Machado_BAL",NA,5,NA,3,NA,18
"Mookie Betts_BOS",NA,5,NA,NA,NA,NA
"Miguel Cabrera_DET",NA,NA,NA,NA,NA,NA
"Chris Carter_NYY",NA,NA,NA,NA,NA,NA
"Joey Votto_CIN",NA,0,NA,14,NA,7
"Chris Davis_BAL",NA,5,NA,14,NA,3
"Josh Donaldson_TOR",NA,11,NA,3,4,23
"Brian Dozier_MIN",NA,7,NA,NA,NA,2
"Matt Holliday_NYY",0,NA,9,3,NA,25
"Mark Trumbo_BAL",NA,21,NA,0,NA,0
"JD Martinez_DET",NA,NA,NA,NA,NA,NA
"Todd Frazier_CWS",NA,NA,NA,NA,NA,0
"Adam Jones_BAL",NA,9,NA,16,NA,9
"Brett Gardner_NYY",3,NA,9,5,NA,27
"Dexter Fowler_STL",7,NA,3,NA,NA,2
"Ian Kinsler_DET",NA,NA,NA,NA,NA,NA
"Matt Carpenter_STL",5,NA,0,NA,NA,2
"Jose Bautista_TOR",NA,2,NA,3,6,9
"Hanley Ramirez_BOS",NA,3,NA,5,NA,NA
"Jose Abreu_CWS",NA,NA,NA,NA,NA,5
"Jacoby Ellsbury_NYY",2,NA,10,20,NA,3
"Aaron Judge_NYY",7,NA,5,0,NA,2
"Justin Upton_DET",NA,NA,NA,NA,NA,NA
"Aledmys Diaz_STL",18,NA,0,NA,NA,0
"Stephen Piscotty_STL",9,NA,4,NA,NA,2
"Evan Longoria_TB",21,NA,7,2,7,20
"Xander Bogaerts_BOS",NA,16,NA,0,NA,NA
"Miguel Sano_MIN",NA,20,NA,NA,NA,7
"Melky Cabrera_CWS",NA,NA,NA,NA,NA,6
"Starlin Castro_NYY",11,NA,0,0,NA,6
"Didi Gregorius_NYY",NA,NA,NA,NA,NA,NA
"Adam Duvall_CIN",NA,8,NA,7,NA,0
"Cody Asche_CWS",NA,NA,NA,NA,NA,0
"Greg Bird_NYY",NA,NA,NA,NA,NA,NA
"Jonathan Schoop_BAL",NA,0,NA,5,NA,7
"Billy Hamilton_CIN",NA,10,NA,7,NA,13
"Jackie Bradley_BOS",NA,12,NA,15,NA,NA
"Welington Castillo_BAL",NA,8,NA,3,NA,0
"Randal Grichuk_STL",23,NA,0,NA,NA,0
"Mallex Smith_TB",3,NA,NA,10,0,NA
"Dustin Pedroia_BOS",NA,7,NA,5,NA,NA
"Nicholas Castellanos_DET",NA,NA,NA,NA,NA,NA
"Tim Anderson_CWS",NA,NA,NA,NA,NA,10
"Max Kepler_MIN",NA,5,NA,NA,NA,0
"Chase Headley_NYY",13,NA,24,10,NA,0
"Troy Tulowitzki_TOR",NA,0,NA,0,0,27
"Brad Miller_TB",8,NA,0,0,7,11
"Victor Martinez_DET",NA,NA,NA,NA,NA,NA
"Andrew Benintendi_BOS",NA,18,NA,3,NA,NA
"Joe Mauer_MIN",NA,6,NA,NA,NA,NA
"Seth Smith_BAL",NA,7,NA,NA,NA,23
"Craig Gentry_BAL",NA,NA,NA,NA,NA,NA
"Jedd Gyorko_STL",0,NA,NA,NA,NA,NA
"Jose Peraza_CIN",NA,6,NA,0,NA,0
"Devon Travis_TOR",NA,6,NA,5,NA,4
"Steven Souza_TB",2,NA,6,5,13,13
"Kennys Vargas_MIN",NA,NA,NA,NA,NA,NA
"Tyler Saladino_CWS",NA,NA,NA,NA,NA,3
"Robbie Grossman_MIN",NA,8,NA,NA,NA,12
"Jacob May_CWS",NA,NA,NA,NA,NA,NA
"Hyun Soo Kim_BAL",NA,NA,NA,NA,NA,NA
"Yadier Molina_STL",10,NA,3,NA,NA,0
"Scooter Gennett_CIN",NA,NA,NA,NA,NA,2
"Scott Schebler_CIN",NA,7,NA,0,NA,16
"Wilson Ramos_TB",NA,NA,NA,NA,NA,NA
"Kendrys Morales_TOR",NA,4,NA,3,20,11
"Kevin Kiermaier_TB",21,NA,3,3,2,12
"Pablo Sandoval_BOS",NA,7,NA,4,NA,NA
"Avisail Garcia_CWS",NA,NA,NA,NA,NA,5
"Eddie Rosario_MIN",NA,3,NA,NA,NA,0
"Byron Buxton_MIN",NA,0,NA,NA,NA,0
"Trey Mancini_BAL",NA,NA,NA,0,NA,NA
"Aaron Hicks_NYY",NA,NA,NA,NA,NA,NA
"Eugenio Suarez_CIN",NA,2,NA,0,NA,NA
"Russell Martin_TOR",NA,4,NA,2,4,NA
"Colby Rasmus_TB",NA,NA,NA,NA,NA,NA
"Corey Dickerson_TB",5,NA,NA,19,8,NA
"Jorge Polanco_MIN",NA,12,NA,NA,NA,0
"Jhonny Peralta_STL",3,NA,3,NA,NA,0
"Zack Cozart_CIN",NA,5,NA,8,NA,15
"Logan Morrison_TB",24,NA,NA,8,5,NA
"Matt Duffy_TB",NA,NA,NA,NA,NA,NA
"Pete Kozma_NYY",NA,NA,NA,NA,NA,NA
"JJ Hardy_BAL",NA,0,NA,0,NA,3
"Gleyber Torres_NYY",NA,NA,NA,NA,NA,NA
"Matt Adams_STL",NA,NA,NA,NA,NA,NA
"Arismendy Alcantara_CIN",NA,NA,NA,NA,NA,NA
"Steve Pearce_TOR",NA,11,NA,0,0,NA
"Kevin Pillar_TOR",NA,7,NA,3,3,6
"Brock Holt_BOS",NA,NA,NA,NA,NA,NA
"Matt Davidson_CWS",NA,NA,NA,NA,NA,NA
"Charlie Tilson_CWS",NA,NA,NA,NA,NA,NA
"Austin Romine_NYY",NA,NA,NA,NA,NA,NA
"Joey Rickard_BAL",NA,NA,NA,0,NA,NA
"Kolten Wong_STL",NA,NA,3,NA,NA,3
"Mitch Moreland_BOS",NA,0,NA,0,NA,NA
"Ronald Torreyes_NYY",2,NA,16,0,NA,0
"Jesse Winker_CIN",NA,NA,NA,NA,NA,NA
"Patrick Kivlehan_CIN",NA,NA,NA,NA,NA,NA
"Harrison Bader_STL",NA,NA,NA,NA,NA,NA
"Jake Bauers_TB",NA,NA,NA,NA,NA,NA
"Tim Beckham_TB",7,NA,3,0,0,7
"Alex Avila_DET",NA,NA,NA,NA,NA,NA
"Chris Young_BOS",NA,NA,NA,4,NA,NA
"Geovany Soto_CWS",NA,NA,NA,NA,NA,2
"Danny Santana_MIN",NA,NA,NA,NA,NA,NA
"Jose Martinez_STL",NA,NA,NA,NA,NA,NA
"Justin Smoak_TOR",NA,NA,NA,10,3,9
"Rowdy Tellez_TOR",NA,NA,NA,NA,NA,NA
"Dalton Pompey_TOR",NA,NA,NA,NA,NA,NA
"James McCann_DET",NA,NA,NA,NA,NA,NA
"JaCoby Jones_DET",NA,NA,NA,NA,NA,NA
"Jason Castro_MIN",NA,12,NA,NA,NA,NA
"Leury Garcia_CWS",NA,NA,NA,NA,NA,5
"Ryan Flaherty_BAL",NA,NA,NA,NA,NA,NA
"Greg Garcia_STL",NA,NA,NA,NA,NA,NA
"Jarrod Saltalamacchia_TOR",NA,NA,NA,NA,NA,5
"Sandy Leon_BOS",NA,8,NA,26,NA,NA
"Marco Hernandez_BOS",NA,NA,NA,NA,NA,NA
"Dixon Machado_DET",NA,NA,NA,NA,NA,NA
"Steve Selsky_BOS",NA,NA,NA,NA,NA,NA
"Mikie Mahtook_DET",NA,NA,NA,NA,NA,NA
"Tyler Collins_DET",NA,NA,NA,NA,NA,NA
"Eduardo Escobar_MIN",NA,NA,NA,NA,NA,9
"Caleb Joseph_BAL",NA,NA,NA,NA,NA,NA
"Devin Mesoraco_CIN",NA,NA,NA,NA,NA,NA
"Stuart Turner_CIN",NA,NA,NA,NA,NA,NA
"Ezequiel Carrera_TOR",NA,10,NA,NA,NA,3
"Jose Iglesias_DET",NA,NA,NA,NA,NA,NA
"Chris Gimenez_MIN",NA,NA,NA,NA,NA,10
"Omar Narvaez_CWS",NA,NA,NA,NA,NA,NA
"Eric Fryer_STL",NA,NA,NA,NA,NA,NA
"Tucker Barnhart_CIN",NA,5,NA,5,NA,3
"Carson Kelly_STL",NA,NA,NA,NA,NA,NA
"Derek Norris_TB",3,NA,0,14,NA,11
"Curt Casali_TB",NA,NA,NA,NA,NA,NA
"Christian Vazquez_BOS",NA,NA,NA,NA,NA,NA
"Josh Rutledge_BOS",NA,NA,NA,NA,NA,NA
"Deven Marrero_BOS",NA,NA,NA,NA,NA,NA
"Yolmer Sanchez_CWS",NA,NA,NA,NA,NA,NA
"Daniel Robertson_TB",NA,NA,0,NA,NA,3
"Peter Bourjos_TB",NA,NA,2,NA,NA,11
"Ehire Adrianza_MIN",NA,NA,NA,NA,NA,NA
"Darwin Barney_TOR",NA,NA,NA,NA,10,NA
"Jesus Sucre_TB",NA,NA,NA,NA,0,NA
"Andrew Romine_DET",NA,NA,NA,NA,NA,NA
"Ryan Goins_TOR",NA,NA,NA,NA,NA,NA
"Rickie Weeks_TB",NA,NA,0,NA,NA,12
"Zack Collins_CWS",NA,NA,NA,NA,NA,NA
