"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Chris Sale",3,"SP",13400,"BOS","@LAA","65%",3.13,NA,NA,NA,4.07,"30.5%",2.86,2.99,"L",0.245,0.274,"4%","0%","0%",34,30.6,30.6,23.7,37.4,26.7,2,0,0
"Max Scherzer",3,"SP",12700,"WAS","@ARI","",NA,NA,NA,NA,4.99,"32.1%",2.8,3.12,"R",0.301,0.207,"-3%","-3%","0%",33,30.9,30.9,21.1,40.8,24.4,1.9,0,0
"Alex Wood",1,"SP",11800,"LAD","ATL","73%",2.78,NA,NA,NA,4.62,"22.0%",3.69,3.45,"L",0.263,0.301,"2%","-1%","-1%",28.4,24.3,24.3,15.7,32.8,19.7,1.7,0,0
"Yu Darvish",2,"SP",10600,"TEX","@TB","54%",3.83,NA,NA,NA,4.67,"28.4%",3.54,3.57,"R",0.301,0.28,"5%","0%","0%",17.3,19.3,19.3,9.1,29.5,20.2,1.9,0,0
"Carlos Martinez",NA,"SP",9600,"STL","@CHC","42%",NA,NA,NA,NA,4.71,"23.7%",3.76,3.59,"R",0.334,0.252,"1%","-2%","0%",11.8,20.8,20.8,8.9,32.7,17,1.8,0,0
"Jeff Samardzija",1,"SP",9100,"SF","SD","60%",3.35,NA,NA,NA,3.67,"20.7%",3.93,3.9,"R",0.331,0.291,"1%","0%","0%",16.8,17.9,17.9,8,27.9,19.6,2.2,0,0
"Ervin Santana",NA,"SP",8600,"MIN","DET","55%",4.48,NA,NA,NA,4.84,"18.9%",4.49,4.47,"R",0.308,0.3,"-2%","-3%","2%",14.9,19,19,5.7,32.3,13.3,1.5,0,0
"Aaron Nola",1,"SP",8400,"PHI","MIL","56%",3.98,NA,NA,NA,4.87,"23.9%",3.56,3.39,"R",0.325,0.279,"1%","-3%","0%",27.7,18.8,18.8,8.8,28.8,19.5,2.3,0,0
"Trevor Cahill",2,"SP",8300,"SD","@SF","40%",4.15,NA,NA,NA,3.89,"24.3%",3.56,3.52,"R",0.339,0.303,"0%","0%","0%",19.7,19.8,19.8,13.6,26,16.2,2,0,0
"Ian Kennedy",NA,"SP",8100,"KC","CWS","63%",4.5,NA,NA,NA,4.45,"23.0%",4.1,4.39,"R",0.322,0.316,"-2%","-4%","0%",19.2,13.6,13.6,3.3,23.9,14.8,1.8,0,0
"Alex Cobb",NA,"SP",7900,"TB","TEX","46%",4.17,NA,NA,NA,4.86,"15.6%",4.74,4.59,"R",0.297,0.312,"3%","0%","0%",19.3,14.5,14.5,4.9,24.1,13.7,1.7,0,0
"Jake Arrieta",NA,"SP",7800,"CHC","STL","57%",NA,NA,NA,NA,4.52,"25.0%",3.49,3.3,"R",0.258,0.256,"1%","-2%","0%",15.1,15.9,15.9,5.7,26,17,2.2,0,0
"Mike Fiers",1,"SP",7500,"HOU","@BAL","56%",5.08,NA,NA,NA,4.55,"21.6%",4.09,4.12,"R",0.293,0.345,"-2%","-4%","0%",20.8,15.6,15.6,6.4,24.7,13.3,1.8,0,0
"CC Sabathia",NA,"SP",7300,"NYY","@SEA","52%",4.39,NA,NA,NA,4.8,"19.2%",4.3,4.21,"L",0.261,0.336,"6%","-2%","0%",17.3,14.7,14.7,3.4,26.1,13.7,1.9,0,0
"Steven Matz",NA,"SP",7100,"NYM","OAK","60%",3.98,NA,NA,NA,4.33,"21.8%",3.81,3.65,"L",0.308,0.302,"2%","-3%","0%",9.1,10.7,10.7,-3.2,24.6,14.8,2.1,0,0
"Ricky Nolasco",NA,"SP",6800,"LAA","BOS","35%",4.37,NA,NA,NA,4.72,"18.6%",4.38,4.42,"R",0.343,0.352,"3%","-1%","0%",15.9,13.2,13.2,1.7,24.7,13.2,1.9,0,0
"Matt Garza",NA,"SP",6700,"MIL","@PHI","44%",4.52,NA,NA,NA,3.92,"15.6%",4.71,4.53,"R",0.334,0.325,"5%","-4%","0%",11.1,12.1,12.1,6.2,18,11.1,1.7,0,0
"Jeff Hoffman",NA,"SP",6300,"COL","PIT","56%",5.36,NA,NA,NA,4.19,"18.5%",4.73,4.83,"R",0.298,0.354,"-10%","-2%","1%",7.9,16,16,2.3,29.7,12.9,2,0,0
"Trevor Bauer",NA,"SP",6200,"CLE","TOR","55%",4.47,NA,NA,NA,4.13,"22.6%",4.17,4.1,"R",0.317,0.322,"-2%","-2%","1%",12.6,14,14,2,26,14.2,2.3,0,0
"Anibal Sanchez",NA,"SP",6100,"DET","@MIN","45%",5.02,NA,NA,NA,4.55,"20.6%",4.2,4.36,"R",0.302,0.374,"-3%","-2%","1%",15,15,15,7,22.9,12.5,2,0,0
"James Shields",NA,"SP",5800,"CWS","@KC","37%",6,NA,NA,NA,4.06,"20.4%",4.51,4.59,"R",0.356,0.333,"-7%","-6%","0%",4.4,9.8,9.8,1.2,18.4,10.1,1.7,0,0
"Marco Estrada",NA,"SP",5700,"TOR","@CLE","45%",5.03,NA,NA,NA,4.7,"21.5%",4.42,4.75,"R",0.29,0.307,"-4%","-3%","1%",5.7,13.9,13.9,1.2,26.6,13.3,2.3,0,0
"Homer Bailey",NA,"SP",5600,"CIN","MIA","51%",4.93,NA,NA,NA,4.6,"17.3%",4.53,4.34,"R",0.368,0.379,"0%","-4%","0%",2.6,2.6,2.6,-12.4,17.7,10.9,1.9,0,0
"Trevor Williams",NA,"RP",5500,"PIT","@COL","44%",6.14,NA,NA,NA,5.31,"17.1%",4.5,4.45,"R",0.357,0.316,"-33%","-4%","3%",13.4,10.5,10.5,2.3,18.6,7.1,1.3,0,0
"Jaime Garcia",NA,"SP",5400,"ATL","@LAD","27%",4.72,NA,NA,NA,5.15,"19.3%",3.93,3.76,"L",0.304,0.308,"9%","-2%","-2%",9.9,13.3,13.3,4.3,22.2,13.9,2.6,0,0
"Paul Blackburn",NA,"SP",5300,"OAK","@NYM","40%",5.02,NA,NA,NA,4.82,"",NA,NA,"R",NA,NA,"5%","-6%","0%",14.2,14.2,14.2,9.9,18.4,9,1.7,0,0
"Andrew Moore",NA,"SP",5300,"SEA","NYY","48%",4.61,NA,NA,NA,5.34,"",NA,NA,"R",NA,NA,"5%","-3%","0%",9.1,9.1,9.1,-1.7,19.9,10.5,2,0,0
"Jose Urena",NA,"SP",5000,"MIA","@CIN","49%",5.07,NA,NA,NA,4.7,"14.3%",5.03,5.15,"R",0.35,0.323,"-3%","-5%","0%",11.3,12,12,3.7,20.4,9.2,1.8,0,0
"Ubaldo Jimenez",NA,"SP",4800,"BAL","HOU","43%",5.92,NA,NA,NA,5.87,"20.1%",4.44,4.35,"R",0.355,0.321,"0%","-6%","0%",5.9,6.4,6.4,-7.3,20.2,8.2,1.7,0,0
