"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Chris Sale",1,"SP",12600,"BOS","@MIN","60%",3.36,NA,NA,NA,4.67,"29.4%",2.91,3.03,"L",0.22,0.278,"1%","1%","1%",34.9,33.6,33.6,27.9,39.4,27.4,2.2,0,0
"Johnny Cueto",NA,"SP",10900,"SF","@CIN","54%",4.06,NA,NA,NA,5,"21.2%",3.76,3.64,"R",0.271,0.284,"-1%","3%","-1%",14.6,14.2,14.2,3.7,24.7,16.5,1.5,0,0
"Jon Lester",NA,"SP",10300,"CHC","NYY","56%",NA,NA,NA,NA,5.59,"24.6%",3.43,3.31,"L",0.28,0.284,"1%","4%","1%",13.2,14,14,6.6,21.4,17.4,1.7,0,0
"Jose Quintana",NA,"SP",9800,"CWS","@BAL","46%",4.44,NA,NA,NA,4.36,"21.2%",3.86,3.82,"L",0.299,0.307,"-1%","3%","0%",20.7,17,17,3.2,30.8,17.6,1.8,0,0
"Ervin Santana",NA,"SP",9700,"MIN","BOS","40%",4.14,NA,NA,NA,3.79,"19.4%",4.33,4.27,"R",0.307,0.291,"-1%","2%","1%",27.7,26.6,26.6,17.3,35.9,16.8,1.7,0,0
"Brandon McCarthy",NA,"SP",9400,"LAD","@SD","56%",3.25,NA,NA,NA,3.71,"25.7%",3.95,3.83,"R",0.319,0.321,"0%","2%","0%",17.3,17.3,17.3,9.4,25.1,16.6,1.8,0,0
"Tanner Roark",NA,"SP",8700,"WAS","@PHI","53%",4.12,NA,NA,NA,4.61,"18.2%",4.26,4.18,"R",0.307,0.277,"4%","3%","0%",14,15.2,15.2,11.6,18.8,15,1.7,0,0
"Danny Duffy",NA,"SP",8400,"KC","CLE","51%",4.21,NA,NA,NA,4.43,"21.7%",4.05,4.22,"L",0.228,0.321,"-2%","0%","0%",11.5,13.6,13.6,-0.1,27.2,15.9,1.9,0,0
"Matt Shoemaker",1,"SP",8400,"LAA","HOU","54%",4.32,NA,NA,NA,4.9,"21.0%",3.94,4.04,"R",0.311,0.311,"2%","2%","0%",12.7,12.4,12.4,2.4,22.4,14.8,1.8,0,0
"Luis Severino",NA,"SP",8300,"NYY","@CHC","44%",NA,NA,NA,NA,4.97,"23.2%",3.69,3.61,"R",0.301,0.327,"3%","4%","1%",21.4,21.4,21.4,7.7,35.1,19,2.3,0,0
"Chris Tillman",1,"SP",8200,"BAL","CWS","54%",4.06,NA,NA,NA,4.14,"17.9%",4.65,4.56,"R",0.312,0.323,"0%","4%","0%",0,0,0,0,0,13.4,1.6,0,0
"Daniel Norris",NA,"SP",8100,"DET","@OAK","49%",4.29,NA,NA,NA,3.66,"20.1%",4.32,4.4,"L",0.331,0.323,"4%","0%","0%",12.6,12.6,12.6,1.2,24,15.4,1.9,0,0
"Sonny Gray",NA,"SP",7800,"OAK","DET","51%",4.21,NA,NA,NA,4.96,"19.5%",4,3.85,"R",0.286,0.296,"3%","-1%","0%",9.3,9.3,9.3,9.3,9.3,14.7,1.9,0,0
"Alex Cobb",1,"SP",7700,"TB","TOR","56%",3.68,NA,NA,NA,3.97,"16.1%",4.24,4.05,"R",0.307,0.298,"2%","0%","0%",10.5,12,12,3,21,14.4,1.9,0,0
