"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Corey Kluber",1,"SP",10800,"CLE","@CWS","57%",3.42,NA,NA,NA,3.5,"26.8%",3.26,3.3,"R",0.31,0.255,"3%","3%","0%",13.2,13.2,13.2,10.1,16.3,20.9,1.9,0,0
"Jon Lester",0,"SP",10600,"CHC","@CIN","61%",3.74,NA,NA,NA,4.73,"24.9%",3.4,3.28,"L",0.283,0.278,"-1%","2%","0%",19.5,19.5,19.5,16.9,22.1,19.4,1.8,0,0
"Justin Verlander",1,"SP",10300,"DET","@MIN","53%",3.63,NA,NA,NA,4.14,"25.4%",3.61,3.92,"R",0.289,0.312,"-2%","3%","0%",14,14,14,-5.7,33.7,19.2,1.9,0,0
"Jacob deGrom",0,"SP",10200,"NYM","WAS","56%",2.99,NA,NA,NA,5.5,"25.9%",3.24,3.12,"R",0.28,0.262,"2%","2%","0%",23.1,23.1,23.1,11,35.1,20,2,0,0
"Cole Hamels",1,"SP",9300,"TEX","KC","59%",4.03,NA,NA,NA,2.93,"23.6%",3.75,3.68,"L",0.29,0.3,"-2%","1%","0%",11.2,11.2,11.2,3.9,18.4,15.8,1.7,0,0
"Johnny Cueto",NA,"SP",8100,"SF","@COL","51%",5.17,NA,NA,NA,3.38,"21.5%",3.71,3.61,"R",0.268,0.282,"-18%","8%","0%",18.8,18.8,18.8,12.8,24.8,15.2,1.9,0,0
"Tanner Roark",NA,"SP",8000,"WAS","@NYM","43%",3.51,NA,NA,NA,4.53,"18.2%",4.22,4.15,"R",0.303,0.279,"6%","3%","0%",15.9,15.9,15.9,10.8,21,15.1,1.9,0,0
"Taijuan Walker",NA,"SP",7900,"ARI","LAD","46%",4.96,NA,NA,NA,4.31,"21.6%",3.89,4.03,"R",0.306,0.321,"-3%","0%","0%",16.1,16.1,16.1,6.3,25.8,13.9,1.8,0,0
"Sean Manaea",1,"SP",7800,"OAK","SEA","56%",3.5,NA,NA,NA,4.31,"21.7%",3.97,3.94,"L",0.235,0.315,"2%","1%","0%",14.7,14.7,14.7,9.5,19.9,15.7,2,0,0
"Jose Quintana",1,"SP",7700,"CWS","CLE","42%",4.08,NA,NA,NA,4.93,"20.9%",3.88,3.84,"L",0.297,0.308,"1%","4%","0%",7.9,7.9,7.9,-3.6,19.3,16.9,2.2,0,0
"Hisashi Iwakuma",NA,"SP",7500,"SEA","@OAK","44%",4,NA,NA,NA,3.93,"18.7%",4.1,4.04,"R",0.301,0.292,"3%","1%","0%",5.3,5.3,5.3,-4.7,15.2,12.8,1.7,0,0
"CC Sabathia",NA,"SP",7400,"NYY","@PIT","51%",3.96,NA,NA,NA,3.27,"19.1%",4.24,4.16,"L",0.275,0.345,"2%","4%","-2%",17.8,17.8,17.8,8.7,26.8,14.5,2,0,0
"Jeremy Hellickson",NA,"SP",7300,"PHI","ATL","52%",3.89,NA,NA,NA,3.93,"19.0%",4.2,4.13,"R",0.32,0.324,"2%","1%","0%",13.8,13.8,13.8,10.6,16.9,13.5,1.8,0,0
"Mike Fiers",NA,"SP",7200,"HOU","@TB","50%",4.02,NA,NA,NA,4.5,"21.0%",4.07,4.08,"R",0.303,0.327,"2%","0%","0%",8.8,8.8,8.8,3.2,14.3,14,1.9,0,0
"Alex Cobb",NA,"SP",7100,"TB","HOU","50%",3.98,NA,NA,NA,4.33,"15.0%",4.37,4.25,"R",0.303,0.296,"2%","0%","0%",11.4,11.4,11.4,-1.9,24.7,13.8,1.9,0,0
"Adam Conley",1,"SP",7000,"MIA","@SD","54%",3.59,NA,NA,NA,3,"21.0%",4.43,4.64,"L",0.336,0.311,"1%","1%","0%",15.4,15.4,15.4,4.8,25.9,13.3,1.9,0,0
"Bartolo Colon",NA,"SP",6900,"ATL","@PHI","48%",4.11,NA,NA,NA,4.71,"16.7%",4.19,4.07,"R",0.31,0.31,"4%","1%","0%",15.3,15.3,15.3,-2.1,32.7,13.7,2,0,0
"Dylan Bundy",NA,"SP",6900,"BAL","BOS","52%",4.14,NA,NA,NA,4.33,"22.2%",4.09,4.38,"R",0.318,0.317,"0%","1%","0%",22,22,22,10.3,33.8,15,2.2,0,0
"Alex Wood",NA,"SP",6800,"LAD","@ARI","54%",4.54,NA,NA,NA,4.88,"19.5%",4.01,3.78,"L",0.272,0.31,"-8%","0%","0%",9.4,9.4,9.4,9.4,9.4,14.7,2.2,0,0
"Drew Pomeranz",1,"SP",6700,"BOS","@BAL","48%",4.36,NA,NA,NA,4.46,"25.8%",3.71,3.71,"L",0.268,0.288,"2%","1%","0%",20,20,20,13.7,26.4,16.9,2.5,0,0
"Tyler Glasnow",1,"SP",6600,"PIT","NYY","49%",4.04,NA,NA,NA,5.13,"22.1%",4.66,4.74,"R",NA,NA,"1%","2%","-1%",1.1,1.1,1.1,-14.1,16.3,15.7,2.4,0,0
"Hector Santiago",NA,"SP",6400,"MIN","DET","47%",3.87,NA,NA,NA,4.43,"19.4%",4.75,5.21,"L",0.302,0.324,"-2%","5%","0%",16.6,16.6,16.6,9.5,23.8,12.8,2,0,0
"Tyler Chatwood",NA,"SP",6100,"COL","SF","49%",5.33,NA,NA,NA,3.81,"17.8%",4.46,4.21,"R",0.308,0.33,"-10%","8%","0%",19.4,19.4,19.4,5.5,33.3,13.9,2.3,0,0
"Adam Wainwright",0,"SP",6000,"STL","@MIL","50%",4.25,NA,NA,NA,4.75,"18.9%",4.22,3.95,"R",0.309,0.278,"-2%","6%","0%",5.6,5.6,5.6,-4.1,15.3,14.5,2.4,0,0
"Nate Karns",NA,"SP",5900,"KC","@TEX","41%",4.97,NA,NA,NA,4.8,"23.3%",4.07,4.06,"R",0.308,0.336,"-3%","2%","0%",12.9,12.9,12.9,11.5,14.3,13.5,2.3,0,0
"Wily Peralta",NA,"SP",5700,"MIL","STL","50%",4.25,NA,NA,NA,3.2,"15.1%",4.61,4.38,"R",0.356,0.318,"-1%","7%","0%",18.1,18.1,18.1,12.1,24.1,13.2,2.3,0,0
"Trevor Cahill",1,"SP",5600,"SD","MIA","46%",3.91,NA,NA,NA,4.67,"22.5%",3.67,3.7,"R",0.345,0.3,"2%","1%","0%",17,17,17,16.4,17.5,14.2,2.5,0,0
"Mat Latos",NA,"SP",5500,"TOR","@LAA","45%",4.77,NA,NA,NA,3.5,"17.7%",4.44,4.31,"R",0.312,0.315,"8%","1%","0%",0,0,0,0,0,12.2,2.2,0,0
"Alex Meyer",1,"SP",4700,"LAA","TOR","55%",4.23,NA,NA,NA,3.14,"",NA,NA,"R",NA,NA,"2%","0%","0%",0,0,0,0,0,16.6,3.5,0,0
