Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Max Scherzer,8,SP,13000,WAS,@PHI,62%,3.05,8,0.292,23.2%,2.67,31.1%,2.83,3.13,R,0.299,0.237,2%,2%,0%,0.0,0.0,0.0,0.0,0.0,27.0,2.1,25.4,2.0
Vincent Velasquez,0,SP,8900,PHI,WAS,38%,3.95,5.5,0.327,20.3%,4.33,26.9%,3.65,3.81,R,0.319,0.330,1%,5%,0%,0.0,0.0,0.0,0.0,0.0,17.1,1.9,16.2,1.8
Francisco Liriano,17,SP,8900,TOR,@TB,52%,3.89,6,0.326,24.5%,3.25,24.8%,3.86,3.65,L,0.271,0.302,4%,0%,0%,0.0,0.0,0.0,0.0,0.0,19.1,2.1,-11.5,-1.3
Michael Fulmer,1,SP,8400,DET,BOS,55%,4.02,4.5,0.313,18.8%,4.00,20.4%,4.03,3.95,R,0.276,0.295,0%,5%,-2%,0.0,0.0,0.0,0.0,0.0,15.3,1.8,17.3,2.1
Wei-Yin Chen,1,SP,8200,MIA,@NYM,52%,3.66,4.5,0.292,22.6%,4.33,19.3%,4.04,4.08,L,0.289,0.336,3%,4%,0%,0.0,0.0,0.0,0.0,0.0,17.2,2.1,20.7,2.5
Steven Wright,,SP,8100,BOS,@DET,45%,4.48,4.5,0.324,17.6%,4.00,18.5%,4.57,4.66,R,0.288,0.308,5%,7%,-2%,0.0,0.0,0.0,0.0,0.0,12.8,1.6,8.4,1.0
Zack Wheeler,9,SP,8000,NYM,MIA,48%,3.84,4.5,0.300,22.4%,3.33,,,,R,0.336,0.279,2%,4%,0%,0.0,0.0,0.0,0.0,0.0,17.7,2.2,2.8,0.3
Mike Foltynewicz,0,SP,7600,ATL,@PIT,43%,4.30,4.5,0.312,20.6%,1.50,20.4%,4.19,4.36,R,0.370,0.336,1%,7%,-1%,0.0,0.0,0.0,0.0,0.0,16.2,2.1,0.3,0.0
Mike Fiers,5,SP,7500,HOU,KC,59%,3.81,4.5,0.313,20.3%,1.67,21.1%,4.06,4.08,R,0.301,0.326,1%,0%,-2%,0.0,0.0,0.0,0.0,0.0,14.4,1.9,12.7,1.7
Yovani Gallardo,,SP,7300,SEA,@LAA,45%,4.48,3,0.321,18.8%,3.75,15.6%,4.90,4.67,R,0.321,0.326,3%,4%,0%,0.0,0.0,0.0,0.0,0.0,11.0,1.5,7.3,1.0
Josh Tomlin,2,SP,7200,CLE,@ARI,56%,4.66,4,0.305,24.2%,6.75,17.9%,4.05,4.03,R,0.275,0.360,-4%,-1%,0%,0.0,0.0,0.0,0.0,0.0,14.0,1.9,5.1,0.7
Jesse Chavez,3,SP,7100,LAA,SEA,55%,4.02,,0.326,19.1%,2.00,20.9%,3.87,3.95,R,0.325,0.298,3%,3%,0%,0.0,0.0,0.0,0.0,0.0,13.7,1.9,23.8,3.4
Jimmy Nelson,,SP,7000,MIL,CHC,37%,5.13,4.5,0.318,25.0%,3.67,18.5%,4.52,4.48,R,0.353,0.310,-1%,7%,0%,0.0,0.0,0.0,0.0,0.0,15.1,2.2,23.3,3.3
Ivan Nova,2,SP,7000,PIT,ATL,56%,3.70,4,0.308,18.7%,1.67,17.3%,4.06,4.03,R,0.345,0.323,1%,8%,-1%,0.0,0.0,0.0,0.0,0.0,13.7,2.0,21.3,3.0
Mike Leake,5,SP,6800,STL,CIN,61%,3.51,4,0.297,21.3%,4.00,15.9%,4.05,3.85,R,0.326,0.299,1%,5%,0%,0.0,0.0,0.0,0.0,0.0,14.8,2.2,23.8,3.5
Matt Andriese,,SP,6700,TB,TOR,48%,4.11,4.5,0.333,20.9%,2.67,19.5%,3.94,4.05,R,0.315,0.305,2%,0%,0%,0.0,0.0,0.0,0.0,0.0,13.8,2.1,4.2,0.6
