"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Chris Sale",NA,"SP",12900,"BOS","NYY","62%",3.23,NA,NA,NA,5.11,"29.4%",2.91,3.04,"L",0.221,0.278,"-2%","2%","0%",34,34,34,27.5,40.6,22.8,1.8,0,0
"Noah Syndergaard",1,"SP",12700,"NYM","ATL","66%",2.86,NA,NA,NA,3.61,"28.6%",2.88,2.71,"R",0.296,0.255,"1%","1%","-1%",24.5,24.5,24.5,17.6,31.4,23.8,1.9,0,0
"Justin Verlander",NA,"SP",10100,"DET","SEA","57%",3.88,NA,NA,NA,4.71,"25.3%",3.65,3.95,"R",0.289,0.312,"0%","0%","0%",12,12,12,-4.6,28.6,18,1.8,0,0
"Corey Kluber",NA,"SP",10000,"CLE","HOU","62%",3.48,NA,NA,NA,4.3,"26.9%",3.25,3.29,"R",0.309,0.253,"-2%","1%","-2%",21,21,21,5.3,36.7,20.3,2,0,0
"Masahiro Tanaka",NA,"SP",9400,"NYY","@BOS","38%",4.27,NA,NA,NA,4.05,"21.4%",3.64,3.53,"R",0.289,0.289,"-6%","3%","0%",11.7,11.7,11.7,-1,24.4,15.3,1.6,0,0
"Taijuan Walker",NA,"SP",8900,"ARI","SD","60%",4.66,NA,NA,NA,3.27,"21.7%",3.87,4.01,"R",0.309,0.319,"-2%","0%","0%",15,15,15,6.8,23.3,15.7,1.8,0,0
"Julio Urias",NA,"SP",8800,"LAD","@SF","54%",3.57,NA,NA,NA,3.43,"25.0%",3.88,3.69,"L",NA,0.322,"-1%","0%","0%",0,0,0,0,0,17.8,2,0,0
"Ricky Nolasco",NA,"SP",8300,"LAA","OAK","55%",3.77,NA,NA,NA,3.85,"18.1%",4.31,4.35,"R",0.336,0.35,"2%","1%","0%",11.8,11.8,11.8,9.4,14.1,14.6,1.8,0,0
"Kendall Graveman",NA,"SP",7900,"OAK","@LAA","45%",4.23,NA,NA,NA,3.41,"14.5%",4.51,4.34,"R",0.321,0.318,"2%","1%","0%",17.7,17.7,17.7,6.1,29.3,13.4,1.7,0,0
"Jeremy Hellickson",NA,"SP",7900,"PHI","MIA","51%",3.71,NA,NA,NA,4.78,"19.0%",4.19,4.16,"R",0.32,0.32,"2%","0%","-3%",16.2,16.2,16.2,10.7,21.6,12.8,1.6,0,0
"Hisashi Iwakuma",NA,"SP",7700,"SEA","@DET","42%",4.62,NA,NA,NA,5.42,"18.6%",4.13,4.07,"R",0.302,0.294,"-5%","0%","0%",5.6,5.6,5.6,-2.5,13.7,9.7,1.3,0,0
"Matt Moore",NA,"SP",7500,"SF","LAD","46%",3.93,NA,NA,NA,4.19,"19.7%",4.44,4.61,"L",0.302,0.329,"1%","0%","0%",9.4,9.4,9.4,-3.1,21.9,15.7,2.1,0,0
"Edinson Volquez",NA,"SP",7000,"MIA","@PHI","49%",3.79,NA,NA,NA,4.72,"17.6%",4.52,4.39,"R",0.335,0.31,"1%","0%","-2%",11.3,11.3,11.3,2.5,20.2,12.2,1.7,0,0
"R.A. Dickey",NA,"SP",6700,"ATL","@NYM","34%",4.14,NA,NA,NA,4.16,"15.6%",4.76,4.71,"R",0.315,0.329,"5%","2%","-2%",13.3,13.3,13.3,6.7,19.9,14.5,2.2,0,0
"Jered Weaver",NA,"SP",6600,"SD","@ARI","40%",5.84,NA,NA,NA,5.5,"13.5%",5.11,5.32,"R",0.324,0.325,"-20%","-1%","0%",10.8,10.8,10.8,4.2,17.4,7.2,1.1,0,0
"Gio Gonzalez",NA,"SP",6500,"WAS","@COL","53%",5.08,NA,NA,NA,4.76,"22.2%",3.88,3.71,"L",0.271,0.313,"-20%","7%","1%",21.1,21.1,21.1,14.7,27.6,13.6,2.1,0,0
"Mike Fiers",NA,"SP",5200,"HOU","@CLE","38%",4.52,NA,NA,NA,4.68,"21.1%",4.06,4.08,"R",0.307,0.327,"-9%","3%","-4%",9.3,9.3,9.3,5.2,13.4,11.1,2.1,0,0
"Antonio Senzatela",NA,"SP",4900,"COL","WAS","47%",5.42,NA,NA,NA,5.6,"",NA,NA,"R",NA,NA,"-17%","12%","2%",19.5,19.5,19.5,16.7,22.4,10.1,2.1,0,0
