"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Noah Syndergaard",1,"SP",12600,"NYM","ATL","",NA,NA,NA,NA,3.61,"28.6%",2.88,2.71,"R",0.296,0.255,"1%","1%","0%",24.5,24.5,24.5,17.6,31.4,24,1.9,0,0
"Jon Lester",NA,"SP",11600,"CHC","@PIT","60%",3.55,NA,NA,NA,3.42,"24.7%",3.41,3.3,"L",0.281,0.28,"0%","0%","0%",15.7,15.7,15.7,7.7,23.6,19.8,1.7,0,0
"Johnny Cueto",NA,"SP",11100,"SF","LAD","50%",3.52,NA,NA,NA,4.3,"21.2%",3.74,3.63,"R",0.27,0.284,"1%","1%","0%",12.9,12.9,12.9,0.2,25.6,16.7,1.5,0,0
"Jose Quintana",NA,"SP",10500,"CWS","KC","57%",3.65,NA,NA,NA,2.47,"21.0%",3.88,3.84,"L",0.299,0.308,"0%","0%","0%",9.6,9.6,9.6,-0.4,19.5,18.6,1.8,0,0
"Lance McCullers",NA,"SP",10300,"HOU","@CLE","52%",4.15,NA,NA,NA,4.83,"27.3%",3.47,3.21,"R",0.289,0.318,"-6%","-1%","-2%",22.1,22.1,22.1,11.3,33,17.1,1.7,0,0
"Rick Porcello",NA,"SP",9300,"BOS","NYY","",NA,NA,NA,NA,5.11,"20.8%",3.75,3.82,"R",0.32,0.306,"-3%","3%","1%",13.4,13.4,13.4,2.7,24.1,16.2,1.7,0,0
"Cole Hamels",NA,"SP",9300,"TEX","MIN","59%",3.85,NA,NA,NA,4.05,"23.4%",3.77,3.7,"L",0.288,0.299,"-2%","5%","0%",14,14,14,5.8,22.1,17,1.8,0,0
"Carlos Martinez",1,"SP",8900,"STL","TOR","62%",3.46,NA,NA,NA,3.37,"23.3%",3.69,3.54,"R",0.334,0.265,"1%","1%","0%",17.2,17.2,17.2,2.9,31.6,19.2,2.2,0,0
"Vincent Velasquez",1,"SP",8900,"PHI","MIA","",NA,NA,NA,NA,4.78,"26.9%",3.67,3.83,"R",0.334,0.324,"1%","1%","0%",10.7,10.7,10.7,5.8,15.6,17.1,1.9,0,0
"Julio Teheran",1,"SP",8600,"ATL","@NYM","",NA,NA,NA,NA,4.16,"21.0%",4.12,4.2,"R",0.343,0.253,"5%","2%","0%",13.3,13.3,13.3,1,25.7,16.3,1.9,0,0
"James Paxton",1,"SP",8200,"SEA","@DET","54%",3.81,NA,NA,NA,4.67,"22.4%",3.73,3.59,"L",0.333,0.282,"-2%","0%","0%",25.5,25.5,25.5,13,37.9,16.7,2,0,0
"Trevor Bauer",NA,"SP",8200,"CLE","HOU","48%",4.35,NA,NA,NA,4.32,"22.0%",4.19,4.16,"R",0.316,0.321,"-3%","-1%","-2%",14.8,14.8,14.8,5.1,24.5,14.1,1.7,0,0
"Nate Karns",NA,"SP",8000,"KC","@CWS","42%",4.35,NA,NA,NA,3.72,"23.4%",4.07,4.06,"R",0.312,0.339,"3%","0%","0%",10.5,10.5,10.5,6.2,14.8,14.9,1.9,0,0
