id,last_name,first_name,team,position,opponent,games,pa,ab,singles,doubles,triples,home_runs,walks,strikeouts,sb,cs,runs,rbi,hbp,sac_flies,gidp,errors,outs,matchup,odds,weather,injury,bvp, price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces, positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces,price_victiv,positions_victiv
6195,Trout,Mike,LAA,OF,@ KC,1.00,4.59,3.82,0.68,0.24,0.06,0.25,0.76,1.00,0.23,0.06,0.67,0.80,0.00,0.02,0.00,0.00,2.57,@KC (Karns R) R Ord 3 Starting ,-1.5 (+130) (o/u 9.0) (-130),71 O CF 7-20 86% H69%outdoor,,7ab .286/.500/.714 1sb 1hr,5100,24,5500,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
6158,Freeman,Freddie,ATL,1B,SD,1.00,4.14,3.55,0.63,0.25,0.02,0.17,0.57,0.86,0.06,0.02,0.65,0.62,0.00,0.02,0.00,0.00,2.40,SD (Richard L) L Ord 3 Starting ,-1.5 (+190) (o/u 8.0) (-110),70 N RL 5-10 3% H51%outdoor,,7ab .429/.429/.571 0sb 0hr,3800,24,5000,0,0,0,0,0,0,1B,1B,1B,1B;DH,,,,,,0,
1105,Cruz,Nelson,SEA,OF,TEX,1.00,4.20,3.75,0.68,0.17,0.01,0.25,0.43,1.05,0.04,0.01,0.56,0.64,0.00,0.02,0.00,0.00,2.61,TEX (Cashner R) R Ord 4 Starting ,-1.5 (+120) (o/u 7.5) (-180),49 N RL 4-5 6% H66% retractable,,3ab .333/.333/.333 0sb 0hr,3500,17,4600,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
769,Cano,Robinson,SEA,2B,TEX,1.00,4.31,3.93,0.81,0.22,0.01,0.19,0.36,0.63,0.02,0.02,0.57,0.65,0.00,0.02,0.00,0.00,2.65,TEX (Cashner R) L Ord 3 Starting ,-1.5 (+120) (o/u 7.5) (-180),49 N RL 4-5 6% H66% retractable,,9ab .222/.300/.222 0sb 0hr,3400,21,4700,0,0,0,0,0,0,2B,2B,2B,2B;DH,,,,,,0,
3982,Pujols,Albert,LAA,1B,@ KC,1.00,4.49,4.13,0.71,0.17,0.01,0.23,0.33,0.58,0.02,0.00,0.62,0.67,0.00,0.02,0.00,0.00,3.00,@KC (Karns R) R Ord 4 Starting ,-1.5 (+130) (o/u 9.0) (-130),71 O CF 7-20 86% H69%outdoor,,9ab .444/.500/.889 0sb 1hr,2900,13,4500,0,0,0,0,0,0,1B,1B,1B,1B;DH,,,,,,0,
5952,Cain,Lorenzo,KC,OF,LAA,1.00,4.40,4.10,0.87,0.25,0.04,0.09,0.28,0.78,0.17,0.05,0.53,0.62,0.00,0.02,0.00,0.00,2.88,LAA (Shoemaker R) R Ord 3 Starting ,+1.5 (-150) (o/u 9.0) (+110),71 O CF 7-20 86% H69%outdoor,,6ab .667/.667/1.167 0sb 0hr,3800,19,4300,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
5942,Dyson,Jarrod,SEA,OF,TEX,1.00,4.52,4.11,0.86,0.14,0.06,0.03,0.39,0.80,0.39,0.08,0.60,0.38,0.00,0.02,0.00,0.00,2.98,TEX (Cashner R) L Ord 1 Starting ,-1.5 (+120) (o/u 7.5) (-180),49 N RL 4-5 6% H66% retractable,,1ab 1.000/1.000/1.000 0sb 0hr,2900,14,3400,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
6205,Myers,Wil,SD,1B,@ ATL,1.00,4.34,3.93,0.65,0.24,0.02,0.16,0.39,1.02,0.18,0.05,0.58,0.42,0.00,0.02,0.00,0.00,2.84,@ATL (Dickey R) R Ord 2 Starting ,+1.5 (-220) (o/u 8.0) (-110),70 N RL 5-10 3% H51%outdoor,,16ab .125/.125/.188 0sb 0hr,4000,25,4600,0,0,0,0,0,0,1B,1B,1B,1B;DH;OF,,,,,,0,
7553,Cespedes,Yoenis,NYM,OF,@ MIA,1.00,4.15,3.82,0.63,0.24,0.03,0.19,0.31,0.85,0.03,0.01,0.62,0.59,0.00,0.02,0.00,0.00,2.66,@MIA (Conley L) R Ord 3 Starting ,-1.5 (+130) (o/u 7.5) (-130),74 I CF 12-17 24% H68% retractable,,9ab .111/.111/.222 0sb 0hr,4400,21,4700,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
6234,Goldschmidt,Paul,ARI,1B,@ LAD,1.00,3.93,3.38,0.58,0.19,0.01,0.15,0.53,1.02,0.22,0.04,0.53,0.48,0.00,0.02,0.00,0.00,2.36,@LAD (Maeda R) R Ord 3,+1.5 (-150) (o/u 8.0) (+155),62 O RF 0-7 5% H64%outdoor,,16ab .250/.333/.250 0sb 0hr,4000,22,4900,0,0,0,0,0,0,1B,1B,1B,1B;DH,,,,,,0,
