Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Tyler Anderson,1,SP,8000,COL,SEA,56%,5.09,,,,4.25,21.3%,3.88,3.66,L,0.296,0.352,-8%,0%,0%,18.6,13.5,13.5,2.1,24.9,14.6,1.8,0.0,0.0
Matt Andriese,,SP,7600,TB,@TEX,50%,4.97,,,,4.65,20.0%,3.98,4.03,R,0.304,0.315,-7%,0%,0%,20.4,16.7,16.7,8.4,25.0,14.3,1.9,0.0,0.0
Jose Berrios,,SP,7300,MIN,HOU,51%,4.47,,,,4.94,17.2%,5.29,5.63,R,0.344,0.368,-1%,3%,0%,29.3,29.3,29.3,19.7,38.8,15.8,2.2,0.0,0.0
Zach Davies,,SP,7100,MIL,@NYM,49%,4.57,,,,5.12,19.1%,4.22,4.09,R,0.320,0.328,7%,3%,0%,11.3,10.0,10.0,1.0,19.1,13.5,1.9,0.0,0.0
Michael Wacha,,SP,6900,STL,LAD,47%,4.11,,,,5.02,19.9%,4.11,3.91,R,0.280,0.323,1%,1%,0%,13.2,15.9,15.9,8.9,23.0,14.4,2.1,0.0,0.0
Chris Tillman,,SP,6700,BAL,NYY,45%,4.50,,,,5.40,17.9%,4.66,4.57,R,0.312,0.322,0%,3%,0%,9.7,9.7,9.7,2.3,17.1,9.9,1.5,0.0,0.0
Ivan Nova,,SP,6400,PIT,ARI,49%,4.03,,,,4.96,17.0%,4.04,3.97,R,0.343,0.311,1%,1%,0%,10.5,16.8,16.8,5.5,28.1,14.3,2.2,0.0,0.0
Dinelson Lamet,4,SP,6100,SD,CHC,43%,4.57,,,,4.80,,,,R,,,2%,2%,0%,26.3,26.3,26.3,26.3,26.3,17.4,2.9,0.0,0.0
Bartolo Colon,,SP,6000,ATL,@LAA,45%,4.48,,,,4.02,16.4%,4.23,4.12,R,0.314,0.316,5%,2%,0%,1.2,6.2,6.2,-6.4,18.8,11.5,1.9,0.0,0.0
Mike Fiers,,SP,5700,HOU,@MIN,49%,4.53,,,,4.57,21.1%,4.08,4.10,R,0.304,0.338,-5%,4%,0%,10.2,9.5,9.5,3.9,15.1,12.3,2.2,0.0,0.0
Ariel Miranda,,SP,5500,SEA,@COL,43%,5.91,,,,5.13,20.0%,4.49,4.80,L,,0.310,-30%,0%,0%,14.9,14.3,14.3,1.8,26.9,8.7,1.6,0.0,0.0
Eddie Butler,2,SP,5400,CHC,@SD,56%,3.93,,,,3.40,14.0%,4.98,4.85,R,0.428,0.370,3%,2%,0%,13.4,13.4,13.4,3.0,23.7,11.3,2.1,0.0,0.0
Nick Martinez,,SP,5300,TEX,TB,50%,5.03,,,,4.58,12.5%,5.10,5.21,R,0.348,0.356,-5%,1%,0%,6.2,9.5,9.5,-0.1,19.1,9.0,1.7,0.0,0.0
Justin Nicolino,,SP,4900,MIA,PHI,51%,4.45,,,,4.17,9.6%,5.33,5.13,L,0.305,0.342,3%,-2%,2%,7.3,7.3,7.3,-3.6,18.1,10.4,2.1,0.0,0.0
Asher Wojciechowski,,SP,4500,CIN,@TOR,37%,5.72,,,,4.18,,,,R,,,-3%,0%,0%,0.0,0.0,0.0,0.0,0.0,14.9,3.3,0.0,0.0
Eric Skoglund,,SP,4200,KC,DET,45%,4.74,,,,4.58,,,,,,,-3%,1%,0%,0.0,0.0,0.0,0.0,0.0,9.9,2.4,0.0,0.0
Tyler Pill,,RP,4200,NYM,MIL,51%,4.43,,,,5.14,,,,R,,,5%,5%,0%,0.0,0.0,0.0,0.0,0.0,9.8,2.3,0.0,0.0
