"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn"
"DST","Broncos  (8010112)","Broncos ",8010112,3900,"Oak@Den 04:25PM ET","Den","Broncos","","Oak","10.1",8.6
"DST","Vikings  (8010103)","Vikings ",8010103,3800,"Chi@Min 01:00PM ET","Min","Vikings","","Chi","11.48",11.3
"DST","Seahawks  (8010117)","Seahawks ",8010117,3700,"Sea@SF 04:25PM ET","Sea","Seahawks","","SF","10.26",8.1
"DST","Steelers  (8010109)","Steelers ",8010109,3600,"Cle@Pit 01:00PM ET","Pit","Steelers","","Cle","9.58",9
"DST","Texans  (8010092)","Texans ",8010092,3500,"Hou@Ten 01:00PM ET","Hou","Texans","","Ten","9.36",6.8
"DST","Bills  (8010104)","Bills ",8010104,3400,"Buf@NYJ 01:00PM ET","Buf","Bills","","NYJ","9.33",8.5
"DST","Chiefs  (8010114)","Chiefs ",8010114,3300,"KC@SD 04:25PM ET","KC","Chiefs","","SD","9.58",9.3
"DST","Colts  (8010098)","Colts ",8010098,3200,"Jax@Ind 01:00PM ET","Ind","Colts","","Jax","8.66",8.2
"DST","Patriots  (8010101)","Patriots ",8010101,3200,"NE@Mia 01:00PM ET","NE","Patriots","","Mia","7.42",9.8
"DST","Giants  (8010090)","Giants ",8010090,3100,"NYG@Was 04:25PM ET","NYG","Giants","","Was","8.02",7.2
"DST","Buccaneers  (8010094)","Buccaneers ",8010094,3100,"Car@TB 01:00PM ET","TB","Buccaneers","","Car","8.78",10.3
"DST","Ravens  (8010089)","Ravens ",8010089,3000,"Bal@Cin 01:00PM ET","Bal","Ravens","","Cin","8.83",8.7
"DST","Cardinals  (8010111)","Cardinals ",8010111,3000,"Ari@LA 04:25PM ET","Ari","Cardinals","","LA","10.42",12.1
"DST","Redskins  (8010091)","Redskins ",8010091,2900,"NYG@Was 04:25PM ET","Was","Redskins","","NYG","7.95",9.1
"DST","Titans  (8010093)","Titans ",8010093,2900,"Hou@Ten 01:00PM ET","Ten","Titans","","Hou","8.52",8.3
"DST","Eagles  (8010107)","Eagles ",8010107,2900,"Dal@Phi 01:00PM ET","Phi","Eagles","","Dal","7.92",9.3
"DST","Packers  (8010097)","Packers ",8010097,2800,"GB@Det 08:30PM ET","GB","Packers","","Det","7.06",6.4
"DST","Cowboys  (8010106)","Cowboys ",8010106,2800,"Dal@Phi 01:00PM ET","Dal","Cowboys","","Phi","7.36",9.6
"DST","Raiders  (8010113)","Raiders ",8010113,2800,"Oak@Den 04:25PM ET","Oak","Raiders","","Den","6.88",9
"DST","Chargers  (8010115)","Chargers ",8010115,2800,"KC@SD 04:25PM ET","SD","Chargers","","KC","7.88",7.6
"DST","Bengals  (8010088)","Bengals ",8010088,2700,"Bal@Cin 01:00PM ET","Cin","Bengals","","Bal","5.88",7.6
"DST","Rams  (8010110)","Rams ",8010110,2700,"Ari@LA 04:25PM ET","LA","Rams","","Ari","7.38",8.4
"DST","Panthers  (8010095)","Panthers ",8010095,2600,"Car@TB 01:00PM ET","Car","Panthers","","TB","6.91",7.9
"DST","Lions  (8010096)","Lions ",8010096,2600,"GB@Det 08:30PM ET","Det","Lions","","GB","5.6",4.4
"DST","Jaguars  (8010099)","Jaguars ",8010099,2500,"Jax@Ind 01:00PM ET","Jax","Jaguars","","Ind","6.65",5.9
"DST","Bears  (8010102)","Bears ",8010102,2500,"Chi@Min 01:00PM ET","Chi","Bears","","Min","5.63",5.4
"DST","Falcons  (8010086)","Falcons ",8010086,2400,"NO@Atl 04:25PM ET","Atl","Falcons","","NO","4.78",7.8
"DST","Dolphins  (8010100)","Dolphins ",8010100,2400,"NE@Mia 01:00PM ET","Mia","Dolphins","","NE","5.78",7.9
"DST","49ers  (8010116)","49ers ",8010116,2400,"Sea@SF 04:25PM ET","SF","49ers","","Sea","4.28",4.2
"DST","Jets  (8010105)","Jets ",8010105,2300,"Buf@NYJ 01:00PM ET","NYJ","Jets","","Buf","5.94",7.8
"DST","Saints  (8010087)","Saints ",8010087,2200,"NO@Atl 04:25PM ET","NO","Saints","","Atl","5.04",6
"DST","Browns  (8010108)","Browns ",8010108,2100,"Cle@Pit 01:00PM ET","Cle","Browns","","Pit","6.64",6.6
