"Gary Sanchez_NYY","Chris Carter_NYY","Matt Holliday_NYY","Todd Frazier_CWS","Brett Gardner_NYY","Jacoby Ellsbury_NYY","Aaron Judge_NYY","Jose Abreu_CWS","Starlin Castro_NYY","Didi Gregorius_NYY","Evan Longoria_TB","Melky Cabrera_CWS","Greg Bird_NYY","Pete Kozma_NYY","Lorenzo Cain_KC","Tim Anderson_CWS","Chase Headley_NYY","Mallex Smith_TB","Eric Hosmer_KC","Brad Miller_TB","Tyler Saladino_CWS","Aaron Hicks_NYY","Steven Souza_TB","Alex Gordon_KC","Avisail Garcia_CWS","Wilson Ramos_TB","Kevin Kiermaier_TB","Brandon Moss_KC","Jorge Soler_KC","Gleyber Torres_NYY","Colby Rasmus_TB","Corey Dickerson_TB","Whit Merrifield_KC","Peter O'Brien_KC","Logan Morrison_TB","Matt Duffy_TB","Salvador Perez_KC","Matt Davidson_CWS","Charlie Tilson_CWS","Austin Romine_NYY","Cheslor Cuthbert_KC","Alcides Escobar_KC","Ronald Torreyes_NYY","Jake Bauers_TB","Tim Beckham_TB","Mike Moustakas_KC","Paulo Orlando_KC","Billy Burns_KC","Leury Garcia_CWS","Omar Narvaez_CWS","Derek Norris_TB","Curt Casali_TB","Peter Bourjos_TB","Ryan O'Hearn_KC","Terrance Gore_KC","Daniel Robertson_TB","Christian Colon_KC","Jesus Sucre_TB","Raul Mondesi_KC","Rickie Weeks_TB","Zack Collins_CWS","Drew Butera_KC"
0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,24.65,0,0,0,0,-4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8,0,0,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,-1.66666666666667,0,0,0,0,2.33333333333333,0,0,0,2.66666666666667,0,0,0,0,0,0,0,0,3.5,0,0,0,-2.83333333333333,2.66666666666667,0,0,0,-0.5,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3333333333333,0,0,0,0,-2.16666666666667,0,0,0,-6.5,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,14.1666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.8,0,0,0,0,-10.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.6,0,0,43.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.3,0,13.9,0,0,-0.5,0,0,0,-26.9,0,0,0,0,13.7,0,0,-28.1,0,0,0,0,0,0,0,0,0,-17.9,0,0,0,0,0,12.9,0,-23.4,0,0,-3.9,0,0,0,-21.6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.3333333333333,0,0,0,0,20.3333333333333,0,0,0,-13.3333333333333,0,0,0,0,0,0,0,0,26.5,0,0,0,82.1666666666667,2.66666666666667,0,0,0,-41.5,-3.33333333333333,0,0,0,0,0,0,0,0,0,0,0,-12,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3666666666667,0,0,11.5666666666667,0,0,0,14.1666666666667,0,0,0,0,-3.83333333333333,0,0,7.5,0,0,0,0,0,0,0,0,0,5.63333333333333,0,0,0,0,0,-0.7,0,11.4,0,0,2.9,0,0,0,15.6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.3333333333333,0,0,0,141.5,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,-8.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5666666666667,0,0,0,-14.8333333333333,0,0,0,0,1.76666666666667,0,0,-22.1,0,0,0,0,0,0,0,0,0,-3.16666666666667,0,0,0,0,0,-0.1,0,8.2,0,0,2.9,0,0,0,10.8,0,0
