"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"2B","Scooter Gennett",3300,"Cin@StL 02:15PM ET",5,"Cin","StL",4.85,0,1.48,1.9,"x","x",NA
"2B/SS","Jose Peraza",3300,"Cin@StL 02:15PM ET",4,"Cin","StL",5.47,7.2,7.25,7.4,"2","2",NA
"OF","Scott Schebler",3300,"Cin@StL 02:15PM ET",6.75,"Cin","StL",5.1,7.8,6.13,7,"5","6",NA
"2B","Josh Harrison",3300,"Atl@Pit 01:35PM ET",5,"Pit","Atl",5.32,0,1.74,2.1,"x","x",NA
"OF","Nick Markakis",3300,"Atl@Pit 01:35PM ET",7.75,"Atl","Pit",5.77,7,6.15,6.3,"5","5",NA
"1B","Kendrys Morales",3300,"Tor@TB 01:10PM ET",9.5,"Tor","TB",6.73,7.3,7.76,7.6,"4","4",NA
"OF","Steven Souza",3300,"Tor@TB 01:10PM ET",7.8,"TB","Tor",NA,6.5,6.99,6.8,"5","5",NA
"C","Miguel Montero",3300,"ChC@Mil 02:10PM ET",0,"ChC","Mil",NA,7.4,5.79,6.3,"x","7",NA
"1B/3B","Travis Shaw",3300,"ChC@Mil 02:10PM ET",11,"Mil","ChC",5.69,6.3,6.58,5.9,"4","4",NA
"3B/OF","Hernan Perez",3300,"ChC@Mil 02:10PM ET",2.4,"Mil","ChC",4.76,5.3,6,5.9,"6","6",NA
"OF","Jon Jay",3300,"ChC@Mil 02:10PM ET",5,"ChC","Mil",NA,6.1,5.3,5.4,"x","9",NA
"C","Brian McCann",3300,"KC@Hou 02:10PM ET",5.667,"Hou","KC",4.84,7.5,7.53,7.7,"8","5",NA
"OF","Alex Gordon",3300,"KC@Hou 02:10PM ET",4.75,"KC","Hou",5.44,8,7.2,7.1,"1","1",NA
"1B/3B","Ryan Zimmerman",3300,"Was@Phi 01:35PM ET",11.5,"Was","Phi",6.8,0,1.64,2.4,"x","x",NA
"OF","Michael Saunders",3300,"Was@Phi 01:35PM ET",2.25,"Phi","Was",6.57,6.1,6.44,6.6,"5","5",NA
"3B","Pablo Sandoval",3200,"Bos@Det 01:10PM ET",11.333,"Bos","Det",5.54,5.2,5.55,5.7,"8","8",NA
"1B","Kennys Vargas",3200,"Min@CWS 02:10PM ET",0,"Min","CWS",NA,0,NA,0,"x","x",NA
"OF","Robbie Grossman",3200,"Min@CWS 02:10PM ET",7.333,"Min","CWS",5.7,7.2,7.14,7,"2","2",NA
"OF","Avisail Garcia",3200,"Min@CWS 02:10PM ET",7.667,"CWS","Min",5.73,6.2,6.68,6.6,"7","6",NA
"3B/SS","Eugenio Suarez",3200,"Cin@StL 02:15PM ET",4,"Cin","StL",NA,6.2,6.31,6,"x","5",NA
"2B","Brandon Phillips",3200,"Atl@Pit 01:35PM ET",3.75,"Atl","Pit",4.94,6,6.39,6.6,"6","6",NA
"C","Russell Martin",3200,"Tor@TB 01:10PM ET",3.333,"Tor","TB",5.28,6.8,6.51,7,"6","6",NA
"C","Wilson Ramos",3200,"Tor@TB 01:10PM ET",0,"TB","Tor",NA,0,NA,0,"x","x",NA
"OF","Kevin Kiermaier",3200,"Tor@TB 01:10PM ET",8.2,"TB","Tor",6.01,7.6,8.13,7.5,"2","2",NA
"SS","Orlando Arcia",3200,"ChC@Mil 02:10PM ET",4.5,"Mil","ChC",NA,0,1.55,1.8,"x","x",NA
"1B/OF","Brandon Moss",3200,"KC@Hou 02:10PM ET",3.333,"KC","Hou",4.78,8.1,6.36,6.8,"6","6",NA
"3B","Yuli Gurriel",3200,"KC@Hou 02:10PM ET",1.25,"Hou","KC",NA,NA,NA,NA,NA,NA,NA
"OF","Derek Fisher",3200,"KC@Hou 02:10PM ET",0,"Hou","KC",NA,0,NA,0,"x","x",NA
"OF","Jorge Soler",3200,"KC@Hou 02:10PM ET",0,"KC","Hou",NA,0,NA,0,"x","x",NA
"OF","Aaron Altherr",3200,"Was@Phi 01:35PM ET",9.5,"Phi","Was",NA,0,1.53,2.1,"x","x",NA
"2B/3B","Jorge Polanco",3100,"Min@CWS 02:10PM ET",8.667,"Min","CWS",5.74,6.8,6.56,7.2,"5","6",NA
"OF","Eddie Rosario",3100,"Min@CWS 02:10PM ET",4.75,"Min","CWS",4.56,6.1,6.24,6.6,"x","7",NA
"OF","Byron Buxton",3100,"Min@CWS 02:10PM ET",1.25,"Min","CWS",6.03,6.3,6.36,7,"3","8",NA
"SS","Gleyber Torres",3100,"NYY@Bal 01:35PM ET",0,"NYY","Bal",NA,0,NA,0,"x","x",NA
"3B/SS","Jhonny Peralta",3100,"Cin@StL 02:15PM ET",2,"StL","Cin",7.21,6.7,6.64,7.1,"x","6",NA
"SS","Zack Cozart",3100,"Cin@StL 02:15PM ET",9.5,"Cin","StL",5.27,5.6,5.09,5.6,"6","7",NA
"3B/OF","Adonis Garcia",3100,"Atl@Pit 01:35PM ET",3,"Atl","Pit",5.47,5.8,6.75,6.3,"x","4",NA
"SS","Alen Hanson",3100,"Atl@Pit 01:35PM ET",0,"Pit","Atl",NA,0,1.87,2.1,"x","x",NA
"OF","Colby Rasmus",3100,"Tor@TB 01:10PM ET",0,"TB","Tor",NA,0,NA,0,"x","x",NA
"OF","Corey Dickerson",3100,"Tor@TB 01:10PM ET",8.4,"TB","Tor",5.94,7.7,7.83,8.2,"1","1",NA
"2B","Ian Happ",3100,"ChC@Mil 02:10PM ET",0,"ChC","Mil",NA,0,NA,0,"x","x",NA
"OF","Matt Szczur",3100,"ChC@Mil 02:10PM ET",1,"ChC","Mil",NA,0,1.61,2,"x","x",NA
"2B/OF","Whit Merrifield",3100,"KC@Hou 02:10PM ET",0,"KC","Hou",NA,0,NA,0,"x","x",NA
"OF","Peter O'Brien",3100,"KC@Hou 02:10PM ET",0,"KC","Hou",NA,0,NA,0,"x","x",NA
"C","Matt Wieters",3100,"Was@Phi 01:35PM ET",8.25,"Was","Phi",5.51,0,1.6,2.2,"x","x",NA
"1B","Adam Lind",3100,"Was@Phi 01:35PM ET",6,"Was","Phi",NA,8.2,6.97,7.9,"x","5",NA
"2B","Cesar Hernandez",3100,"Was@Phi 01:35PM ET",7,"Phi","Was",6,6.3,6.59,6.6,"1","1",NA
"2B/OF","Howie Kendrick",3100,"Was@Phi 01:35PM ET",7,"Phi","Was",6.16,6.8,6.46,6.3,"2","2",NA
"3B/SS","Freddy Galvis",3100,"Was@Phi 01:35PM ET",12,"Phi","Was",4.88,5.5,5.23,5.5,"8","8",NA
"OF","Daniel Nava",3100,"Was@Phi 01:35PM ET",16,"Phi","Was",NA,0,1.33,1.6,"x","x",NA
"SS","JJ Hardy",3000,"NYY@Bal 01:35PM ET",1,"Bal","NYY",5.31,5.5,5.24,6.1,"9","8",NA
"1B","Matt Adams",3000,"Cin@StL 02:15PM ET",2.333,"StL","Cin",5.28,6.1,7.76,8.2,"6","4",NA
"2B/SS","Arismendy Alcantara",3000,"Cin@StL 02:15PM ET",0,"Cin","StL",NA,0,1.52,1.9,"x","x",NA
"SS","Dansby Swanson",3000,"Atl@Pit 01:35PM ET",2.25,"Atl","Pit",5.93,6.5,7.15,7.4,"2","2",NA
"1B","Logan Morrison",3000,"Tor@TB 01:10PM ET",9,"TB","Tor",5.83,6.7,6.36,6.6,"6","6",NA
"1B/2B","Steve Pearce",3000,"Tor@TB 01:10PM ET",3.667,"Tor","TB",5.66,0,1.76,2.4,"x","x",NA
"2B/3B","Matt Duffy",3000,"Tor@TB 01:10PM ET",0,"TB","Tor",NA,0,NA,0,"x","x",NA
"OF","Kevin Pillar",3000,"Tor@TB 01:10PM ET",4.75,"Tor","TB",5.32,6.3,6.25,6,"9","8",NA
"1B","Jesus Aguilar",3000,"ChC@Mil 02:10PM ET",7,"Mil","ChC",5.43,0,1.52,1.7,"x","x",NA
"2B/3B","Tommy La Stella",3000,"ChC@Mil 02:10PM ET",1,"ChC","Mil",NA,0,1.53,1.8,"x","x",NA
"C","Salvador Perez",3000,"KC@Hou 02:10PM ET",10.25,"KC","Hou",5.57,8.1,6.34,6.1,"5","5",NA
