"Starling Marte_PIT","Josh Harrison_PIT","Andrew McCutchen_PIT","Gregory Polanco_PIT","Miguel Sano_MIN","Josh Bell_PIT","Adam Frazier_PIT","Khris Davis_OAK","Brian Dozier_MIN","Marcus Semien_OAK","Eddie Rosario_MIN","David Freese_PIT","Hunter Renfroe_SD","Jose Pirela_SD","Wil Myers_SD","Manuel Margot_SD","Ryan Schimpf_SD","Yonder Alonso_OAK","Yangervis Solarte_SD","Jordy Mercer_PIT","Jose Osuna_PIT","Joe Mauer_MIN","Rajai Davis_OAK","Eduardo Escobar_MIN","Max Kepler_MIN","Ryon Healy_OAK","Alex Dickerson_SD","Carlos Asuaje_SD","Kennys Vargas_MIN","Jordan Luplow_PIT","Matt Joyce_OAK","Byron Buxton_MIN","Cory Spangenberg_SD","Chris Carter_OAK","Travis Jankowski_SD","Jed Lowrie_OAK","Jason Castro_MIN","Matt Szczur_SD","Jabari Blash_SD","Danny Ortiz_PIT","Hector Sanchez_SD","Kevin Newman_PIT","Robbie Grossman_MIN","Josh Phegley_OAK","Mark Canha_OAK","Joey Wendle_OAK","Matt Chapman_OAK","Chase d'Arnaud_SD","Christian Bethancourt_SD","Austin Hedges_SD","Franchy Cordero_SD","Luis Urias_SD","Jake Smolinski_OAK","Ryan LaMarre_OAK","Erick Aybar_SD","Francisco Cervelli_PIT","Elias Diaz_PIT","Phil Gosselin_PIT","Chris Bostick_PIT","Adam Rosales_OAK","Ehire Adrianza_MIN","Bruce Maxwell_OAK","John Jaso_PIT","Chris Gimenez_MIN","Jaycob Brugman_OAK","Matt Olson_OAK","Gift Ngoepe_PIT","Zack Granite_MIN","Max Moroff_PIT","Dusty Coleman_SD","Jacob Stallings_PIT","Jose Rondon_SD","Allen Cordoba_SD","Luis Torrens_SD","John Bormann_PIT","Jorge Polanco_MIN","Chad Pinder_OAK","Chris Stewart_PIT","Anthony Recker_MIN","Jaff Decker_OAK","Ryan Lavarnway_OAK","Daniel Palka_MIN","Renato Nunez_OAK","Franklin Barreto_OAK"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43.2553626149132,1.10598770382251,-7.26314484126984,0,-0.172827172827173,11.265306122449,0,0,0,0,5.78110599078341,0,0,0,0,0,0,0,6.3906955736224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0639730639731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.10598770382251,66.5198690977092,0.349531116794544,0,7.0834086118639,0.864430468204053,0,0,0,0,10.0242424242424,0,0,0,0,0,0,0,10.4227086183311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78725891291642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-7.26314484126984,0.349531116794544,48.1605633802817,0,6.67636171337916,-2.11948790896159,0,0,0,0,-9.53434343434343,0,0,0,0,0,0,0,-1.53146853146853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,71.6196172248804,0,0,0,-1.68260869565217,0,-6.55357142857143,0,0,0,0,0,0,0,0,0,0,17.7196721311475,0,15.6024363233666,25.6302884615385,0,0,0,0,0,0,12.7909604519774,0,0,0,0,1.01607267645003,0,0,0,0,0,8.25706214689266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8887844611529,0,0,0,0,0,0,0,0
0,-0.172827172827173,7.0834086118639,6.67636171337916,0,59.3517099863201,-1.51019607843137,0,0,0,0,-5.2771186440678,0,0,0,0,0,0,0,5.58795845504706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51991614255765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11.265306122449,0.864430468204053,-2.11948790896159,0,-1.51019607843137,52.3370927318296,0,0,0,0,10.5845410628019,0,0,0,0,0,0,0,10.0079825834543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,61.3977528089888,0,0,0,0,0,0,0,0,0,-7.82863849765258,0,0,0,0,-3.49090909090909,0,0,-2.69614197530864,0,0,0,0,1.97496087636933,0,0,0,0,-0.266787112315568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.61211901306241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-1.68260869565217,0,0,0,47.2736124634859,0,10.0985576923077,0,0,0,0,0,0,0,0,0,0,5.62647209421403,0,5.01797040169133,15.9993215739484,0,0,0,0,0,0,8.14348334307422,0,0,0,0,6.61161524500907,0,0,0,0,0,1.48587570621469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19642857142857,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-6.55357142857143,0,0,0,10.0985576923077,0,72.7462832550861,0,0,0,0,0,0,0,0,0,0,6.34331518451301,0,5.7358803986711,14.2632768361582,0,0,0,0,0,0,2.37028657616893,0,0,0,0,24.0090711175617,0,0,0,0,0,-4.08163265306122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16161616161616,0,0,0,0,0,0,0,0
