"Player","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Dallas Keuchel","P","HOU","@ NYY",3.96,"Pineda, R 3.12","L",1.88,0,0,7.5,7.1,0.85,NA,11000,31,24.8,18.27,18.27,"%",74,1.7,31.9,2.9
"Zack Greinke","P","ARI","vs PIT",3.92,"Cole, R 3.14","R",3.09,0,0,6.2,9.7,1.17,NA,10800,38.8,20.5,18.81,18.81,"%",51,1.7,40.8,3.8
"Michael Fulmer","P","DET","@ LAA",3.96,"Ramirez, R 3.74","R",2.77,0,0,6.5,8,1.05,NA,10500,31.8,19.9,15.82,15.82,"%",60,1.5,28.15,2.7
"Jake Odorizzi","P","TB","vs KC",3.52,"Vargas, L 1.19","R",2.88,0,0,5,7.2,0.76,NA,9700,34.3,15.3,15.71,15.71,"%",39,1.6,15.9,1.6
"Michael Pineda","P","NYY","vs HOU",3.54,"Keuchel, L 1.88","R",3.12,0,0,5.8,11.2,0.98,NA,9300,39.8,21.8,18.66,18.66,"%",51,2,18.8,2
"Jason Vargas","P","KC","@ TB",3.98,"Odorizzi, R 2.88","L",1.19,0,0,6.3,8.3,0.98,NA,9000,33.3,23,14.52,14.52,"%",59,1.6,25.35,2.8
"Gerrit Cole","P","PIT","@ ARI",4.58,"Greinke, R 3.09","R",3.14,0,0,6.1,8.9,1.05,NA,9000,31.2,18.3,12.08,12.08,"%",48,1.3,16.95,1.9
"Marco Estrada","P","TOR","vs SEA",3.8,"De, R 6.75","R",3.14,0,0,6.1,9.4,1.16,NA,8500,32.6,18.6,17.98,17.98,"%",61,2.1,25.3,3
"Eduardo Rodriguez","P","BOS","@ MIL",3.91,"Nelson, R 4.83","L",3.07,0,0,4.9,11.4,1.23,NA,8400,30,17,13.94,13.94,"%",53,1.7,19.7,2.3
"Jimmy Nelson","P","MIL","vs BOS",4.6,"Rodriguez, L 3.07","R",4.83,0,0,5.3,7.1,1.39,NA,7000,31.7,10.7,10.39,10.39,"%",1,1.5,26.2,3.7
"J.C. Ramirez","P","LAA","vs DET",3.54,"Fulmer, R 2.77","R",3.74,0,0,4.2,8.8,1.22,NA,6800,34.7,12.6,14.15,14.15,"%",19,2.1,8.35,1.2
"Chase De Jong","P","SEA","@ TOR",4.7,"Estrada, R 3.14","R",6.75,0,0,3.3,4.1,1.58,NA,6500,30.9,2.4,8.94,8.94,"%",0,1.4,-4.75,NA
