"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
1,1,10800,37.7777777777778,40.8,"Zack Greinke","ARI",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,8,0,0,1,1,1,0
2,1,4100,82.9268292682927,34,"Mike Napoli","TEX",NA,"1B",6,2,2,4,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,11000,29,31.9,"Dallas Keuchel","HOU",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,6,0,0,0,5,1,0
4,2,3700,81.0810810810811,30,"Justin Smoak","TOR",NA,"1B",4,2,1,4,0,3,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,3,5800,50,29,"Mookie Betts","BOS",NA,"OF",1,2,1,3,0,3,0,1,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,3,10500,26.8095238095238,28.15,"Michael Fulmer","DET",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,7,0,0,1,3,2,1
7,4,3400,79.4117647058823,27,"Eduardo Escobar","MIN",NA,"SS/3B",6,1,1,4,0,3,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,4,7000,36.5714285714286,25.6,"Jimmy Nelson","MIL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,6.66666666666667,0,0,0,4,4,1
9,5,9000,28.1666666666667,25.35,"Jason Vargas","KC",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,7,0,0,0,3,1,0
10,6,8500,29.7647058823529,25.3,"Marco Estrada","TOR",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,6,0,0,2,4,3,0
11,5,5300,47.1698113207547,25,"Nolan Arenado","COL",NA,"3B",3,3,0,2,0,4,1,2,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,6,3600,69.4444444444444,25,"Denard Span","SF",NA,"OF",1,1,1,1,0,5,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,7,3300,69.6969696969697,23,"Whit Merrifield","KC",NA,"2B",6,2,1,2,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,8,4800,45.8333333333333,22,"Ian Desmond","COL",NA,"1B/OF",5,2,0,2,0,3,0,2,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,7,0,0,21.2,"Jeff Hoffman","COL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,5.33333333333333,0,0,3,6,2,0
16,9,4600,45.6521739130435,21,"Carlos Correa","HOU",NA,"SS",4,1,1,2,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,10,4200,50,21,"Nelson Cruz","SEA",NA,"OF",3,1,1,2,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,11,4400,45.4545454545455,20,"Miguel Sano","MIN",NA,"3B",3,2,1,1,0,2,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,8,8400,23.452380952381,19.7,"Eduardo Rodriguez","BOS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,6,0,0,1,3,0,0
20,9,9300,20.2150537634409,18.8,"Michael Pineda","NYY",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,6.66666666666667,0,0,3,6,1,0
21,10,4500,40.3333333333333,18.15,"Clayton Richard","SD",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,7,0,0,1,5,1,0
22,12,4000,45,18,"Justin Upton","DET",NA,"OF",5,1,1,3,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,13,4700,38.2978723404255,18,"Carlos Gonzalez","COL",NA,"OF",6,1,0,3,0,4,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,14,3300,54.5454545454545,18,"Steve Pearce","TOR",NA,"OF",5,1,1,3,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,15,3500,51.4285714285714,18,"Matt Davidson","CHW",NA,"1B/3B",6,1,1,2,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,16,2100,85.7142857142857,18,"Andrew Romine","DET",NA,"2B/OF",8,1,1,2,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,17,4500,40,18,"Chase Utley","LAD",NA,"1B/2B",6,1,0,1,0,5,2,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,18,4100,43.9024390243902,18,"Melky Cabrera","CHW",NA,"OF",1,1,1,3,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,11,4000,42.875,17.15,"Craig Kimbrel","BOS",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1.66666666666667,0,0,0,1,0,0
30,12,9000,18.8333333333333,16.95,"Gerrit Cole","PIT",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,7,0,0,2,7,1,0
31,19,5000,32,16,"Xander Bogaerts","BOS",NA,"SS",3,0,0,0,2,5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,20,3700,43.2432432432432,16,"Brandon Belt","SF",NA,"1B/OF",2,1,1,1,0,4,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,21,4600,34.7826086956522,16,"Brian Dozier","MIN",NA,"2B",1,1,1,1,0,4,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,13,9700,16.3917525773196,15.9,"Jake Odorizzi","TB",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,6,0,0,1,4,2,0
35,22,4300,34.8837209302326,15,"Ian Kinsler","DET",NA,"2B",1,2,0,0,0,4,3,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,23,5000,30,15,"Mark Reynolds","COL",NA,"1B",4,1,0,1,1,5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,24,2700,55.5555555555556,15,"James McCann","DET",NA,"C",7,1,0,1,0,4,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,25,4300,32.5581395348837,14,"Jean Segura","SEA",NA,"SS",1,1,0,0,0,4,0,2,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,26,3600,38.8888888888889,14,"Scott Van Slyke","LAD",NA,"1B/OF",9,1,1,1,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,27,4400,31.8181818181818,14,"Gregory Polanco","PIT",NA,"OF",4,1,1,1,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,28,2600,50,13,"Aaron Hicks","NYY",NA,"OF",8,1,0,0,1,1,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,29,3200,40.625,13,"Yunel Escobar","LAA",NA,"3B",1,0,0,1,0,4,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,14,4200,29.1666666666667,12.25,"Ryan Pressly","MIN",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,0,0,0,0,0
44,15,5300,22.9245283018868,12.15,"Ty Blach","SF",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,7,0,0,2,5,1,0
45,30,3600,33.3333333333333,12,"David Peralta","ARI",NA,"OF",2,1,0,0,0,4,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,31,2900,41.3793103448276,12,"Jorge Bonifacio","KC",NA,"OF",5,1,0,1,0,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,32,3700,32.4324324324324,12,"Zack Cozart","CIN",NA,"SS",2,0,0,1,0,4,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,33,3400,35.2941176470588,12,"Norichika Aoki","HOU",NA,"OF",9,1,0,0,1,3,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,16,4000,28.25,11.3,"Chris Devenski","HOU",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,0,0,0,0,2,0
50,17,5500,20.5454545454545,11.3,"Bronson Arroyo","CIN",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,6,0,0,2,6,1,0
51,34,4000,27.5,11,"Austin Barnes","LAD",NA,"C",8,1,0,1,0,3,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,35,4000,27.5,11,"Salvador Perez","KC",NA,"C",4,1,0,2,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
