"Position","Name...ID","Name","ID","Salary","GameInfo","TeamAbbrev"
"WR","Antonio Brown (0000000)","Antonio Brown","0000000",10000,"Pit@Mia 00:00PM ET","Pit"
"WR","Julio Jones (0000000)","Julio Jones","0000000",8900,"Atl@Sea 00:00PM ET","Atl"
"WR","Odell Beckham (0000000)","Odell Beckham","0000000",8800,"Bal@NYG 00:00PM ET","NYG"
"WR","A.J. Green (0000000)","A.J. Green","0000000",8600,"Cin@NE 00:00PM ET","Cin"
"QB","Cam Newton (0000000)","Cam Newton","0000000",8100,"Car@NO 00:00PM ET","Car"
"WR","Kelvin Benjamin (0000000)","Kelvin Benjamin","0000000",8100,"Car@NO 00:00PM ET","Car"
"WR","Jordy Nelson (0000000)","Jordy Nelson","0000000",8000,"Dal@GB 00:00PM ET","GB"
"RB","David Johnson (0000000)","David Johnson","0000000",8000,"NYJ@Ari 00:00PM ET","Ari"
"QB","Drew Brees (0000000)","Drew Brees","0000000",7900,"Car@NO 00:00PM ET","NO"
"RB","Le'Veon Bell (0000000)","Le'Veon Bell","0000000",7900,"Pit@Mia 00:00PM ET","Pit"
"WR","Allen Robinson (0000000)","Allen Robinson","0000000",7800,"Jax@Chi 00:00PM ET","Jax"
"WR","T.Y. Hilton (0000000)","T.Y. Hilton","0000000",7700,"Ind@Hou 00:00PM ET","Ind"
"RB","DeMarco Murray (0000000)","DeMarco Murray","0000000",7700,"Cle@Ten 00:00PM ET","Ten"
"WR","Larry Fitzgerald (0000000)","Larry Fitzgerald","0000000",7700,"NYJ@Ari 00:00PM ET","Ari"
"QB","Tom Brady (0000000)","Tom Brady","0000000",7700,"Cin@NE 00:00PM ET","NE"
"WR","Brandin Cooks (0000000)","Brandin Cooks","0000000",7600,"Car@NO 00:00PM ET","NO"
"WR","Brandon Marshall (0000000)","Brandon Marshall","0000000",7600,"NYJ@Ari 00:00PM ET","NYJ"
"WR","DeAndre Hopkins (0000000)","DeAndre Hopkins","0000000",7500,"Ind@Hou 00:00PM ET","Hou"
"QB","Ben Roethlisberger (0000000)","Ben Roethlisberger","0000000",7500,"Pit@Mia 00:00PM ET","Pit"
"WR","Amari Cooper (0000000)","Amari Cooper","0000000",7500,"KC@Oak 00:00PM ET","Oak"
"WR","Dez Bryant (0000000)","Dez Bryant","0000000",7400,"Dal@GB 00:00PM ET","Dal"
"QB","Aaron Rodgers (0000000)","Aaron Rodgers","0000000",7300,"Dal@GB 00:00PM ET","GB"
"RB","C.J. Anderson (0000000)","C.J. Anderson","0000000",7200,"Den@SD 00:00PM ET","Den"
