QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,RB,Le'Veon Bell (7976942),Le'Veon Bell,7976942,9400,Bal@Pit 04:30PM ET,Pit,
,,,,,,,,,,RB,David Johnson (7976918),David Johnson,7976918,9200,Ari@Sea 04:25PM ET,Ari,
,,,,,,,,,,RB,LeSean McCoy (7976837),LeSean McCoy,7976837,9000,Mia@Buf 01:00PM ET,Buf,
,,,,,,,,,,WR,Odell Beckham Jr. (7975684),Odell Beckham Jr.,7975684,8600,NYG@Phi 08:25PM ET,NYG,
,,,,,,,,,,WR,Mike Evans (7976984),Mike Evans,7976984,8500,TB@NO 04:25PM ET,TB,
,,,,,,,,,,WR,Antonio Brown (7977111),Antonio Brown,7977111,8200,Bal@Pit 04:30PM ET,Pit,
,,,,,,,,,,WR,Julio Jones (7977054),Julio Jones,7977054,8100,Atl@Car 01:00PM ET,Atl,
,,,,,,,,,,RB,Ezekiel Elliott (7976966),Ezekiel Elliott,7976966,7900,Det@Dal 08:30PM ET,Dal,
,,,,,,,,,,WR,T.Y. Hilton (7977065),T.Y. Hilton,7977065,7800,Ind@Oak 04:05PM ET,Ind,
,,,,,,,,,,QB,Tom Brady (7976764),Tom Brady,7976764,7700,NYJ@NE 01:00PM ET,NE,
,,,,,,,,,,QB,Drew Brees (7976759),Drew Brees,7976759,7400,TB@NO 04:25PM ET,NO,
,,,,,,,,,,RB,Melvin Gordon (7976882),Melvin Gordon,7976882,7400,SD@Cle 01:00PM ET,SD,
,,,,,,,,,,QB,Matt Ryan (7976792),Matt Ryan,7976792,7200,Atl@Car 01:00PM ET,Atl,
,,,,,,,,,,WR,A.J. Green (7977098),A.J. Green,7977098,7200,Cin@Hou 08:25PM ET,Cin,
,,,,,,,,,,RB,Devonta Freeman (7976902),Devonta Freeman,7976902,7100,Atl@Car 01:00PM ET,Atl,
,,,,,,,,,,RB,DeMarco Murray (7976863),DeMarco Murray,7976863,7000,Ten@Jax 01:00PM ET,Ten,
,,,,,,,,,,WR,Jordy Nelson (7977015),Jordy Nelson,7977015,7000,Min@GB 01:00PM ET,GB,
,,,,,,,,,,QB,Andrew Luck (7976797),Andrew Luck,7976797,7000,Ind@Oak 04:05PM ET,Ind,
,,,,,,,,,,WR,Julian Edelman (7976994),Julian Edelman,7976994,6900,NYJ@NE 01:00PM ET,NE,
,,,,,,,,,,QB,Philip Rivers (7976782),Philip Rivers,7976782,6900,SD@Cle 01:00PM ET,SD,
,,,,,,,,,,WR,Brandin Cooks (7976986),Brandin Cooks,7976986,6800,TB@NO 04:25PM ET,NO,
,,,,,,,,,,QB,Kirk Cousins (7976787),Kirk Cousins,7976787,6800,Was@Chi 01:00PM ET,Was,
,,,,,,,,,,QB,Derek Carr (7976799),Derek Carr,7976799,6800,Ind@Oak 04:05PM ET,Oak,
,,,,,,,,,,QB,Aaron Rodgers (7976775),Aaron Rodgers,7976775,6700,Min@GB 01:00PM ET,GB,
,,,,,,,,,,QB,Ben Roethlisberger (7976819),Ben Roethlisberger,7976819,6700,Bal@Pit 04:30PM ET,Pit,
,,,,,,,,,,QB,Cam Newton (7976795),Cam Newton,7976795,6600,Atl@Car 01:00PM ET,Car,
,,,,,,,,,,WR,Golden Tate (7977135),Golden Tate,7977135,6600,Det@Dal 08:30PM ET,Det,
,,,,,,,,,,QB,Jameis Winston (7976763),Jameis Winston,7976763,6500,TB@NO 04:25PM ET,TB,
,,,,,,,,,,WR,Amari Cooper (7977070),Amari Cooper,7977070,6500,Ind@Oak 04:05PM ET,Oak,
,,,,,,,,,,RB,Todd Gurley (7976929),Todd Gurley,7976929,6500,SF@LA 04:25PM ET,LA,
,,,,,,,,,,WR,Dez Bryant (7977134),Dez Bryant,7977134,6500,Det@Dal 08:30PM ET,Dal,
,,,,,,,,,,WR,Demaryius Thomas (7977122),Demaryius Thomas,7977122,6400,Den@KC 08:30PM ET,Den,
,,,,,,,,,,RB,Jordan Howard (7976896),Jordan Howard,7976896,6300,Was@Chi 01:00PM ET,Chi,
,,,,,,,,,,WR,Alshon Jeffery (7977044),Alshon Jeffery,7977044,6300,Was@Chi 01:00PM ET,Chi,
,,,,,,,,,,QB,Russell Wilson (7976803),Russell Wilson,7976803,6300,Ari@Sea 04:25PM ET,Sea,
,,,,,,,,,,WR,Taylor Gabriel (7977063),Taylor Gabriel,7977063,6200,Atl@Car 01:00PM ET,Atl,
