Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fantasy Points
1,732,Matt Ryan,QB,9,ATL,TB,323.1,2.6,0.8,9.3,0.1,0,0,0,26.75
2,7242,Drew Brees,QB,9,NO,SF,320.9,2.3,0.8,6.5,0.1,0,0,0,25.29
3,17923,Ezekiel Elliott,RB,9,DAL,CLE,0,0,0,113.8,0.9,2.4,20.8,0.1,24.66
4,2593,Aaron Rodgers,QB,9,GB,IND,295.6,2.2,0.8,20.4,0.4,0,0,0,23.96
5,14967,Le'Veon Bell,RB,9,PIT,BAL,0,0,0,69.1,0.4,6.1,51.2,0.2,21.53
6,18055,Dak Prescott,QB,9,DAL,CLE,240.9,1.9,0.6,18.4,0.4,0,0,0,20.68
7,8244,Philip Rivers,QB,9,SD,TEN,292,1.9,0.8,8.6,0.1,0,0,0,19.74
8,11056,Antonio Brown,WR,9,PIT,BAL,0,0,0,1,0,7.1,87.5,0.6,19.45
9,13291,Julio Jones,WR,9,ATL,TB,0,0,0,0.3,0,6,86.1,0.7,18.74
10,13320,Cam Newton,QB,9,CAR,LA,248.3,1.4,1,31.5,0.2,0,0,0,18.48
11,16524,Devonta Freeman,RB,9,ATL,TB,0,0,0,66.4,0.6,3.8,32.6,0.2,18.40
12,14008,Andrew Luck,QB,9,IND,GB,251.8,1.5,1.1,22,0.2,0,0,0,18.17
13,16307,Charcandrick West,RB,9,KC,JAX,0,0,0,73.7,0.8,3,21.3,0.1,17.80
14,17970,Devontae Booker,RB,9,DEN,OAK,0,0,0,79.4,0.6,3.1,25.3,0.1,17.57
15,13443,Colin Kaepernick,QB,9,SF,NO,181.2,1.1,0.8,57.9,0.2,0,0,0,17.54
16,16597,Mike Evans,WR,9,TB,ATL,0,0,0,0,0,5.3,86.3,0.6,17.53
17,14536,Russell Wilson,QB,9,SEA,BUF,267.8,1.7,1.1,9.7,0,0,0,0,17.18
18,3807,Ben Roethlisberger,QB,9,PIT,BAL,272.4,1.5,1.1,9.6,0.1,0,0,0,17.16
19,13799,Ryan Tannehill,QB,9,MIA,NYJ,234.8,1.3,0.7,21.8,0.2,0,0,0,17.07
20,16771,Todd Gurley,RB,9,LA,CAR,0,0,0,71.7,0.6,3.1,26.9,0.1,17.06
21,16389,Odell Beckham Jr,WR,9,NYG,PHI,0,0,0,0,0,5.9,76.5,0.6,17.05
22,16776,Melvin Gordon,RB,9,SD,TEN,0,0,0,74,0.6,3.2,24.3,0.1,17.03
23,16765,Amari Cooper,WR,9,OAK,DEN,0,0,0,0.1,0,6.7,79.2,0.4,17.03
24,11527,Sam Bradford,QB,9,MIN,DET,243.5,1.7,0.5,5.4,0.1,0,0,0,16.98
25,16311,Derek Carr,QB,9,OAK,DEN,252.2,1.6,1.1,12,0.1,0,0,0,16.89
26,2699,Matt Forte,RB,9,NYJ,MIA,0,0,0,81,0.6,2.6,21.2,0.1,16.82
27,16763,Marcus Mariota,QB,9,TEN,SD,220.5,1.3,0.8,26.9,0.2,0,0,0,16.81
28,13124,DeMarco Murray,RB,9,TEN,SD,0,0,0,76.5,0.5,3,21.5,0.2,16.80
29,9038,Matthew Stafford,QB,9,DET,MIN,251.8,1.5,1,12.2,0.1,0,0,0,16.69
30,14005,TY Hilton,WR,9,IND,GB,0,0,0,0,0,5,80.5,0.6,16.65
31,17966,Cody Kessler,QB,9,CLE,DAL,254.8,1.7,1,4.4,0,0,0,0,16.13
32,16762,Jameis Winston,QB,9,TB,ATL,236.7,1.5,0.9,11.1,0.1,0,0,0,16.08
33,17920,Carson Wentz,QB,9,PHI,NYG,246.4,1.7,0.9,4.8,0,0,0,0,16.04
34,11197,Demaryius Thomas,WR,9,DEN,OAK,0,0,0,0.3,0,5.9,72.1,0.5,15.94
35,12831,Tyrod Taylor,QB,9,BUF,SEA,197.3,1.1,0.6,32,0.2,0,0,0,15.89
36,17009,Trevor Siemian,QB,9,DEN,OAK,241.8,1.4,0.8,10.1,0.1,0,0,0,15.88
37,11270,Dez Bryant,WR,9,DAL,CLE,0,0,0,0,0,4.1,68.8,0.8,15.78
38,15126,Theo Riddick,RB,9,DET,MIN,0,0,0,38,0.2,5.2,41.4,0.2,15.44
39,11667,Brandon Marshall,WR,9,NYJ,MIA,0,0,0,0,0,5,79.6,0.4,15.36
40,4556,Jordy Nelson,WR,9,GB,IND,0,0,0,0,0,4.3,68.7,0.7,15.27
41,11063,Emmanuel Sanders,WR,9,DEN,OAK,0,0,0,0.4,0,5.1,76.4,0.4,15.18
42,13723,Nick Foles,QB,9,KC,JAX,230.5,1.3,0.4,7.4,0.1,0,0,0,15.16
43,611,Joe Flacco,QB,9,BAL,PIT,241.6,1.2,0.9,6.3,0.2,0,0,0,15.09
44,13693,Terrelle Pryor,WR,9,CLE,DAL,0,0,0,0.7,0,5,70.2,0.5,15.09
45,16568,Brandin Cooks,WR,9,NO,SF,0,0,0,0.3,0,5,69.4,0.5,14.97
46,13337,Mark Ingram,RB,9,NO,SF,0,0,0,68.1,0.6,2.3,17.2,0.1,14.93
47,8283,Ryan Fitzpatrick,QB,9,NYJ,MIA,225.7,1.2,1,15.2,0.1,0,0,0,14.85
48,16906,Stefon Diggs,WR,9,MIN,DET,0,0,0,0,0,5.1,71.4,0.4,14.64
49,15256,Christine Michael,RB,9,SEA,BUF,0,0,0,71.9,0.6,1.9,14.2,0.1,14.61
50,16263,Allen Robinson,WR,9,JAX,KC,0,0,0,0,0,5.8,76,0.2,14.60
51,16550,Kelvin Benjamin,WR,9,CAR,LA,0,0,0,0,0,4.2,73,0.5,14.50
52,17960,Michael Thomas,WR,9,NO,SF,0,0,0,0,0,5,64.9,0.5,14.49
53,11932,LeSean McCoy,RB,9,BUF,SEA,0,0,0,61.1,0.4,3.2,22.4,0.1,14.45
54,16020,Jarvis Landry,WR,9,MIA,NYJ,0,0,0,0.7,0,6.1,65,0.3,14.37
55,13460,Doug Baldwin,WR,9,SEA,BUF,0,0,0,0,0,5,63,0.5,14.30
56,13870,Marvin Jones,WR,9,DET,MIN,0,0,0,0.1,0,4.8,70.1,0.4,14.22
