Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fantasy Points
1,3807,Ben Roethlisberger,QB,5,PIT,NYJ,307.3,2,0.8,8.7,0.1,0,0,0,23.76
2,4314,Tom Brady,QB,5,NE,CLE,268,2,0.7,20.2,0.3,0,0,0,21.64
3,2593,Aaron Rodgers,QB,5,GB,NYG,262.1,2,0.4,23.5,0.2,0,0,0,21.43
4,11056,Antonio Brown,WR,5,PIT,NYJ,0,0,0,0.2,0,8,97.2,0.6,21.24
5,14967,Le'Veon Bell,RB,5,PIT,NYJ,0,0,0,74.5,0.5,5,43.6,0.2,20.81
6,14008,Andrew Luck,QB,5,IND,CHI,281.8,1.8,1.1,18.6,0.2,0,0,0,20.23
7,12845,AJ Green,WR,5,CIN,DAL,0,0,0,0.1,0,6.9,90.2,0.5,18.83
8,12841,Andy Dalton,QB,5,CIN,DAL,271.5,1.8,0.7,9.1,0.1,0,0,0,18.77
9,16847,David Johnson,RB,5,ARI,SF,0,0,0,86,0.6,3,28.5,0.1,18.55
10,8244,Philip Rivers,QB,5,SD,OAK,279.9,1.8,1,7.3,0.1,0,0,0,18.43
11,16311,Derek Carr,QB,5,OAK,SD,268,1.8,1,10.5,0.1,0,0,0,18.37
12,16776,Melvin Gordon,RB,5,SD,OAK,0,0,0,73.6,0.6,3.9,29.6,0.1,18.22
13,13124,DeMarco Murray,RB,5,TEN,MIA,0,0,0,77.5,0.6,3.5,28.7,0.1,18.12
14,13291,Julio Jones,WR,5,ATL,DEN,0,0,0,0,0,6.1,84.4,0.6,18.04
15,17920,Carson Wentz,QB,5,PHI,DET,250,1.7,0.6,11.1,0.1,0,0,0,17.71
16,16389,Odell Beckham Jr,WR,5,NYG,GB,0,0,0,0,0,6,80.6,0.6,17.66
17,16763,Marcus Mariota,QB,5,TEN,MIA,230.6,1.5,0.9,19.6,0.2,0,0,0,17.28
18,4932,Eli Manning,QB,5,NYG,GB,270.7,1.6,1.1,6.1,0.1,0,0,0,17.14
19,18055,Dak Prescott,QB,5,DAL,CIN,241.7,1.4,0.7,15.1,0.2,0,0,0,17.08
20,732,Matt Ryan,QB,5,ATL,DEN,266.8,1.8,1.1,4.6,0,0,0,0,17.03
21,11197,Demaryius Thomas,WR,5,DEN,ATL,0,0,0,0.1,0,5.9,81.6,0.5,16.97
22,9038,Matthew Stafford,QB,5,DET,PHI,285.9,1.4,1.3,8.1,0.1,0,0,0,16.95
23,15020,CJ Anderson,RB,5,DEN,ATL,0,0,0,84,0.6,2.5,18.8,0.1,16.88
24,13799,Ryan Tannehill,QB,5,MIA,TEN,256.7,1.5,0.9,10.5,0.1,0,0,0,16.82
25,611,Joe Flacco,QB,5,BAL,WAS,243,1.6,0.9,6.9,0.2,0,0,0,16.81
26,16020,Jarvis Landry,WR,5,MIA,TEN,0,0,0,3.1,0,6.9,72.9,0.4,16.80
27,5571,Larry Fitzgerald,WR,5,ARI,SF,0,0,0,-0.2,0,5.8,73.6,0.6,16.64
28,12831,Tyrod Taylor,QB,5,BUF,LA,205.1,1.2,0.6,31.9,0.2,0,0,0,16.59
29,4556,Jordy Nelson,WR,5,GB,NYG,0,0,0,0,0,5.2,77.7,0.6,16.57
30,16771,Todd Gurley,RB,5,LA,BUF,0,0,0,77.3,0.6,2.6,20.2,0.1,16.45
31,15100,Jordan Reed,TE,5,WAS,BAL,0,0,0,0,0,6.1,66,0.6,16.30
32,12083,Derek Anderson,QB,5,CAR,TB,237.5,1.7,0.9,4.5,0.1,0,0,0,16.25
33,5820,Frank Gore,RB,5,IND,CHI,0,0,0,71.3,0.6,2.7,23.2,0.1,16.25
34,18067,Jordan Howard,RB,5,CHI,IND,0,0,0,70.3,0.5,3.2,25.1,0.1,16.24
35,16597,Mike Evans,WR,5,TB,CAR,0,0,0,0,0,5.2,81.3,0.5,16.23
36,17923,Ezekiel Elliott,RB,5,DAL,CIN,0,0,0,86.2,0.6,2,15,0.1,16.12
37,17929,Paxton Lynch,QB,5,DEN,ATL,225,1.5,0.8,12.9,0.1,0,0,0,15.99
38,16550,Kelvin Benjamin,WR,5,CAR,TB,0,0,0,0,0,4.9,74.9,0.6,15.99
39,11667,Brandon Marshall,WR,5,NYJ,PIT,0,0,0,0,0,6,76.5,0.4,15.95
40,15126,Theo Riddick,RB,5,DET,PHI,0,0,0,44.2,0.3,4.8,38.1,0.2,15.93
41,14252,Kirk Cousins,QB,5,WAS,BAL,230.8,1.6,0.8,3.9,0.1,0,0,0,15.62
42,8283,Ryan Fitzpatrick,QB,5,NYJ,PIT,234.2,1.2,1,19.8,0.1,0,0,0,15.55
43,14005,TY Hilton,WR,5,IND,CHI,0,0,0,0.1,0,5.1,73.3,0.5,15.44
44,11932,LeSean McCoy,RB,5,BUF,LA,0,0,0,73.2,0.4,3.1,21.6,0.1,15.38
45,16765,Amari Cooper,WR,5,OAK,SD,0,0,0,0.5,0,5.1,70.4,0.5,15.19
