"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","Name.Clean","FreqInd"
"WR","Antonio Brown (7609071)","Antonio Brown",7609071,9300,"NE@Pit 04:25PM ET","Pit","Antonio","Brown","NE",18.95,19.7,1,0.289473684210526,18.0991554848861,18.0271517680621,"Antonio Brown",1
"WR","Julio Jones (7609060)","Julio Jones",7609060,9200,"SD@Atl 04:05PM ET","Atl","Julio","Jones","SD",23.71,25.6,1,0.241706161137441,23.2175363746382,23.0546235069678,"Julio Jones",1
"WR","A.J. Green (7608994)","A.J. Green",7608994,8600,"Cle@Cin 01:00PM ET","Cin","A.J.","Green","Cle",20.3,23.1,1,0.293333333333333,20.5888677919616,20.3589453054544,"A.J. Green",1
"RB","Le'Veon Bell (7608943)","Le'Veon Bell",7608943,8000,"NE@Pit 04:25PM ET","Pit","Le'Veon","Bell","NE",20.79,20.5,4,0.109649122807018,19.187517468715,19.1936821086187,"LeVeon Bell",1
"WR","Amari Cooper (7609021)","Amari Cooper",7609021,7900,"Oak@Jax 01:00PM ET","Oak","Amari","Cooper","Jax",18.22,16.1,1,0.286324786324786,15.693873889602,15.8420621590965,"Amari Cooper",1
"QB","Tom Brady (7608846)","Tom Brady",7608846,7900,"NE@Pit 04:25PM ET","NE","Tom","Brady","Pit",25.77,22.3,0,0,21.9136262050232,22.1593037743113,"Tom Brady",0
"WR","Mike Evans (7609054)","Mike Evans",7609054,7800,"TB@SF 04:05PM ET","TB","Mike","Evans","SF",20.53,17.9,1,0.302884615384615,17.5385829734208,17.7240185551401,"Mike Evans",1
"WR","T.Y. Hilton (7608972)","T.Y. Hilton",7608972,7700,"Ind@Ten 01:00PM ET","Ind","T.Y.","Hilton","Ten",20.34,21.6,1,0.278688524590164,19.7002807528772,19.588177243156,"T.Y. Hilton",1
"RB","LeSean McCoy (7608910)","LeSean McCoy",7608910,7600,"Buf@Mia 01:00PM ET","Buf","LeSean","McCoy","Mia",6.71,12.3,4,0.14792899408284,9.60974359098597,9.17679105758444,"LeSean McCoy",1
"WR","Brandon Marshall (7609035)","Brandon Marshall",7609035,7600,"Bal@NYJ 01:00PM ET","NYJ","Brandon","Marshall","Bal",19.04,14.6,1,0.259911894273128,15.0627743894472,15.3878704677068,"Brandon Marshall",1
"WR","Brandin Cooks (7608962)","Brandin Cooks",7608962,7500,"NO@KC 01:00PM ET","NO","Brandin","Cooks","KC",14.2,16.4,1,0.18552036199095,14.547181033079,14.3678767970874,"Brandin Cooks",1
"QB","Drew Brees (7608794)","Drew Brees",7608794,7400,"NO@KC 01:00PM ET","NO","Drew","Brees","KC",19.01,21.4,0,0,19.1409926173448,18.943440244311,"Drew Brees",0
"RB","David Johnson (7608952)","David Johnson",7608952,7400,"Sea@Ari 08:30PM ET","Ari","David","Johnson","Sea",19.69,17.3,4,0.144067796610169,16.9005720894234,17.0682890565056,"David Johnson",1
"WR","Allen Robinson (7609020)","Allen Robinson",7609020,7300,"Oak@Jax 01:00PM ET","Jax","Allen","Robinson","Oak",19.61,19.1,1,0.256281407035176,17.9563129449839,17.9802229827135,"Allen Robinson",1
