Rk,ID,Player,Pos,Team,Opp,Week,Snaps,Snap Pct,Rush Pct,Tgt Pct,Touch Pct,Util Pct,Fantasy Points,Points/100 Snaps
1,6198,Darren Sproles,RB,PHI,NYG,16,27,48,26,7,33,33,14.30,45.6
2,13949,Coty Sensabaugh,CB,NYG,PHI,16,11,20,0,0,0,0,0,36.4
3,9196,Malcolm Jenkins,S,PHI,NYG,16,89,100,0,0,0,0,0,23
4,17972,Paul Perkins,RB,NYG,PHI,16,34,38,44,6,47,50,8.70,22.6
5,11256,Ryan Mathews,RB,PHI,NYG,16,28,50,64,4,68,68,7.20,22.1
6,17920,Carson Wentz,QB,PHI,NYG,16,50,89,8,0,56,56,11.78,21.6
7,16781,Nelson Agholor,WR,PHI,NYG,16,54,96,2,9,6,11,13.20,20.7
8,16403,Kerry Wynn,DE,NYG,PHI,16,5,9,0,0,0,0,0,20
9,16794,Landon Collins,SS,NYG,PHI,16,56,100,0,0,0,0,0,19.6
10,15960,Beau Allen,DT,PHI,NYG,16,29,33,0,0,0,0,0,19
11,16389,Odell Beckham Jr,WR,NYG,PHI,16,88,99,0,23,13,23,29,17
12,13909,Trevin Wade,CB,NYG,PHI,16,25,45,0,0,0,0,0,16
13,12246,Victor Cruz,WR,NYG,PHI,16,53,60,0,25,15,25,16.40,15.8
14,17961,Sterling Shepard,WR,NYG,PHI,16,88,99,1,13,9,14,19.30,14
15,4932,Eli Manning,QB,NYG,PHI,16,89,100,0,0,71,71,18.24,13.8
16,11315,Brandon Graham,DE,PHI,NYG,16,63,71,0,0,0,0,0,12.7
17,2556,Dominique Rodgers-Cromartie,CB,NYG,PHI,16,55,98,0,0,0,0,0,12.7
18,8649,Rashad Jennings,RB,NYG,PHI,16,41,46,22,12,32,34,9.10,12.4
19,13756,Nigel Bradham,OLB,PHI,NYG,16,89,100,0,0,0,0,0,11.8
20,13722,Vinny Curry,DE,PHI,NYG,16,34,38,0,0,0,0,0,11.8
21,16397,Devon Kennard,OLB,NYG,PHI,16,35,63,0,0,0,0,0,11.4
22,13731,Mychal Kendricks,OLB,PHI,NYG,16,14,16,0,0,0,0,0,10.7
23,9902,Chase Daniel,QB,PHI,NYG,16,6,11,0,0,17,17,0.64,10.7
24,10953,Nolan Carroll,CB,PHI,NYG,16,66,74,0,0,0,0,0,10.6
25,14271,Keenan Robinson,OLB,NYG,PHI,16,29,52,0,0,0,0,0,10.3
26,5035,Leodis McKelvin,CB,PHI,NYG,16,83,93,0,0,0,0,0,10.2
27,13852,Bobby Rainey,RB,NYG,PHI,16,14,16,0,14,7,14,2.30,9.3
28,5511,Brent Celek,TE,PHI,NYG,16,30,54,0,10,10,10,5.70,9
29,8565,Connor Barwin,DE,PHI,NYG,16,65,73,0,0,0,0,0,8.5
30,18149,Jalen Mills,CB,PHI,NYG,16,66,74,0,0,0,0,0,8.3
31,18268,Romeo Okwara,DE,NYG,PHI,16,50,89,0,0,0,0,0,8
32,14646,Olivier Vernon,DE,NYG,PHI,16,56,100,0,0,0,0,0,7.1
33,14856,Zach Ertz,TE,PHI,NYG,16,48,86,0,4,4,4,5.30,6.9
34,12742,Kelvin Sheppard,ILB,NYG,PHI,16,44,79,0,0,0,0,0,6.8
35,16845,Jordan Hicks,ILB,PHI,NYG,16,83,93,0,0,0,0,0,6.6
36,9810,Jonathan Casillas,OLB,NYG,PHI,16,34,61,0,0,0,0,0,5.9
37,13816,Damon Harrison,DT,NYG,PHI,16,40,71,0,0,0,0,0,5
38,13721,Fletcher Cox,DT,PHI,NYG,16,66,74,0,0,0,0,0,4.5
39,15981,Jaylen Watkins,CB,PHI,NYG,16,37,42,0,0,0,0,0,4.1
40,17754,Will Tye,TE,NYG,PHI,16,60,67,0,13,8,13,7.30,3.8
41,17950,Eli Apple,CB,NYG,PHI,16,55,98,0,0,0,0,0,3.6
42,15974,Jordan Matthews,WR,PHI,NYG,16,39,70,0,15,5,15,3.20,3.1
43,16801,Dorial Green-Beckham,WR,PHI,NYG,16,27,48,0,7,4,7,1.70,2.6
44,18576,Andrew Adams,FS,NYG,PHI,16,40,71,0,0,0,0,0,2.5
45,18597,Destiny Vaeao,DT,PHI,NYG,16,22,25,0,0,0,0,0,2.3
46,14419,Rodney McLeod,S,PHI,NYG,16,89,100,0,0,0,0,0,2.2
47,15090,Johnathan Hankins,DT,NYG,PHI,16,45,80,0,0,0,0,0,2.2
48,18101,Jerell Adams,TE,NYG,PHI,16,40,45,0,3,3,3,1.90,2.2
49,14859,Bennie Logan,DT,PHI,NYG,16,49,55,0,0,0,0,0,2
50,15965,Trey Burton,TE,PHI,NYG,16,16,29,0,6,6,6,1.30,1.9
51,384,Stephen Tulloch,ILB,PHI,NYG,16,6,7,0,0,0,0,0,0
52,1650,Leon Hall,CB,NYG,PHI,16,14,25,0,0,0,0,0,0
53,2194,Zak DeOssie,LS,NYG,PHI,16,8,29,0,0,0,0,0,0
54,15978,Marcus Smith,DE,PHI,NYG,16,26,29,0,0,0,0,0,0
55,16391,Jay Bromley,DT,NYG,PHI,16,16,29,0,0,0,0,0,0
56,17527,Rick Lovato,LS,PHI,NYG,16,9,38,0,0,0,0,0,0
57,18285,Roger Lewis,WR,NYG,PHI,16,22,25,0,5,0,5,0,0
