"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"1B","Paul Goldschmidt",5100,"Ari@SD 09:10PM ET",8.938,"Ari",8.66,9.9,9.37,10,5
"OF","Ryan Braun",5000,"StL@Mil 08:10PM ET",11.2,"Mil",7.79,7,8.59,8.5,2
"OF","Bryce Harper",5000,"Was@Atl 07:35PM ET",14.786,"Was",9.69,9.9,9.26,9.3,7
"OF","Dexter Fowler",4900,"StL@Mil 08:10PM ET",6.333,"StL",6.98,8.1,8.13,7.4,0
"1B","Joey Votto",4900,"Bal@Cin 07:10PM ET",8.267,"Cin",6.91,8.2,9.62,8.6,14
"1B","Matt Carpenter",4800,"StL@Mil 08:10PM ET",5.143,"StL",7.76,9,8.25,8.2,17
"1B","Chris Davis",4800,"Bal@Cin 07:10PM ET",8.077,"Bal",7.94,8.9,8.52,8.3,0
"OF","Mark Trumbo",4700,"Bal@Cin 07:10PM ET",6.692,"Bal",8.07,8.6,8.14,7.3,7
"1B","Wil Myers",4700,"Ari@SD 09:10PM ET",9.625,"SD",8.39,8.4,8.39,8,17
"OF","Lorenzo Cain",4600,"KC@Tex 08:05PM ET",8.571,"KC",7.13,7.5,9.21,7.9,10
"3B","Manny Machado",4600,"Bal@Cin 07:10PM ET",6.538,"Bal",8.93,10.1,9.09,8.8,3
"OF","Nelson Cruz",4500,"Sea@Oak 10:05PM ET",6.625,"Sea",8.25,7.7,9.14,7.4,7
"2B","Jonathan Villar",4500,"StL@Mil 08:10PM ET",6.875,"Mil",7.53,8.8,9.08,8.6,10
"SS","Aledmys Diaz",4500,"StL@Mil 08:10PM ET",6.667,"StL",7.58,7.7,8.02,7.4,13
"OF","Stephen Piscotty",4500,"StL@Mil 08:10PM ET",6.615,"StL",7.01,6.7,7.59,7.4,7
"1B","Eric Hosmer",4500,"KC@Tex 08:05PM ET",4.571,"KC",7.67,8.9,8.58,7.8,4
"2B","Rougned Odor",4500,"KC@Tex 08:05PM ET",6.667,"Tex",6.05,6.3,8.04,7.6,5
"OF","Adam Jones",4500,"Bal@Cin 07:10PM ET",8.538,"Bal",7.2,8.7,7.95,7.3,0
