"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"DST","Falcons ",5500,"ATL@MIA 07:00PM ET",7.167,"ATL","MIA",9.6,7.167,0
"DST","Dolphins ",5500,"ATL@MIA 07:00PM ET",7.294,"MIA","ATL",8.35,7.294,0
"DST","Jaguars ",5500,"JAX@NE 07:30PM ET",4.5,"JAX","NE",8.71,4.5,0
"DST","Patriots ",5500,"JAX@NE 07:30PM ET",8.333,"NE","JAX",7.79,8.333,0
"DST","Bears ",5500,"DEN@CHI 08:00PM ET",5.313,"CHI","DEN",4.76,5.313,0
"DST","Broncos ",5500,"DEN@CHI 08:00PM ET",9.688,"DEN","CHI",12.45,9.688,0
"DST","Ravens ",5500,"WAS@BAL 07:30PM ET",7.875,"BAL","WAS",7.03,7.875,0
"DST","Redskins ",5500,"WAS@BAL 07:30PM ET",5.938,"WAS","BAL",7.24,5.938,0
"DST","Eagles ",5500,"PHI@GB 08:00PM ET",8.938,"PHI","GB",8.33,8.938,0
"DST","Packers ",5500,"PHI@GB 08:00PM ET",5.737,"GB","PHI",7.93,5.737,0
"DST","Bills ",5500,"MIN@BUF 07:00PM ET",6.5,"BUF","MIN",12.12,6.5,0
"DST","Vikings ",5500,"MIN@BUF 07:00PM ET",9.875,"MIN","BUF",7.33,9.875,0
"DST","Browns ",5500,"NO@CLE 08:00PM ET",3.125,"CLE","NO",6.04,3.125,0
"DST","Saints ",5500,"NO@CLE 08:00PM ET",3.438,"NO","CLE",5.4,3.438,0
