"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18","2017-04-19","2017-04-20","2017-04-21","2017-04-22","2017-04-23","2017-04-24","2017-04-25","2017-04-26","2017-04-27","2017-04-28","2017-04-29","2017-04-30","2017-05-01","2017-05-02","2017-05-03","2017-05-04","2017-05-05","2017-05-06","2017-05-07","2017-05-08","2017-05-09"
"Anthony Rizzo_CHC",3,NA,2,NA,NA,4,7,0,7,NA,6,19,NA,12,5,10,10,12,NA,20,29,16,13,0,25,NA,5,16,2,2,4,5,0,3,NA,13,NA,0
"Charlie Blackmon_COL",NA,7,10,4,NA,NA,11,23,3,16,8,0,3,7,14,NA,7,7,NA,16,26,21,18,26,7,17,5,8,0,NA,8,16,2,3,NA,20,NA,NA
"Kris Bryant_CHC",0,NA,0,NA,NA,12,21,18,9,NA,4,2,NA,30,0,0,15,11,NA,5,11,5,19,10,19,NA,16,16,14,2,24,6,16,16,NA,5,NA,21
"Nolan Arenado_COL",NA,12,11,3,NA,NA,19,0,6,14,4,5,0,22,14,NA,35,10,NA,0,11,7,10,7,5,14,9,7,0,NA,8,11,2,3,NA,NA,NA,5
"Mike Trout_LAA",NA,NA,10,10,NA,7,16,6,NA,16,14,13,5,12,0,13,11,6,NA,21,14,11,10,16,10,7,26,14,7,NA,11,18,NA,7,NA,NA,NA,NA
"Jose Altuve_HOU",NA,NA,3,0,3,0,3,13,4,17,19,NA,26,19,NA,9,6,10,NA,3,23,22,NA,2,NA,NA,4,19,6,18,20,0,3,10,NA,21,NA,7
"Ian Desmond_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,10,33,10,0,NA,0,NA,8
"Ben Zobrist_CHC",4,NA,NA,NA,NA,16,11,20,0,NA,3,NA,NA,8,5,8,0,NA,NA,NA,NA,12,17,0,NA,NA,12,16,5,3,9,7,NA,3,NA,3,NA,2
"Carlos Correa_HOU",NA,NA,2,6,2,5,4,8,9,0,10,NA,4,4,NA,NA,NA,NA,NA,2,0,16,NA,6,11,9,12,0,12,13,0,25,14,10,NA,2,NA,18
"Kyle Schwarber_CHC",10,NA,4,NA,NA,0,7,19,8,NA,2,7,NA,7,8,5,18,NA,NA,12,6,0,12,0,2,NA,3,7,2,0,18,2,NA,14,NA,14,NA,NA
"Freddie Freeman_ATL",NA,14,NA,2,0,NA,5,43,NA,5,16,NA,12,5,8,40,10,23,0,14,16,4,NA,NA,10,16,16,22,16,11,20,5,NA,4,NA,25,NA,0
"Javier Baez_CHC",3,NA,2,NA,NA,0,16,NA,2,NA,NA,7,NA,3,5,NA,7,0,NA,21,2,NA,2,NA,10,NA,0,NA,NA,19,34,10,0,NA,NA,24,NA,16
"Trevor Story_COL",NA,7,18,7,NA,NA,5,2,2,NA,2,16,4,4,0,NA,14,5,NA,20,16,9,8,5,0,4,14,16,4,NA,0,NA,NA,2,NA,12,NA,0
"David Dahl_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"George Springer_HOU",NA,NA,5,27,16,2,2,19,0,17,5,NA,3,22,NA,5,17,0,NA,9,2,NA,NA,NA,NA,NA,14,0,10,8,7,14,NA,9,NA,7,NA,7
"Carlos Gonzalez_COL",NA,0,7,0,NA,NA,NA,2,3,14,7,5,3,0,7,NA,0,0,NA,7,7,11,10,16,4,NA,10,6,3,NA,0,3,2,NA,NA,0,NA,NA
"Jason Heyward_CHC",5,NA,5,NA,NA,5,NA,17,2,NA,8,3,NA,5,5,5,8,NA,NA,14,27,7,20,0,7,NA,3,5,3,2,2,11,NA,0,NA,NA,NA,NA
"DJ LeMahieu_COL",NA,0,5,4,NA,NA,0,NA,21,0,2,15,6,8,10,NA,2,10,NA,2,15,0,3,19,4,2,NA,14,2,NA,2,12,6,3,NA,2,NA,0
"Addison Russell_CHC",3,NA,7,NA,NA,3,19,16,5,NA,0,14,NA,21,0,2,NA,30,NA,7,4,10,20,7,0,NA,6,0,0,NA,7,0,11,0,NA,6,NA,6
"Mark Reynolds_COL",NA,27,12,10,NA,NA,19,0,18,2,NA,5,5,10,3,NA,5,2,NA,14,30,0,21,18,6,0,2,21,2,NA,NA,NA,9,19,NA,19,NA,6
"Albert Almora_CHC",NA,NA,3,NA,NA,NA,17,NA,NA,NA,NA,5,NA,NA,NA,9,NA,14,NA,4,2,NA,NA,0,NA,NA,18,3,3,NA,NA,NA,12,NA,NA,NA,NA,7
"Jon Jay_CHC",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,0,NA,NA,NA,NA,NA,16,4,NA,NA,NA,3,NA,NA,12,NA,NA,9,7,2,NA,NA,10,2,NA,7,NA,NA
"Willson Contreras_CHC",21,NA,7,NA,NA,3,11,NA,3,NA,3,5,NA,2,0,NA,NA,10,NA,0,34,NA,NA,2,3,NA,3,NA,2,3,4,NA,NA,0,NA,3,NA,7
"Matt Kemp_ATL",NA,5,NA,21,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,19,NA,NA,10,2,11,46,5,17,7,5,NA,3,NA,10,NA,12
"Miguel Montero_CHC",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,8,24,NA,NA,NA,NA,3,15,NA,NA,NA,NA,17,NA,NA,NA,3,16,NA,NA,NA,NA,NA
"Khris Davis_OAK",NA,NA,2,5,NA,14,7,8,16,NA,8,0,14,22,NA,0,2,23,11,2,6,NA,NA,2,9,2,32,14,4,NA,2,3,7,3,NA,8,0,2
"Alex Bregman_HOU",NA,NA,0,7,NA,5,3,0,3,8,12,NA,8,16,NA,8,0,9,NA,5,5,5,NA,3,2,7,5,3,NA,7,5,10,7,NA,NA,9,NA,12
"Evan Gattis_HOU",NA,NA,2,14,NA,3,NA,16,0,NA,NA,NA,NA,0,NA,5,NA,8,NA,NA,18,NA,NA,9,16,5,19,3,7,NA,5,NA,5,NA,NA,14,NA,NA
"Gerardo Parra_COL",NA,8,19,5,NA,NA,17,11,5,0,2,NA,NA,NA,NA,NA,NA,0,NA,7,NA,23,5,14,9,5,0,0,NA,NA,0,5,NA,11,NA,NA,NA,0
"Ian Happ_CHC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albert Pujols_LAA",NA,NA,0,5,NA,2,13,21,NA,9,0,5,3,5,2,NA,18,0,NA,17,5,15,5,3,8,7,18,2,2,NA,10,5,5,14,NA,2,6,14
"Rajai Davis_OAK",NA,NA,17,0,NA,0,14,4,8,NA,14,16,0,NA,NA,2,NA,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,9,NA,11,NA,16
"Carlos Beltran_HOU",NA,NA,0,6,3,10,10,NA,3,8,14,NA,5,2,NA,0,3,NA,NA,19,0,9,NA,0,2,NA,9,5,NA,0,15,0,NA,14,NA,0,NA,21
"Tommy La Stella_CHC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryon Healy_OAK",NA,NA,19,0,NA,0,5,0,5,NA,12,3,0,0,NA,NA,NA,10,19,0,21,10,NA,0,0,3,5,3,5,NA,0,2,19,NA,NA,25,0,3
"Josh Reddick_HOU",NA,NA,3,5,NA,3,NA,5,0,8,18,NA,0,NA,NA,13,0,33,NA,2,NA,0,NA,12,4,10,8,3,2,2,NA,20,9,19,NA,7,NA,19
"Stephen Cardullo_COL",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,10,NA,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raimel Tapia_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yonder Alonso_OAK",NA,NA,7,3,NA,14,21,NA,2,NA,5,NA,NA,11,NA,0,4,21,NA,17,NA,5,NA,0,21,7,3,3,NA,NA,17,21,4,12,NA,16,0,32
"Kole Calhoun_LAA",NA,NA,7,11,NA,21,5,9,NA,0,10,3,2,2,0,2,0,NA,NA,9,7,4,3,5,11,0,10,10,19,NA,16,21,0,NA,NA,5,3,0
"Brandon Phillips_ATL",NA,3,NA,5,0,NA,19,6,NA,24,4,NA,3,14,24,5,3,5,10,3,21,11,NA,NA,3,NA,NA,3,NA,0,5,NA,NA,0,NA,NA,NA,2
"Norichika Aoki_HOU",NA,NA,NA,NA,5,0,NA,0,NA,NA,10,NA,19,17,NA,0,6,0,NA,2,NA,8,NA,15,5,3,0,NA,0,7,NA,4,NA,0,NA,NA,NA,5
"Marwin Gonzalez_HOU",NA,NA,14,NA,16,NA,7,18,2,4,NA,NA,8,NA,NA,2,0,2,NA,NA,2,NA,NA,NA,12,19,NA,NA,18,NA,36,23,26,5,NA,NA,NA,NA
"Ender Inciarte_ATL",NA,0,NA,4,3,NA,3,0,NA,8,30,NA,21,5,21,8,0,5,0,12,0,0,NA,NA,13,15,18,19,15,19,17,2,NA,14,NA,8,NA,7
"Dustin Garneau_COL",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,9,NA,NA,2,0,NA,NA,7,NA,NA,NA,NA,7,5,NA,8,NA,NA,16,NA,7,NA,0,NA,6
"Pat Valaika_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA
"Cameron Maybin_LAA",NA,NA,8,7,NA,14,3,NA,NA,11,NA,9,0,7,NA,NA,0,5,NA,5,8,NA,12,2,17,NA,2,NA,0,NA,18,NA,5,10,NA,9,0,7
"Marcus Semien_OAK",NA,NA,9,3,NA,4,19,3,0,NA,13,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CJ Cron_LAA",NA,NA,NA,8,NA,0,NA,10,NA,NA,5,NA,NA,NA,5,0,0,3,NA,2,9,2,NA,NA,NA,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brian McCann_HOU",NA,NA,14,NA,3,NA,17,7,NA,4,6,NA,16,NA,NA,NA,6,3,NA,15,NA,9,NA,0,16,7,NA,0,14,3,NA,18,4,23,NA,NA,NA,0
"Nick Markakis_ATL",NA,0,NA,12,3,NA,11,10,NA,14,5,NA,11,5,9,0,5,8,7,3,0,3,NA,NA,17,13,5,15,5,4,7,5,NA,5,NA,5,NA,7
"Adonis Garcia_ATL",NA,0,NA,9,3,NA,5,5,NA,5,0,NA,0,17,4,3,0,3,3,19,5,NA,NA,NA,8,5,16,6,0,7,12,3,NA,5,NA,13,NA,0
"Tom Murphy_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trevor Plouffe_OAK",NA,NA,0,3,NA,0,NA,3,0,NA,11,3,14,18,NA,3,4,9,18,14,3,3,NA,5,4,0,3,0,5,NA,3,2,NA,0,NA,13,19,10
"Luis Valbuena_LAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3,19,4
"Dansby Swanson_ATL",NA,3,NA,3,0,NA,7,14,NA,2,3,NA,0,5,0,7,0,0,NA,0,5,3,NA,NA,5,2,13,19,3,2,9,10,NA,0,NA,5,NA,7
"Yuli Gurriel_HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stephen Vogt_OAK",NA,NA,0,5,NA,5,2,NA,10,NA,10,0,NA,5,NA,5,0,NA,NA,4,NA,3,NA,0,3,NA,0,3,NA,NA,3,NA,19,0,NA,NA,3,NA
"Jefry Marte_LAA",NA,NA,9,NA,NA,NA,5,NA,NA,14,NA,0,2,NA,NA,0,NA,0,NA,NA,NA,0,2,0,10,NA,NA,2,21,NA,4,NA,5,2,NA,NA,NA,NA
"Jace Peterson_ATL",NA,NA,NA,NA,NA,NA,13,7,NA,NA,5,NA,2,NA,0,3,2,0,5,NA,NA,2,NA,NA,NA,8,8,NA,5,NA,NA,9,NA,NA,NA,11,NA,NA
"Yunel Escobar_LAA",NA,NA,5,4,NA,13,26,14,NA,15,0,0,5,0,2,2,10,8,NA,7,0,NA,2,0,0,5,14,2,12,NA,5,12,12,8,NA,28,5,20
"Matt Joyce_OAK",NA,NA,0,3,NA,21,4,NA,3,NA,7,NA,NA,2,NA,0,0,NA,NA,5,3,4,NA,0,21,0,4,NA,3,NA,9,12,18,0,NA,NA,0,2
"Ben Revere_LAA",NA,NA,NA,NA,NA,NA,NA,11,NA,NA,7,NA,NA,10,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,3,NA,5,NA,NA,NA,13,3,0,NA,8,18,19
"Josh Phegley_OAK",NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,0,NA,NA,NA,NA,11,7,NA,0,NA,NA,NA,NA,0,NA,NA,7,NA,NA,0,NA,NA,NA,NA,NA,NA
"Mark Canha_OAK",NA,NA,NA,NA,NA,NA,0,7,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Flowers_ATL",NA,3,NA,NA,3,NA,NA,8,NA,4,8,NA,10,NA,12,NA,NA,NA,NA,2,2,NA,NA,NA,18,NA,5,16,NA,3,NA,10,NA,4,NA,NA,NA,5
"Danny Santana_ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Tony Wolters_COL",NA,10,2,0,NA,NA,NA,14,0,5,NA,NA,3,NA,5,NA,NA,NA,NA,13,NA,4,13,16,5,NA,NA,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Eloy Jimenez_CHC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jed Lowrie_OAK",NA,NA,24,0,NA,4,15,2,0,NA,13,8,3,5,NA,2,2,NA,10,7,13,0,NA,3,10,9,8,17,0,NA,3,NA,10,9,NA,9,28,0
"Andrelton Simmons_LAA",NA,NA,7,12,NA,11,3,16,NA,2,7,3,2,0,NA,0,17,2,NA,3,23,6,7,3,11,0,3,3,5,NA,7,2,2,5,NA,2,2,0
"Derek Fisher_HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Danny Espinosa_LAA",NA,NA,18,9,NA,2,5,2,NA,20,2,21,0,3,0,3,3,12,NA,10,0,NA,2,5,13,NA,2,0,0,NA,0,NA,4,0,NA,2,NA,NA
"Micah Johnson_ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Hanigan_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
