"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"P","Jose De Leon",7900,"Hou@TB 06:10PM ET",0,"TB",NA,NA,NA,NA,NA
"OF","Mookie Betts",5300,"Bos@Bal 07:05PM ET",9,"Bos",9.53,8.8,9.76,8.8,0
"OF","Mike Trout",5200,"Tor@LAA 09:07PM ET",10.368,"LAA",10.61,9.7,11.95,9.8,14
"OF","Bryce Harper",5200,"Was@NYM 04:05PM ET",14.938,"Was",9.14,9.4,8.19,8.5,8
"1B","Anthony Rizzo",5100,"ChC@Cin 01:10PM ET",8.813,"ChC",6.82,9.4,9.36,9.5,29
"3B","Kris Bryant",5100,"ChC@Cin 01:10PM ET",8.75,"ChC",10.62,10.7,9.34,11.3,11
"3B","Nolan Arenado",5100,"SF@Col 08:10PM ET",10.471,"Col",10.57,9.5,10.55,9.8,11
"2B","Brian Dozier",5000,"Det@Min 02:10PM ET",7.8,"Min",8.89,9.7,9.96,10.4,10
"OF","Kyle Schwarber",5000,"ChC@Cin 01:10PM ET",8.375,"ChC",7.63,8.2,9.14,8.6,6
"1B","Miguel Cabrera",4900,"Det@Min 02:10PM ET",7.5,"Det",9.25,9.7,2.13,0,NA
"1B","Joey Votto",4900,"ChC@Cin 01:10PM ET",8.235,"Cin",6.4,6.8,8.15,7.4,32
"1B","Paul Goldschmidt",4900,"LAD@Ari 08:10PM ET",9.222,"Ari",9.14,8.1,9.93,9.2,11
"2B","Ian Kinsler",4800,"Det@Min 02:10PM ET",8,"Det",7.69,9.1,9.03,8.8,5
"2B","Jose Altuve",4800,"Hou@TB 06:10PM ET",8.118,"Hou",10.4,9.1,9.38,9.4,23
"OF","Ryan Braun",4800,"StL@Mil 07:10PM ET",11,"Mil",8.58,7.2,9.19,8.5,2
"2B/OF","Ben Zobrist",4800,"ChC@Cin 01:10PM ET",6.071,"ChC",NA,8.4,1.74,0,NA
"OF","Charlie Blackmon",4800,"SF@Col 08:10PM ET",8.118,"Col",7.28,7.8,10.03,8.2,26
"OF","JD Martinez",4700,"Det@Min 02:10PM ET",0,"Det",NA,0,NA,0,NA
"3B","Manny Machado",4700,"Bos@Bal 07:05PM ET",7,"Bal",9.92,8.7,9.04,8.7,3
"SS","Xander Bogaerts",4700,"Bos@Bal 07:05PM ET",6.462,"Bos",6.46,7.9,7.21,8.6,5
"SS","Carlos Correa",4700,"Hou@TB 06:10PM ET",5.286,"Hou",8.79,8,8.25,8.3,0
"1B","Matt Carpenter",4700,"StL@Mil 07:10PM ET",6,"StL",8.39,8.9,8.33,8.2,7
"OF","Justin Upton",4600,"Det@Min 02:10PM ET",6.929,"Det",7.34,8.9,8.28,8.6,21
"1B/OF","Hanley Ramirez",4600,"Bos@Bal 07:05PM ET",5.538,"Bos",7.87,8.9,8.29,8.5,0
"OF","Jackie Bradley",4600,"Bos@Bal 07:05PM ET",7.8,"Bos",5.9,0,1.81,2.2,21
"OF","Starling Marte",4600,"NYY@Pit 04:05PM ET",7.769,"Pit",NA,0,NA,0,NA
"2B","Jonathan Villar",4600,"StL@Mil 07:10PM ET",7,"Mil",7.7,8.8,9.57,8.5,5
"OF","Dexter Fowler",4600,"StL@Mil 07:10PM ET",5.882,"StL",7.63,7.7,8.11,7.4,NA
"OF/SS","Trea Turner",4600,"Was@NYM 04:05PM ET",5,"Was",7.77,8.1,8.01,8.6,12
"1B","Freddie Freeman",4600,"Atl@Phi 07:05PM ET",12.625,"Atl",10.3,8.9,8.64,9,16
"1B","Brandon Belt",4600,"SF@Col 08:10PM ET",9.188,"SF",8.93,10.7,10.17,8.5,14
"2B","DJ LeMahieu",4600,"SF@Col 08:10PM ET",6.176,"Col",8.41,8.2,8.89,7.6,15
"OF","Carlos Gonzalez",4600,"SF@Col 08:10PM ET",4.125,"Col",6.68,7.3,9.26,6.9,7
"OF","Hunter Pence",4600,"SF@Col 08:10PM ET",6.882,"SF",8.53,10,9.69,7.9,NA
"1B","Chris Davis",4500,"Bos@Bal 07:05PM ET",7.2,"Bal",8.86,7.7,8.74,8,7
"2B","Dustin Pedroia",4500,"Bos@Bal 07:05PM ET",5.25,"Bos",8.02,7.5,8.21,0,NA
"OF","George Springer",4500,"Hou@TB 06:10PM ET",9.588,"Hou",9.76,9.5,8.57,8.8,2
"OF","Nelson Cruz",4500,"Sea@Oak 04:05PM ET",6.944,"Sea",7.8,8,8.73,7.9,9
"3B","Josh Donaldson",4500,"Tor@LAA 09:07PM ET",8.333,"Tor",NA,0,NA,0,NA
"SS","Aledmys Diaz",4500,"StL@Mil 07:10PM ET",6.824,"StL",7.2,8.5,8.11,7.3,NA
"OF","Stephen Piscotty",4500,"StL@Mil 07:10PM ET",6.2,"StL",7.61,7.3,7.65,7.4,2
"OF","Yoenis Cespedes",4500,"Was@NYM 04:05PM ET",9.938,"NYM",8.23,0,1.83,0,NA
"SS","Corey Seager",4500,"LAD@Ari 08:10PM ET",9.222,"LAD",6.38,8.7,8.8,8,NA
"C","Buster Posey",4500,"SF@Col 08:10PM ET",7.3,"SF",9.59,10.1,9.87,7.2,3
"OF","Ian Desmond",4500,"SF@Col 08:10PM ET",0,"Col",NA,0,NA,0,NA
"OF","Giancarlo Stanton",4500,"Mia@SD 08:40PM ET",8.688,"Mia",8.39,9.1,10.05,7.9,30
"1B","Edwin Encarnacion",4400,"Cle@CWS 07:10PM ET",6.563,"Cle",9.37,7.8,9.23,7.8,19
"OF","Michael Brantley",4400,"Cle@CWS 07:10PM ET",8.857,"Cle",9.06,7.3,9,7.7,26
"OF","Mark Trumbo",4400,"Bos@Bal 07:05PM ET",6.467,"Bal",7.87,7.4,8.12,7.2,2
"C","Gary Sanchez",4400,"NYY@Pit 04:05PM ET",4.8,"NYY",NA,0,NA,0,NA
"2B","Rougned Odor",4400,"KC@Tex 08:05PM ET",6.176,"Tex",7.73,7.7,8.54,8.2,10
"OF","Lorenzo Cain",4400,"KC@Tex 08:05PM ET",8.688,"KC",6.8,7.7,8.98,7.9,3
"1B","Mark Reynolds",4400,"SF@Col 08:10PM ET",8.588,"Col",8.04,7.4,8.43,5.5,30
"2B","Joe Panik",4400,"SF@Col 08:10PM ET",6.813,"SF",7.39,8.4,6.97,6.7,19
"3B","Eduardo Nunez",4400,"SF@Col 08:10PM ET",7.5,"SF",7.55,9.5,9.34,7.1,3
"OF","Denard Span",4400,"SF@Col 08:10PM ET",4.308,"SF",7.95,10.1,9.11,6.3,0
"1B","Wil Myers",4400,"Mia@SD 08:40PM ET",9.611,"SD",8.17,8.2,8.53,7.9,13
"3B","Miguel Sano",4300,"Det@Min 02:10PM ET",10.063,"Min",8.16,9.2,9.14,9.3,5
"1B/OF","Carlos Santana",4300,"Cle@CWS 07:10PM ET",8.563,"Cle",9.23,8.2,9.4,8,16
"OF","Adam Jones",4300,"Bos@Bal 07:05PM ET",7.733,"Bal",7.69,7.6,8.04,7.3,10
"OF","Andrew Benintendi",4300,"Bos@Bal 07:05PM ET",8.294,"Bos",5.86,6.7,8.52,7.5,NA
