Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
RB,David Johnson (7975878),David Johnson,7975878,9200,Ari@Sea 04:25PM ET,Ari
RB,LeSean McCoy (7975797),LeSean McCoy,7975797,9000,Mia@Buf 01:00PM ET,Buf
WR,Mike Evans (7975916),Mike Evans,7975916,8500,TB@NO 04:25PM ET,TB
WR,Julio Jones (7975986),Julio Jones,7975986,8100,Atl@Car 01:00PM ET,Atl
WR,T.Y. Hilton (7975997),T.Y. Hilton,7975997,7800,Ind@Oak 04:05PM ET,Ind
QB,Tom Brady (7975741),Tom Brady,7975741,7700,NYJ@NE 01:00PM ET,NE
QB,Drew Brees (7975736),Drew Brees,7975736,7400,TB@NO 04:25PM ET,NO
RB,Melvin Gordon (7975842),Melvin Gordon,7975842,7400,SD@Cle 01:00PM ET,SD
QB,Matt Ryan (7975769),Matt Ryan,7975769,7200,Atl@Car 01:00PM ET,Atl
WR,A.J. Green (7976030),A.J. Green,7976030,7200,Cin@Hou 08:25PM ET,Cin
RB,Devonta Freeman (7975862),Devonta Freeman,7975862,7100,Atl@Car 01:00PM ET,Atl
RB,DeMarco Murray (7975823),DeMarco Murray,7975823,7000,Ten@Jax 01:00PM ET,Ten
WR,Jordy Nelson (7975947),Jordy Nelson,7975947,7000,Min@GB 01:00PM ET,GB
QB,Andrew Luck (7975774),Andrew Luck,7975774,7000,Ind@Oak 04:05PM ET,Ind
WR,Julian Edelman (7975926),Julian Edelman,7975926,6900,NYJ@NE 01:00PM ET,NE
QB,Philip Rivers (7975759),Philip Rivers,7975759,6900,SD@Cle 01:00PM ET,SD
WR,Brandin Cooks (7975918),Brandin Cooks,7975918,6800,TB@NO 04:25PM ET,NO
QB,Kirk Cousins (7975764),Kirk Cousins,7975764,6800,Was@Chi 01:00PM ET,Was
QB,Derek Carr (7975776),Derek Carr,7975776,6800,Ind@Oak 04:05PM ET,Oak
QB,Aaron Rodgers (7975752),Aaron Rodgers,7975752,6700,Min@GB 01:00PM ET,GB
QB,Cam Newton (7975772),Cam Newton,7975772,6600,Atl@Car 01:00PM ET,Car
QB,Jameis Winston (7975740),Jameis Winston,7975740,6500,TB@NO 04:25PM ET,TB
WR,Amari Cooper (7976002),Amari Cooper,7976002,6500,Ind@Oak 04:05PM ET,Oak
RB,Todd Gurley (7975889),Todd Gurley,7975889,6500,SF@LA 04:25PM ET,LA
RB,Jordan Howard (7975856),Jordan Howard,7975856,6300,Was@Chi 01:00PM ET,Chi
WR,Alshon Jeffery (7975976),Alshon Jeffery,7975976,6300,Was@Chi 01:00PM ET,Chi
QB,Russell Wilson (7975780),Russell Wilson,7975780,6300,Ari@Sea 04:25PM ET,Sea
WR,Taylor Gabriel (7975995),Taylor Gabriel,7975995,6200,Atl@Car 01:00PM ET,Atl
RB,Latavius Murray (7975869),Latavius Murray,7975869,6200,Ind@Oak 04:05PM ET,Oak
WR,Michael Crabtree (7975996),Michael Crabtree,7975996,6100,Ind@Oak 04:05PM ET,Oak
WR,Larry Fitzgerald (7976006),Larry Fitzgerald,7976006,6100,Ari@Sea 04:25PM ET,Ari
WR,Michael Thomas (7975920),Michael Thomas,7975920,6000,TB@NO 04:25PM ET,NO
RB,Bilal Powell (7975815),Bilal Powell,7975815,6000,NYJ@NE 01:00PM ET,NYJ
QB,Marcus Mariota (7975750),Marcus Mariota,7975750,6000,Ten@Jax 01:00PM ET,Ten
WR,Dontrelle Inman (7975960),Dontrelle Inman,7975960,6000,SD@Cle 01:00PM ET,SD
WR,Doug Baldwin (7976008),Doug Baldwin,7976008,6000,Ari@Sea 04:25PM ET,Sea
RB,Ty Montgomery (7975838),Ty Montgomery,7975838,5900,Min@GB 01:00PM ET,GB
WR,Stefon Diggs (7975954),Stefon Diggs,7975954,5900,Min@GB 01:00PM ET,Min
WR,Tyrell Williams (7975966),Tyrell Williams,7975966,5800,SD@Cle 01:00PM ET,SD
RB,Carlos Hyde (7975886),Carlos Hyde,7975886,5800,SF@LA 04:25PM ET,SF
QB,Colin Kaepernick (7975783),Colin Kaepernick,7975783,5700,SF@LA 04:25PM ET,SF
WR,Kenny Britt (7976017),Kenny Britt,7976017,5700,SF@LA 04:25PM ET,LA
RB,Lamar Miller (7975893),Lamar Miller,7975893,5700,Cin@Hou 08:25PM ET,Hou
RB,Jay Ajayi (7975799),Jay Ajayi,7975799,5600,Mia@Buf 01:00PM ET,Mia
RB,LeGarrette Blount (7975816),LeGarrette Blount,7975816,5600,NYJ@NE 01:00PM ET,NE
WR,Jamison Crowder (7975980),Jamison Crowder,7975980,5600,Was@Chi 01:00PM ET,Was
WR,Jarvis Landry (7975904),Jarvis Landry,7975904,5500,Mia@Buf 01:00PM ET,Mia
WR,Willie Snead (7975915),Willie Snead,7975915,5500,TB@NO 04:25PM ET,NO
WR,DeSean Jackson (7975972),DeSean Jackson,7975972,5500,Was@Chi 01:00PM ET,Was
TE,Jordan Reed (7976084),Jordan Reed,7976084,5500,Was@Chi 01:00PM ET,Was
WR,Kelvin Benjamin (7975992),Kelvin Benjamin,7975992,5500,Atl@Car 01:00PM ET,Car
QB,Carson Palmer (7975778),Carson Palmer,7975778,5500,Ari@Sea 04:25PM ET,Ari
