"Mike Trout_LAA","Corey Seager_LAD","Albert Pujols_LAA","Khris Davis_Oak","Kole Calhoun_LAA","Hunter Pence_SF","Cameron Maybin_LAA","Buster Posey_SF","CJ Cron_LAA","Rajai Davis_Oak","Brandon Belt_SF","Eduardo Nunez_SF","Luis Valbuena_LAA","Adrian Gonzalez_LAD","Logan Forsythe_LAD","Denard Span_SF","Joc Pederson_LAD","Yasiel Puig_LAD","Jefry Marte_LAA","Trevor Plouffe_Oak","Joe Panik_SF","Justin Turner_LAD","Ryon Healy_Oak","Marcus Semien_Oak","Brandon Crawford_SF","Yunel Escobar_LAA","Ben Revere_LAA","Yasmani Grandal_LAD","Chase Utley_LAD","Franklin Gutierrez_LAD","Stephen Vogt_Oak","Andrelton Simmons_LAA","Danny Espinosa_LAA","Nick Hundley_SF","Cody Bellinger_LAD","Chris Taylor_LAD","Christian Arroyo_SF","Jarrett Parker_SF","Josh Phegley_Oak","Mark Canha_Oak","Trayce Thompson_LAD","Mac Williamson_SF","Yonder Alonso_Oak","Jed Lowrie_Oak","Austin Barnes_LAD","Kelby Tomlinson_SF","Andrew Toles_LAD","Jake Smolinski_Oak","Rob Segedin_LAD","Andre Ethier_LAD","Bruce Maxwell_Oak","Scott Van Slyke_LAD","Kike Hernandez_LAD","Gorkys Hernandez_SF","Martin Maldonado_LAA","Juan Graterol_LAA","Matt Joyce_Oak","Conor Gillaspie_SF","Carlos Perez_LAA","Adam Rosales_Oak","Drew Stubbs_SF","Chad Pinder_Oak","Cliff Pennington_LAA","Jaff Decker_Oak","Matt Olson_Oak","Tim Federowicz_SF","Aaron Hill_SF","Chris Marrero_SF","Brett Eibner_LAD"
18,0,17,0,17,0,14,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,17,5,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,2,0,0,0,0,0,0
0,17,0,0,0,0,0,0,0,0,0,0,0,15,10,0,10,17,0,0,0,15,0,0,0,0,0,15,6,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,17,0,16,0,14,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,16,4,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,2,0,0,0,0,0,0
0,0,0,16,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,15,0,0,14,8,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,3,0,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,10,0,3,0,6,0,0,0,0,0
17,0,16,0,17,0,13,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,16,5,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,18,0,12,0,0,16,17,0,0,0,10,0,0,0,0,17,0,0,0,16,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,3,7,0
14,0,14,0,13,0,14,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,14,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,12,0,13,0,0,12,13,0,0,0,6,0,0,0,0,12,0,0,0,13,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0
10,0,9,0,9,0,6,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,4,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,10,0,0,10,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,3,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,2,0,2,0,0,0,0,0
