"Bryce Harper_WAS","Ryan Zimmerman_WAS","Daniel Murphy_WAS","Trea Turner_WAS","Anthony Rendon_WAS","Yonder Alonso_OAK","Chris Taylor_LAD","Cody Bellinger_LAD","Josh Donaldson_TOR","Jose Bautista_TOR","Kendrys Morales_TOR","Justin Smoak_TOR","Corey Seager_LAD","Yasiel Puig_LAD","Jed Lowrie_OAK","Ryon Healy_OAK","Adam Eaton_WAS","Russell Martin_TOR","Chase Utley_LAD","Yasmani Grandal_LAD","Michael Taylor_WAS","Joc Pederson_LAD","Devon Travis_TOR","Jayson Werth_WAS","Justin Turner_LAD","Logan Forsythe_LAD","Troy Tulowitzki_TOR","Khris Davis_OAK","Kevin Pillar_TOR","Kike Hernandez_LAD","Steve Pearce_TOR","Marcus Semien_OAK","Franklin Gutierrez_LAD","Adam Lind_WAS","Brian Goodwin_WAS","Adrian Gonzalez_LAD","Matt Wieters_WAS","Austin Barnes_LAD","Rajai Davis_OAK","Matt Joyce_OAK","Trayce Thompson_LAD","Ezequiel Carrera_TOR","Andrew Toles_LAD","Rob Segedin_LAD","Josh Phegley_OAK","Dalton Pompey_TOR","Chad Pinder_OAK","Rowdy Tellez_TOR","Andre Ethier_LAD","Ryan Goins_TOR","Mark Canha_OAK","Stephen Drew_WAS","Scott Van Slyke_LAD","Wilmer Difo_WAS","Jarrod Saltalamacchia_TOR","Trevor Plouffe_OAK","Jake Smolinski_OAK","Ryan LaMarre_OAK","Stephen Vogt_OAK","Darrell Ceciliani_TOR","Bruce Maxwell_OAK","Chris Heisey_WAS","Chris Coghlan_TOR","Anthony Alford_TOR","Luke Maile_TOR","Dwight Smith_TOR","Mike Freeman_LAD","Rafael Bautista_WAS","Adam Rosales_OAK","Jose Lobaton_WAS","Darwin Barney_TOR","Jaff Decker_OAK","Mike Ohlman_TOR","Matt Olson_OAK","Grant Green_WAS","Brett Eibner_LAD"
42,37,38,31,38,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,25,0,0,36,0,0,0,0,0,0,0,0,0,7,2,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0
37,43,39,35,39,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,30,0,0,37,0,0,0,0,0,0,0,0,0,5,6,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0
38,39,44,34,39,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,27,0,0,39,0,0,0,0,0,0,0,0,0,9,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,14,0,0,0,0,0,0
31,35,34,38,34,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,29,0,0,34,0,0,0,0,0,0,0,0,0,7,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0
38,39,39,34,44,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,30,0,0,37,0,0,0,0,0,0,0,0,0,9,5,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,13,0,0,0,0,0,0
0,0,0,0,0,39,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,6,0,0,0,0,0,0,22,35,0,0,0,0,7,0,13,0,0,0,10,0,0,0,0,32,0,0,31,0,5,0,0,0,0,0,0,0,26,0,0,11,0,0,0,0
0,0,0,0,0,0,30,27,0,0,0,0,26,25,0,0,0,0,17,21,0,11,0,0,14,7,0,0,0,0,0,0,5,0,0,15,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,27,35,0,0,0,0,33,29,0,0,0,0,25,28,0,12,0,0,18,9,0,0,0,0,0,0,4,0,0,21,0,8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,16,16,16,13,0,0,0,0,0,11,0,0,0,0,14,0,0,0,16,0,16,0,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,5,0,0,0,0,0
0,0,0,0,0,0,0,0,16,52,48,45,0,0,0,0,0,31,0,0,0,0,42,0,0,0,23,0,49,0,21,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,32,0,0,0,0,4,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,27,0,2,0,0,0
