"Name","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection"
"DST","Seahawks  (7452345)","Seahawks ",7452345,4100,"SF@Sea 04:05PM ET","Sea","Seahawks","","SF",11.65
"DST","Panthers  (7452341)","Panthers ",7452341,3800,"Min@Car 01:00PM ET","Car","Panthers","","Min",11.53
"DST","Cardinals  (7452327)","Cardinals ",7452327,3600,"Ari@Buf 01:00PM ET","Ari","Cardinals","","Buf",9.14
"DST","Broncos  (7452339)","Broncos ",7452339,3500,"Den@Cin 01:00PM ET","Den","Broncos","","Cin",8.41
"DST","Giants  (7452330)","Giants ",7452330,3300,"Was@NYG 01:00PM ET","NYG","Giants","","Was",8.16
"DST","Chiefs  (7452346)","Chiefs ",7452346,3200,"NYJ@KC 04:25PM ET","KC","Chiefs","","NYJ",8.99
"DST","Vikings  (7452340)","Vikings ",7452340,3100,"Min@Car 01:00PM ET","Min","Vikings","","Car",6.6
"DST","Buccaneers  (7452343)","Buccaneers ",7452343,3100,"LA@TB 04:05PM ET","TB","Buccaneers","","LA",8.42
"DST","Dolphins  (7452333)","Dolphins ",7452333,3000,"Cle@Mia 01:00PM ET","Mia","Dolphins","","Cle",11.42
"DST","Packers  (7452337)","Packers ",7452337,3000,"Det@GB 01:00PM ET","GB","Packers","","Det",9.41
"DST","Rams  (7452342)","Rams ",7452342,3000,"LA@TB 04:05PM ET","LA","Rams","","TB",6.19
"DST","Jets  (7452347)","Jets ",7452347,2900,"NYJ@KC 04:25PM ET","NYJ","Jets","","KC",5.8
"DST","Steelers  (7452351)","Steelers ",7452351,2900,"Pit@Phi 04:25PM ET","Pit","Steelers","","Phi",7.03
"DST","Bengals  (7452338)","Bengals ",7452338,2800,"Den@Cin 01:00PM ET","Cin","Bengals","","Den",8.14
"DST","Eagles  (7452350)","Eagles ",7452350,2800,"Pit@Phi 04:25PM ET","Phi","Eagles","","Pit",8.77
"DST","Bills  (7452326)","Bills ",7452326,2700,"Ari@Buf 01:00PM ET","Buf","Bills","","Ari",6.06
"DST","Bears  (7452352)","Bears ",7452352,2700,"Chi@Dal 08:30PM ET","Chi","Bears","","Dal",5.39
"DST","Raiders  (7452329)","Raiders ",7452329,2600,"Oak@Ten 01:00PM ET","Oak","Raiders","","Ten",6.16
"DST","Jaguars  (7452334)","Jaguars ",7452334,2600,"Bal@Jax 01:00PM ET","Jax","Jaguars","","Bal",7.13
"DST","Titans  (7452328)","Titans ",7452328,2500,"Oak@Ten 01:00PM ET","Ten","Titans","","Oak",8.14
"DST","Ravens  (7452335)","Ravens ",7452335,2500,"Bal@Jax 01:00PM ET","Bal","Ravens","","Jax",7.38
"DST","Cowboys  (7452353)","Cowboys ",7452353,2500,"Chi@Dal 08:30PM ET","Dal","Cowboys","","Chi",8.59
"DST","Redskins  (7452331)","Redskins ",7452331,2400,"Was@NYG 01:00PM ET","Was","Redskins","","NYG",5.25
"DST","Lions  (7452336)","Lions ",7452336,2400,"Det@GB 01:00PM ET","Det","Lions","","GB",5.35
"DST","49ers  (7452344)","49ers ",7452344,2400,"SF@Sea 04:05PM ET","SF","49ers","","Sea",5.59
"DST","Colts  (7452348)","Colts ",7452348,2400,"SD@Ind 04:25PM ET","Ind","Colts","","SD",7.32
"DST","Browns  (7452332)","Browns ",7452332,2300,"Cle@Mia 01:00PM ET","Cle","Browns","","Mia",6.42
"DST","Chargers  (7452349)","Chargers ",7452349,2300,"SD@Ind 04:25PM ET","SD","Chargers","","Ind",6.08
