"Name","Position","Name...ID","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn"
"A.J. Green","WR","A.J. Green (7451765)",7451765,8100,"Den@Cin 01:00PM ET","Cin","A.J.","Green","Den",18.56,18
"Aaron Burbridge","WR","Aaron Burbridge (7451806)",7451806,3000,"SF@Sea 04:05PM ET","SF","Aaron","Burbridge","Sea",0,1.3
"Aaron Ripkowski","RB","Aaron Ripkowski (7451622)",7451622,3000,"Det@GB 01:00PM ET","GB","Aaron","Ripkowski","Det",0,0
"Aaron Rodgers","QB","Aaron Rodgers (7451525)",7451525,7700,"Det@GB 01:00PM ET","GB","Aaron","Rodgers","Det",22.4,22.8
"Adam Humphries","WR","Adam Humphries (7451792)",7451792,3000,"LA@TB 04:05PM ET","TB","Adam","Humphries","LA",8.95,3.3
"Adam Thielen","WR","Adam Thielen (7451783)",7451783,3200,"Min@Car 01:00PM ET","Min","Adam","Thielen","Car",9.02,6
"Adrian Peterson","RB","Adrian Peterson (7451631)",7451631,6700,"Min@Car 01:00PM ET","Min","Adrian","Peterson","Car",0,0
"AJ McCarron","QB","AJ McCarron (7451531)",7451531,5000,"Den@Cin 01:00PM ET","Cin","AJ","McCarron","Den",0,0
"Albert Wilson","WR","Albert Wilson (7451811)",7451811,3000,"NYJ@KC 04:25PM ET","KC","Albert","Wilson","NYJ",5.36,5.1
"Alex Collins","RB","Alex Collins (7451655)",7451655,3000,"SF@Sea 04:05PM ET","Sea","Alex","Collins","SF",1.83,5
"Alex Erickson","WR","Alex Erickson (7451770)",7451770,3000,"Den@Cin 01:00PM ET","Cin","Alex","Erickson","Den",0,0
"Alex Smith","QB","Alex Smith (7451552)",7451552,5800,"NYJ@KC 04:25PM ET","KC","Alex","Smith","NYJ",16.38,15.5
"Alfred Morris","RB","Alfred Morris (7451682)",7451682,3700,"Chi@Dal 08:30PM ET","Dal","Alfred","Morris","Chi",5.96,4.1
"Allen Hurns","WR","Allen Hurns (7451744)",7451744,5200,"Bal@Jax 01:00PM ET","Jax","Allen","Hurns","Bal",12.82,12.4
"Allen Robinson","WR","Allen Robinson (7451748)",7451748,7500,"Bal@Jax 01:00PM ET","Jax","Allen","Robinson","Bal",19.46,17.1
"Alshon Jeffery","WR","Alshon Jeffery (7451844)",7451844,8000,"Chi@Dal 08:30PM ET","Chi","Alshon","Jeffery","Dal",15.71,19.3
"Amari Cooper","WR","Amari Cooper (7451710)",7451710,7700,"Oak@Ten 01:00PM ET","Oak","Amari","Cooper","Ten",17.5,16.8
"Ameer Abdullah","RB","Ameer Abdullah (7451621)",7451621,4600,"Det@GB 01:00PM ET","Det","Ameer","Abdullah","GB",0,0
"Andre Ellington","RB","Andre Ellington (7451576)",7451576,3600,"Ari@Buf 01:00PM ET","Ari","Andre","Ellington","Buf",0,3.9
"Andre Holmes","WR","Andre Holmes (7451709)",7451709,3000,"Oak@Ten 01:00PM ET","Oak","Andre","Holmes","Ten",4.08,2.4
"Andre Johnson","WR","Andre Johnson (7451703)",7451703,3400,"Oak@Ten 01:00PM ET","Ten","Andre","Johnson","Oak",5.64,2
"Andre Roberts","WR","Andre Roberts (7451752)",7451752,3000,"Det@GB 01:00PM ET","Det","Andre","Roberts","GB",2.51,1.1
"Andre Williams","RB","Andre Williams (7451669)",7451669,3000,"SD@Ind 04:25PM ET","SD","Andre","Williams","Ind",0,2.2
"Andrew Hawkins","WR","Andrew Hawkins (7451726)",7451726,3000,"Cle@Mia 01:00PM ET","Cle","Andrew","Hawkins","Mia",6.21,9.2
"Andrew Luck","QB","Andrew Luck (7451561)",7451561,7600,"SD@Ind 04:25PM ET","Ind","Andrew","Luck","SD",23.27,21.9
"Andrew Quarless","TE","Andrew Quarless (7451883)",7451883,2500,"Det@GB 01:00PM ET","Det","Andrew","Quarless","GB",0,0
"Andy Dalton","QB","Andy Dalton (7451529)",7451529,5700,"Den@Cin 01:00PM ET","Cin","Andy","Dalton","Den",18.06,16.2
"Andy Janovich","RB","Andy Janovich (7451629)",7451629,3000,"Den@Cin 01:00PM ET","Den","Andy","Janovich","Cin",0,0
