Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Sck,Int,FF,FR,Fantasy Points
1,16389,Odell Beckham Jr,WR,15,NYG,WAS,0,0,0,0,0,12,143,3,0,0,0,0,46.30
2,11270,Dez Bryant,WR,15,DAL,PHI,0,0,0,0,0,6,114,3,0,0,0,0,38.40
3,16112,Jeremy Hill,RB,15,CIN,CLE,0,0,0,148,2,1,4,0,0,0,0,0,31.20
4,7242,Drew Brees,QB,15,NO,CHI,375,3,0,2,0,0,0,0,0,0,0,0,30.20
5,14967,Le'Veon Bell,RB,15,PIT,ATL,0,0,0,47,2,5,72,0,0,0,0,0,28.90
6,11197,Demaryius Thomas,WR,15,DEN,SD,0,0,0,0,0,6,123,1,0,0,0,0,27.30
7,6211,Harry Douglas,WR,15,ATL,PIT,0,0,0,0,0,10,131,0,0,0,0,0,26.10
8,11056,Antonio Brown,WR,15,PIT,ATL,0,0,0,0,0,10,123,0,0,0,0,0,25.30
9,732,Matt Ryan,QB,15,ATL,PIT,310,2,1,27,0,0,0,0,0,0,0,0,25.10
10,8529,Mike Wallace,WR,15,MIA,NE,0,0,0,0,0,5,104,1,0,0,0,0,24.40
11,1658,Greg Olsen,TE,15,CAR,TB,0,0,0,0,0,10,110,0,0,0,0,0,24
12,8355,Julian Edelman,WR,15,NE,MIA,0,0,0,6,0,7,88,1,0,0,0,0,22.40
13,4932,Eli Manning,QB,15,NYG,WAS,250,3,0,0,0,0,0,0,0,0,0,0,22
14,36,Baltimore Ravens,DST,15,BAL,JAX,0,0,0,0,0,0,0,0,8,1,0,0,22
15,13255,Matt Asiata,RB,15,MIN,DET,0,0,0,36,1,7,50,0,0,0,0,0,21.60
16,6739,Alex Smith,QB,15,KC,OAK,297,2,0,17,0,0,0,0,0,0,0,0,21.58
17,3867,Tony Romo,QB,15,DAL,PHI,265,3,0,-1,0,0,0,0,0,0,0,0,21.50
18,13124,DeMarco Murray,RB,15,DAL,PHI,0,0,0,81,2,1,3,0,0,0,0,0,21.40
