"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
1,1,12100,39.1322314049587,47.35,"Stephen Strasburg","WAS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,7,0,0,0,3,1,0
2,2,5300,79.7169811320755,42.25,"Brian Johnson","BOS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,9,1,1,0,5,0,0
3,3,4700,83.7234042553192,39.35,"Chase Anderson","MIL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,7,0,0,0,1,3,0
4,4,4400,84.6590909090909,37.25,"Buck Farmer","DET",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,6.33333333333333,0,0,0,3,2,0
5,5,5700,51.4912280701754,29.35,"Adam Wainwright","STL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,7,0,0,0,3,1,0
6,1,4700,61.7021276595745,29,"Cameron Maybin","LAA",NA,"OF",1,3,0,0,2,4,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2,4200,69.0476190476191,29,"Zack Cozart","CIN",NA,"SS",2,1,1,2,0,4,2,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,6,9500,30,28.5,"Marco Estrada","TOR",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,6,0,0,1,4,1,0
9,7,11000,25.3636363636364,27.9,"Dallas Keuchel","HOU",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,6,0,0,1,4,2,0
10,8,7300,37.1232876712329,27.1,"Brandon McCarthy","LAD",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,0,0,0,2,1,1
11,3,3200,84.375,27,"Andrew McCutchen","PIT",NA,"OF",6,1,1,3,0,3,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,4,3800,71.0526315789474,27,"Victor Martinez","DET",NA,"1B",4,1,1,1,0,4,1,0,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,9,7200,37.2916666666667,26.85,"C.C. Sabathia","NYY",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,6.33333333333333,0,0,2,6,3,0
14,5,3000,86.6666666666667,26,"Nick Hundley","SF",NA,"C",7,2,1,3,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,6,3800,63.1578947368421,24,"Thomas Pham","STL",NA,"OF",2,1,1,2,0,4,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,7,3300,72.7272727272727,24,"Travis d'Arnaud","NYM",NA,"C",8,1,1,2,0,5,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,8,5000,48,24,"Jose Altuve","HOU",NA,"2B",2,2,0,1,1,4,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,9,3800,60.5263157894737,23,"Brandon Belt","SF",NA,"1B/OF",4,2,1,1,1,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,10,3700,59.4594594594595,22,"Mike Moustakas","KC",NA,"3B",2,1,1,1,0,4,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,10,6200,35.241935483871,21.85,"Ty Blach","SF",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,7.66666666666667,0,0,2,6,3,0
21,11,4500,46.6666666666667,21,"Francisco Lindor","CLE",NA,"SS",2,1,1,1,0,4,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,12,4200,50,21,"George Springer","HOU",NA,"OF",1,2,1,2,0,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,11,7100,29.5070422535211,20.95,"J.C. Ramirez","LAA",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,7,0,0,0,7,1,0
24,12,6700,31.1940298507463,20.9,"Derek Holland","CHW",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,6,0,0,1,7,4,0
