"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"36","Chris Archer","Amir Garrett","Stuart Turner","Ryan Zimmerman","Brandon Drury","Nolan Arenado","Trea Turner","AJ Pollock","David Peralta","Jabari Blash"
"37","Chris Archer","Jesse Chavez","Salvador Perez","Ryan Zimmerman","DJ LeMahieu","Jake Lamb","Corey Seager","Jayson Werth","Yasiel Puig","Andrew Toles"
"38","Chris Archer","Amir Garrett","Geovany Soto","Ryan Zimmerman","Ryan Goins","Anthony Rendon","Trea Turner","Carlos Gonzalez","Kyle Schwarber","Andrew Toles"
"39","Chris Archer","Amir Garrett","Miguel Montero","Ryan Zimmerman","Danny Espinosa","Mike Moustakas","Trea Turner","Jayson Werth","Billy Hamilton","Yasiel Puig"
"40","Chris Archer","Amir Garrett","Geovany Soto","Anthony Rizzo","DJ LeMahieu","Mike Moustakas","Trea Turner","Kyle Schwarber","Yasiel Puig","Jason Heyward"
"41","Jason Vargas","Jesse Chavez","Jose Lobaton","Ryan Zimmerman","Chase Utley","Jake Lamb","Trea Turner","Jayson Werth","Kyle Schwarber","David Peralta"
"42","Chris Archer","Amir Garrett","Chris Gimenez","Mark Reynolds","Josh Harrison","Jake Lamb","Trea Turner","AJ Pollock","David Peralta","Jason Heyward"
"43","Jesse Chavez","Amir Garrett","Salvador Perez","Mark Reynolds","DJ LeMahieu","Nolan Arenado","Trea Turner","Carlos Gonzalez","Kyle Schwarber","Jabari Blash"
"44","Chris Archer","Jesse Chavez","Yasmani Grandal","Adrian Gonzalez","Brian Dozier","Mike Moustakas","Trea Turner","Billy Hamilton","David Peralta","Yasiel Puig"
"45","Jesse Chavez","Amir Garrett","Miguel Montero","Anthony Rizzo","Tyler Saladino","Nolan Arenado","Trea Turner","Kyle Schwarber","AJ Pollock","David Peralta"
"46","Chris Archer","Amir Garrett","Yasmani Grandal","Ryan Zimmerman","Yangervis Solarte","Chris Coghlan","Trea Turner","Michael Taylor","Billy Hamilton","David Peralta"
"47","Chris Archer","Amir Garrett","Geovany Soto","Ryan Zimmerman","Josh Harrison","Anthony Rendon","Jordy Mercer","Jayson Werth","AJ Pollock","David Peralta"
"48","Jesse Chavez","Jhoulys Chacin","Chris Gimenez","Ryan Zimmerman","Tyler Saladino","Nolan Arenado","Trea Turner","Carlos Gonzalez","Jayson Werth","Kyle Schwarber"
"49","Jesse Chavez","Amir Garrett","Francisco Cervelli","Ryan Zimmerman","Josh Harrison","Jake Lamb","Trea Turner","Charlie Blackmon","Jayson Werth","AJ Pollock"
"50","Chris Archer","Jhoulys Chacin","Yasmani Grandal","Ryan Zimmerman","DJ LeMahieu","Justin Turner","Trea Turner","Jayson Werth","Billy Hamilton","Ezequiel Carrera"
