"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"36","Chris Archer","Jesse Chavez","Yasmani Grandal","Mark Reynolds","Brandon Drury","Jake Lamb","Trea Turner","AJ Pollock","David Peralta","Jason Heyward"
"37","Jason Vargas","Amir Garrett","Chris Gimenez","Ryan Zimmerman","Josh Harrison","Justin Turner","Trea Turner","Adam Eaton","Jayson Werth","David Peralta"
"38","Chris Archer","Jesse Chavez","Jeff Mathis","Ryan Zimmerman","DJ LeMahieu","Jake Lamb","Jorge Polanco","Kyle Schwarber","AJ Pollock","David Peralta"
"39","Jason Vargas","Amir Garrett","Jose Lobaton","Ryan Zimmerman","DJ LeMahieu","Anthony Rendon","Trea Turner","AJ Pollock","Yasiel Puig","Jabari Blash"
"40","Jesse Chavez","Amir Garrett","Buster Posey","Ryan Zimmerman","Yangervis Solarte","Mike Moustakas","Trea Turner","Adam Eaton","Jayson Werth","Billy Hamilton"
"41","Chris Archer","Amir Garrett","Stuart Turner","Ryan Zimmerman","Jose Peraza","Justin Turner","Trea Turner","Billy Hamilton","Scott Schebler","David Peralta"
"42","Jesse Chavez","Amir Garrett","Francisco Cervelli","Ryan Zimmerman","DJ LeMahieu","Justin Turner","Trea Turner","Adam Eaton","Michael Taylor","AJ Pollock"
"43","Chris Archer","Jhoulys Chacin","Stuart Turner","Ryan Zimmerman","Daniel Murphy","Mike Moustakas","Trea Turner","Jayson Werth","Kyle Schwarber","Andrew Toles"
"44","Jason Vargas","Jesse Chavez","Buster Posey","Ryan Zimmerman","Chase Utley","Anthony Rendon","Trea Turner","Jayson Werth","David Peralta","Jason Heyward"
"45","Chris Archer","Amir Garrett","Jose Lobaton","Ryan Zimmerman","Josh Harrison","Anthony Rendon","Jordy Mercer","Jayson Werth","David Peralta","Kevin Pillar"
"46","Jesse Chavez","Amir Garrett","Jeff Mathis","Anthony Rizzo","Daniel Murphy","Jake Lamb","Trea Turner","Jayson Werth","AJ Pollock","David Peralta"
"47","Amir Garrett","Jhoulys Chacin","Jose Lobaton","Ryan Zimmerman","Brian Dozier","Anthony Rendon","Trea Turner","Carlos Gonzalez","Kyle Schwarber","Andrew Toles"
"48","Chris Archer","Amir Garrett","Jose Lobaton","Mark Reynolds","Josh Harrison","Chris Coghlan","Trea Turner","Adam Eaton","Jayson Werth","Andrew Toles"
"49","Jesse Chavez","Amir Garrett","Jose Lobaton","Ryan Zimmerman","Brad Miller","Jake Lamb","Trea Turner","Adam Eaton","Kyle Schwarber","Jason Heyward"
"50","Chris Archer","Amir Garrett","Tony Wolters","Mark Reynolds","DJ LeMahieu","Nolan Arenado","Corey Seager","Jayson Werth","Andrew Toles","Jabari Blash"
