"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Actual"
"DST","Bills  (7810334)","Bills ",7810334,3800,"Jax@Buf 01:00PM ET","BUF","Bills",NA,"Jax",10.24,9.8,2
"DST","Broncos  (7810352)","Broncos ",7810352,3700,"KC@Den 08:30PM ET","DEN","Broncos",NA,"KC",7.56,7.4,7
"DST","Giants  (7810341)","Giants ",7810341,3600,"NYG@Cle 01:00PM ET","NYG","Giants",NA,"Cle",10.75,9.3,23
"DST","Seahawks  (7810348)","Seahawks ",7810348,3500,"Sea@TB 04:05PM ET","SEA","Seahawks",NA,"TB",10.18,8.2,7
"DST","Patriots  (7810354)","Patriots ",7810354,3400,"NE@NYJ 04:25PM ET","NE","Patriots",NA,"NYJ",9.66,10.4,8
"DST","Dolphins  (7810344)","Dolphins ",7810344,3300,"SF@Mia 01:00PM ET","MIA","Dolphins",NA,"SF",7.26,9.4,8
"DST","Chiefs  (7810353)","Chiefs ",7810353,3200,"KC@Den 08:30PM ET","KC","Chiefs",NA,"Den",7.12,8.6,15
"DST","Ravens  (7810337)","Ravens ",7810337,3100,"Cin@Bal 01:00PM ET","BAL","Ravens",NA,"Cin",7.26,8.6,10
"DST","Raiders  (7810350)","Raiders ",7810350,3000,"Car@Oak 04:25PM ET","OAK","Raiders",NA,"Car",5.62,7.5,13
"DST","Falcons  (7810338)","Falcons ",7810338,2900,"Ari@Atl 01:00PM ET","ATL","Falcons",NA,"Ari",6.12,8.4,5
"DST","Titans  (7810333)","Titans ",7810333,2800,"Ten@Chi 01:00PM ET","TEN","Titans",NA,"Chi",10.06,7.2,4
"DST","Bengals  (7810336)","Bengals ",7810336,2800,"Cin@Bal 01:00PM ET","CIN","Bengals",NA,"Bal",7.38,7.2,7
"DST","Saints  (7810343)","Saints ",7810343,2800,"LA@NO 01:00PM ET","NO","Saints",NA,"LA",6.4,10.4,9
"DST","Bears  (7810332)","Bears ",7810332,2700,"Ten@Chi 01:00PM ET","CHI","Bears",NA,"Ten",5.39,5.2,0
"DST","Cardinals  (7810339)","Cardinals ",7810339,2700,"Ari@Atl 01:00PM ET","ARI","Cardinals",NA,"Atl",7.06,7.6,1
"DST","Chargers  (7810347)","Chargers ",7810347,2700,"SD@Hou 01:00PM ET","SD","Chargers",NA,"Hou",6.74,8,13
"DST","Texans  (7810346)","Texans ",7810346,2600,"SD@Hou 01:00PM ET","HOU","Texans",NA,"SD",8.4,6.1,5
"DST","Panthers  (7810351)","Panthers ",7810351,2600,"Car@Oak 04:25PM ET","CAR","Panthers",NA,"Oak",7,6,5
"DST","Jets  (7810355)","Jets ",7810355,2500,"NE@NYJ 04:25PM ET","NYJ","Jets",NA,"NE",4.46,6.6,2
"DST","Jaguars  (7810335)","Jaguars ",7810335,2400,"Jax@Buf 01:00PM ET","JAX","Jaguars",NA,"Buf",4.96,5.5,8
"DST","Rams  (7810342)","Rams ",7810342,2400,"LA@NO 01:00PM ET","LA","Rams",NA,"NO",4.32,7.6,0
"DST","49ers  (7810345)","49ers ",7810345,2400,"SF@Mia 01:00PM ET","SF","49ers",NA,"Mia",5.28,5,1
"DST","Buccaneers  (7810349)","Buccaneers ",7810349,2300,"Sea@TB 04:05PM ET","TB","Buccaneers",NA,"Sea",4.54,6.4,19
"DST","Browns  (7810340)","Browns ",7810340,2200,"NYG@Cle 01:00PM ET","CLE","Browns",NA,"NYG",4.5,4.8,3
