"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Actual_fpts"
"DST","Seahawks ",4000,"SF@SEA 04:25PM ET",7,"SEA","SF",0,10.1,0
"DST","Raiders ",3500,"NYJ@OAK 04:05PM ET",2,"OAK","NYJ",0,10.4,0
"DST","Broncos ",3400,"DAL@DEN 04:25PM ET",5,"DEN","DAL",0,6,0
"DST","Giants ",3400,"DET@NYG 08:30PM ET",2,"NYG","DET",0,8,0
"DST","Lions ",3300,"DET@NYG 08:30PM ET",16,"DET","NYG",0,5.6,0
"DST","Rams ",3000,"WAS@LAR 04:25PM ET",28,"LAR","WAS",0,6,0
"DST","Redskins ",2900,"WAS@LAR 04:25PM ET",12,"WAS","LAR",0,7.2,0
"DST","Chargers ",2800,"MIA@LAC 04:05PM ET",8,"LAC","MIA",0,8.5,0
"DST","Dolphins ",2600,"MIA@LAC 04:05PM ET",0,"MIA","LAC",0,6.2,0
"DST","Cowboys ",2600,"DAL@DEN 04:25PM ET",12,"DAL","DEN",0,6.1,0
"DST","Falcons ",2500,"GB@ATL 08:30PM ET",5,"ATL","GB",0,5.8,0
"DST","49ers ",2300,"SF@SEA 04:25PM ET",4,"SF","SEA",0,4.4,0
"DST","Packers ",2300,"GB@ATL 08:30PM ET",9,"GB","ATL",0,4.4,0
"DST","Jets ",2000,"NYJ@OAK 04:05PM ET",4,"NYJ","OAK",0,3.4,0
