"Place_lo","Place_hi","Payout"
"1","1","100000"
"2","2","50000"
"3","3","25000"
"4","4","10000"
"5","5","5000"
"6","6","2500"
"7","10","1000"
"11","15","700"
"16","20","500"
"21","30","400"
"31","50","300"
"51","75","250"
"76","100","200"
"101","150","150"
"151","250","100"
"251","550","50"
"551","1150","40"
"1151","2150","30"
"2151","3650","25"
"3651","5650","20"
"5651","10200","15"
"10201","22200","12"
