"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10"
"Wil Myers_SD",NA,2,10,8,NA,NA,0,19,34
"Nolan Arenado_COL",NA,12,11,3,NA,NA,19,0,6
"Manny Machado_BAL",NA,5,NA,3,NA,18,16,2,NA
"Mookie Betts_BOS",NA,5,NA,NA,NA,NA,NA,6,0
"Charlie Blackmon_COL",NA,7,10,4,NA,NA,11,23,3
"Mark Reynolds_COL",NA,27,12,10,NA,NA,19,0,18
"Carlos Gonzalez_COL",NA,0,7,0,NA,NA,NA,2,3
"Bryce Harper_WAS",NA,16,NA,14,NA,NA,5,0,26
"Josh Donaldson_TOR",NA,11,NA,3,4,23,9,14,NA
"Mike Trout_LAA",NA,NA,10,10,NA,7,16,6,NA
"Trevor Story_COL",NA,7,18,7,NA,NA,5,2,2
"Ryan Schimpf_SD",NA,17,5,0,NA,NA,NA,4,4
"David Dahl_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hanley Ramirez_BOS",NA,3,NA,5,NA,NA,NA,NA,NA
"Yangervis Solarte_SD",NA,5,19,0,NA,NA,2,20,2
"DJ LeMahieu_COL",NA,0,5,4,NA,NA,0,NA,21
"Trea Turner_WAS",NA,10,NA,0,NA,NA,8,NA,NA
"Stephen Cardullo_COL",NA,NA,NA,NA,NA,NA,0,NA,NA
"Manuel Margot_SD",NA,7,13,2,NA,NA,14,3,10
"Jose Bautista_TOR",NA,2,NA,3,6,9,2,9,NA
"Chris Davis_BAL",NA,5,NA,14,NA,3,11,6,NA
"Joey Votto_CIN",NA,0,NA,14,NA,7,7,18,4
"Starling Marte_PIT",NA,2,NA,3,NA,NA,7,27,3
"Jose Altuve_HOU",NA,NA,3,0,3,0,3,13,4
"Carlos Correa_HOU",NA,NA,2,6,2,5,4,8,9
"Yoenis Cespedes_NYM",NA,4,NA,5,9,14,2,5,0
"Giancarlo Stanton_MIA",NA,9,NA,0,NA,7,13,0,NA
