"","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Max Scherzer","P","WSH","@ ATL",3.42,"Foltynewicz, R 6.35","R",2.13,0,0,6.3,12.1,0.95,NA,12800,26.3,26.4,24.35,24.35,"%",0,1.9,30.75,2.4
"Yu Darvish","P","TEX","@ OAK",3.33,"Triggs, R 0.00","R",2.33,0,0,6.4,8.9,1.19,NA,10700,43.2,20.6,20.96,20.96,"%",46,2,9,0.8
"Michael Fulmer","P","DET","@ TB",3.89,"Andriese, R 4.50","R",2.25,0,0,6,8.3,0.92,NA,8900,18.7,19.6,14.11,14.11,"%",0,1.6,12.7,1.4
"Marcus Stroman","P","TOR","vs BOS",3.61,"Johnson, L","R",1.76,0,0,7.7,5.3,1.04,NA,8300,17,21.7,16.46,16.46,"%",0,2,-0.7,NA
"Hyun-Jin Ryu","P","LAD","vs COL",3.15,"Freeland, L 5.91","L",5.79,0,0,4.7,9.6,1.61,NA,8000,21.7,9.7,16.5,16.5,"%",0,2.1,14.1,1.8
"Zack Wheeler","P","NYM","vs PHI",3.05,"Eflin, R","R",7.45,0,0,4.8,7.5,1.24,NA,7800,30.9,9.3,17.97,17.97,"%",0,2.3,19.65,2.5
"Wei-Yin Chen","P","MIA","@ SEA",4.19,"Gallardo, R 6.30","L",7,0,0,4.5,8,1.67,NA,7700,34.2,8.6,10,10,"%",0,1.3,21.95,2.9
"Mike Leake","P","STL","vs PIT",3.67,"Kuhl, R 2.38","R",0.6,0,0,7.5,7.8,0.73,NA,7600,22.6,27.6,15.07,15.07,"%",0,2,14.05,1.8
"Shelby Miller","P","ARI","@ SD",3.89,"Cosart, R 3.86","R",5.06,0,0,5.3,10.2,1.5,NA,7500,18.8,15.2,10.79,10.79,"%",0,1.4,24.9,3.3
"Ricky Nolasco","P","LAA","@ HOU",4.72,"Musgrove, R 4.35","R",5.4,0,0,5.6,7.6,1.32,NA,7400,14,10.8,11.37,11.37,"%",88,1.5,14.7,2
"Joe Musgrove","P","HOU","vs LAA",3.78,"Nolasco, R 5.40","R",4.35,0,0,5.2,3.5,1.55,NA,7200,14.7,7.5,12.51,12.51,"%",0,1.7,5.85,0.8
"Jason Hammel","P","KC","vs SF",4.28,"Cain, R 4.82","R",6.52,0,0,4.8,5.6,1.86,NA,7100,12.2,4.5,10.94,10.94,"%",0,1.5,13.3,1.9
"Kevin Gausman","P","BAL","@ CIN",4.1,"Arroyo, R 9.90","R",3.94,0,0,5.3,6.3,1.69,NA,7100,24.2,10.6,13.25,13.25,"%",48,1.9,-13.2,NA
"Jimmy Nelson","P","MIL","@ CHC",5.18,"Anderson, L 0.84","R",1.38,0,0,6.5,9,0.85,NA,7000,9.9,24,8.42,8.42,"%",0,1.2,-2,NA
"Josh Tomlin","P","CLE","@ MIN",4.38,"Hughes, R 3.86","R",18.47,0,0,3.2,8.4,2.68,NA,6700,28.5,-5.3,7.77,7.77,"%",0,1.2,11.3,1.7
"Brett Anderson","P","CHC","vs MIL",3.82,"Nelson, R 1.38","L",0.84,0,0,5.3,5.1,1.22,NA,6600,9.4,15.1,9.3,9.3,"%",0,1.4,1.45,0.2
"Luis Severino","P","NYY","vs CWS",2.89,"Gonzalez, R 4.22","R",4.5,0,0,6,12.8,1.08,NA,6500,37.2,22.6,14.12,14.12,"%",0,2.2,30.2,4.6
"Michael Foltynewicz","P","ATL","vs WSH",4.58,"Scherzer, R 2.13","R",6.35,0,0,2.8,8,2.12,NA,6400,17.4,3.5,10.94,10.94,"%",0,1.7,12.35,1.9
"Miguel Gonzalez","P","CWS","@ NYY",4.11,"Severino, R 4.50","R",4.22,0,0,5.3,9.3,1.97,NA,6300,23.2,13.7,10.43,10.43,"%",0,1.7,25.75,4.1
"Yovani Gallardo","P","SEA","vs MIA",4.31,"Chen, L 7.00","R",6.3,0,0,5,5.4,2,NA,6200,16.7,4.3,9.47,9.47,"%",0,1.5,6.1,1
"Matt Andriese","P","TB","vs DET",3.61,"Fulmer, R 2.25","R",4.5,0,0,5,8.1,1.6,NA,6100,25.3,10.5,12.78,12.78,"%",0,2.1,22.5,3.7
"Ubaldo Jimenez","P","BAL","@ CIN",4.1,"Arroyo, R 9.90","R",10.38,0,0,4.3,6.3,2.08,NA,6000,20.9,0.4,11.71,11.71,"%",0,2,NA,NA
"Chad Kuhl","P","PIT","@ STL",4.33,"Leake, R 0.60","R",2.38,0,0,3.8,8.8,1.24,NA,5800,28.3,12.2,10.35,10.35,"%",27,1.8,12.5,2.2
"Phil Hughes","P","MIN","vs CLE",4.62,"Tomlin, R 18.47","R",3.86,0,0,5.8,6.2,1.11,NA,5500,12.3,16.2,7.78,7.78,"%",0,1.4,0.7,0.1
"Kyle Freeland","P","COL","@ LAD",4.35,"Ryu, L 5.79","L",5.91,0,0,5.3,6.8,1.5,NA,5400,36.4,10.2,8.99,8.99,"%",0,1.7,7,1.3
"Mike Trout","OF","LAA","@ HOU",3.78,"Musgrove, R 4.35","R",0.327,0.437,0.306,0,0,0,3,5200,23.1,10.4,11.85,11.85,"%",73,2.3,11,2.1
"Zach Eflin","P","PHI","@ NYM",4.45,"Wheeler, R 7.45","R",NA,0,0,0,0,0,NA,5100,8.3,NA,8.32,8.32,"%",0,1.6,11.65,2.3
