id,last_name,first_name,team,position,opponent,games,pa,ab,singles,doubles,triples,home_runs,walks,strikeouts,sb,cs,runs,rbi,hbp,sac_flies,gidp,errors,outs,matchup,odds,weather,injury,bvp, price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces, positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces,price_victiv,positions_victiv
6195,Trout,Mike,LAA,OF,@ MIA,1.00,4.75,3.94,0.70,0.28,0.06,0.25,0.78,0.99,0.23,0.05,0.74,0.74,0.00,0.04,0.00,0.02,2.64,@MIA (Urena R) R Ord 2,,,,,4800,29,5500,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
9075,Betts,Mookie,BOS,OF,SEA,1.00,4.92,4.47,0.87,0.39,0.04,0.21,0.41,0.48,0.19,0.04,0.89,0.69,0.00,0.04,0.00,0.03,2.96,SEA (Bergman R) R Ord 1,,,,,4500,24,5100,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
6598,Carpenter,Matt,STL,1B,@ COL,1.00,4.76,4.06,0.64,0.32,0.05,0.23,0.66,1.02,0.02,0.02,0.94,0.92,0.00,0.04,0.00,0.10,2.82,@COL (Marquez R) L Ord 3,,,,3ab .333/.333/.333 0sb 0hr,4200,23,4800,0,0,0,0,0,0,1B,1B,1B,1B;3B;DH,,,,,,0,
6998,Arenado,Nolan,COL,3B,STL,1.00,4.62,4.14,0.68,0.28,0.04,0.26,0.42,0.75,0.01,0.01,0.89,0.88,0.00,0.07,0.00,0.10,2.88,STL (Lynn R) R Ord 3,,,,4ab .250/.250/1.000 0sb 1hr,4700,22,5300,0,0,0,0,0,0,3B,3B,3B,3B;DH,,,,,,0,
6286,Blackmon,Charlie,COL,OF,STL,1.00,4.85,4.47,0.91,0.26,0.08,0.18,0.34,0.84,0.16,0.09,0.92,0.58,0.00,0.03,0.00,0.03,3.04,STL (Lynn R) L Ord 1,,,,8ab .500/.500/.875 0sb 0hr,4900,27,5600,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
6209,Harper,Bryce,WAS,OF,SD,1.00,4.57,3.65,0.61,0.22,0.01,0.25,0.87,0.83,0.08,0.05,0.81,0.81,0.00,0.04,0.00,0.04,2.57,SD (Chacin R) L Ord 3,,,,3ab .000/.000/.000 0sb 0hr,4500,24,5500,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
9988,Turner,Trea,WAS,SS,SD,1.00,4.79,4.46,0.88,0.24,0.07,0.13,0.30,0.95,0.38,0.10,0.81,0.49,0.00,0.03,0.00,0.06,3.15,SD (Chacin R) R Ord 1,,,,,3700,18,4900,0,0,0,0,0,0,SS,SS,SS,SS;DH;OF,,,,,,0,
8646,Piscotty,Stephen,STL,OF,@ COL,1.00,4.87,4.43,0.82,0.32,0.04,0.19,0.41,0.97,0.09,0.08,0.93,0.67,0.00,0.03,0.00,0.03,3.06,@COL (Marquez R) R Ord 2,,,,,3600,15,4500,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
1606,Fowler,Dexter,STL,OF,@ COL,1.00,4.98,4.30,0.79,0.25,0.09,0.15,0.64,1.10,0.07,0.02,0.97,0.58,0.00,0.04,0.00,0.03,3.03,@COL (Marquez R) S Ord 1,,,,,3700,20,4800,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
7254,Gyorko,Jedd,STL,3B,@ COL,1.00,4.65,4.31,0.77,0.21,0.02,0.27,0.31,1.07,0.03,0.01,0.83,0.92,0.00,0.03,0.00,0.06,3.03,@COL (Marquez R) R Ord 4,,,,3ab .000/.000/.000 0sb 0hr,4400,20,4700,0,0,0,0,0,0,3B,3B,3B,2B;3B;DH,,,,,,0,
