"id","last_name","first_name","team","position","opponent","games","innings","singles","doubles","triples","home_runs","walks","strikeouts","runs","earned_runs","opp_ba","cg","qs","wins","losses","saves","blown_saves","holds","hbp","outs","odds","weather","injury","price_fanduel","price_yahoo","price_draftkings","price_draftday","price_starstreet","price_fantasyfeud","price_fanthrowdown","price_starfantasyleagues","price_fantasyaces","positions_fanduel","positions_yahoo","positions_draftkings","positions_draftday","positions_starstreet","positions_fantasyfeud","positions_fanthrowdown","positions_starfantasyleagues","positions_fantasyaces","price_victiv","positions_victiv"
5124,"Verlander","Justin","DET","SP","@ MIN",1,6.7,2.58,1.55,0.37,0.8,1.97,7.56,2.79,2.57,0.21,0.079,0.644,0.47,0.43,0,0,0,0,20.1,"-1.5 (+130) (o/u 8.0) (-128)","50 N RL 2-8 4% H53%outdoor","",9400,52,10300,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
6454,"Kluber","Corey","CLE","SP","@ CHW",1,6.5,2.91,1.23,0.12,0.73,1.53,7.01,2.52,2.32,0.21,0.063,0.674,0.49,0.37,0,0,0,0,19.5,"-1.5 (+105) (o/u 7.5) (-155)","46 N RL 8-11 5% H59%outdoor","",9900,58,10800,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
2807,"Lester","Jon","CHC","SP","@ CIN",1,6.4,2.83,1.3,0.19,0.72,1.63,6.81,2.57,2.37,0.24,0.055,0.659,0.5,0.6,0,0,0,0,19.2,"-1.5 (-110) (o/u 8.5) (-176)","52 O CF 6-9 51% H75%outdoor","",10600,56,10600,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
9400,"deGrom","Jacob","NYM","SP","WAS",1,6.2,2.66,1.35,0.13,0.59,1.64,6.38,2.25,2.07,0.22,0.043,0.702,0.44,0.34,0,0,0,0,18.6,"-1.5 (+165) (o/u 6.5) (-136)","54 N RL 2-6 38% H80%outdoor","",10300,52,10200,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
1988,"Hamels","Cole","TEX","SP","KC",1,6.4,4.08,1.4,0.19,0.66,1.68,5.76,2.83,2.6,0.25,0.055,0.618,0.48,0.47,0,0,0,0,19.2,"-1.5 (+130) (o/u 9.0) (-153)","68 O CF 10-15 85% H72%outdoor","",9400,44,9300,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
5165,"Wainwright","Adam","STL","SP","@ MIL",1,6.3,3.52,1.48,0.25,0.79,1.77,6.05,2.91,2.68,0.29,0.048,0.595,0.41,0.39,0,0,0,0,18.9,"-1.5 (+145) (o/u 8.5) (-111)","44 N RL 5-7 6% H64% retractable","",7900,27,6000,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
6701,"Fiers","Mike","HOU","SP","@ TB",1,5.7,2.95,1.29,0.33,0.8,1.6,5.87,2.72,2.5,0.25,0.04,0.575,0.32,0.32,0,0,0,0,17.1,"+1.5 (-225) (o/u 8.0) (-111)","","",7000,33,7200,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
8476,"Meyer","Alex","LAA","SP","TOR",1,5.4,2.78,1.12,0.04,0.67,2.43,5.98,2.64,2.42,0.22,0.04,0.564,0.34,0.43,0,0,0,0,16.2,"-1.5 (+145) (o/u 9.0) (-139)","72 O LF 1-7 1% H36%outdoor","",6000,0,4700,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
6463,"Pomeranz","Drew","BOS","SP","@ BAL",1,5.5,2.57,1.06,0.02,0.86,1.92,5.89,2.79,2.56,0.22,0.04,0.544,0.3,0.37,0,0,0,0,16.5,"+1.5 (-205) (o/u 8.5) (-105)","70 N LR 4-8 15% H58%outdoor","Probable",7700,37,6700,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
9259,"Glasnow","Tyler","PIT","SP","NYY",1,5.4,3.12,1.29,0.12,0.4,2.46,5.85,2.33,2.15,0.23,0.04,0.626,0.29,0.39,0,0,0,0,16.2,"+1.5 (-170) (o/u 8.0) (Even)","53 N LR 5-10 24% H59%outdoor","",5800,31,6600,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
7709,"Quintana","Jose","CHW","SP","CLE",1,6.5,4.19,1.44,0.17,0.73,1.62,4.99,3.06,2.82,0.25,0.063,0.583,0.33,0.13,0,0,0,0,19.5,"+1.5 (-125) (o/u 7.5) (+145)","46 N RL 8-11 5% H59%outdoor","",8200,40,7700,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
9854,"Manaea","Sean","OAK","SP","SEA",1,5.8,3.21,1.09,0.15,0.58,1.58,4.68,2.53,2.32,0.22,0.04,0.622,0.38,0.3,0,0,0,0,17.4,"-1.5 (+155) (o/u 7.5) (-132)","59 O CF 6-10 13% H72%outdoor","",7400,41,7800,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
1109,"Cueto","Johnny","SF","SP","@ COL",1,6.8,5.74,1.73,0.4,0.8,1.54,5.13,3.47,3.19,0.36,0.089,0.54,0.45,0.37,0,0,0,0,20.4,"-1.5 (+140) (o/u 10.5) (-116)","42 O CF 2-11 18% H79%outdoor","",8300,49,8100,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
7573,"Iwakuma","Hisashi","SEA","SP","@ OAK",1,6.1,3.4,1.34,0.23,0.67,1.45,4.56,2.86,2.64,0.25,0.04,0.583,0.33,0.32,0,0,0,0,18.3,"+1.5 (-175) (o/u 7.5) (+122)","59 O CF 6-10 13% H72%outdoor","",7500,32,7500,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
6413,"Cobb","Alex","TB","SP","HOU",1,6,3.45,1.21,0.19,0.51,1.86,4.42,2.7,2.48,0.22,0.04,0.606,0.38,0.29,0,0,0,0,18,"-1.5 (+195) (o/u 8.0) (+101)","","",7400,32,7100,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
6000,"Hellickson","Jeremy","PHI","SP","ATL",1,5.7,3.76,1.26,0.09,0.71,1.19,4.65,2.61,2.4,0.29,0.04,0.599,0.35,0.35,0,0,0,0,17.1,"-1.5 (+175) (o/u 8.0) (-115)","60 I RF 3-7 39% H80%outdoor","Questionable",8200,35,7300,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
8524,"Conley","Adam","MIA","SP","@ SD",1,5.3,2.48,1.17,0.18,0.51,1.92,4.7,2.33,2.15,0.25,0.04,0.618,0.3,0.41,0,0,0,0,15.9,"-1.5 (+135) (o/u 7.5) (-117)","66 N LR 1-9 4% H62%outdoor","",8300,30,7000,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
8417,"Wood","Alex","LAD","SP","@ ARI",1,5.6,3.8,1.55,0.43,0.55,1.78,5.04,2.67,2.46,0.33,0.04,0.575,0.36,0.39,0,0,0,0,16.8,"-1.5 (+120) (o/u 9.5) (-131)","78 O RF 3-10 0% H14% retractable","",7300,32,6800,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
8540,"Roark","Tanner","WAS","SP","@ NYM",1,6.1,2.28,1.2,0.16,0.74,2.33,4.32,3.01,2.77,0.21,0.04,0.556,0.33,0.26,0,0,0,0,18.3,"+1.5 (-190) (o/u 6.5) (+126)","54 N RL 2-6 38% H80%outdoor","",8300,39,8000,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
7586,"Walker","Taijuan","ARI","SP","LAD",1,5.8,3.56,1.52,0.28,0.99,1.43,5.13,3.16,2.9,0.31,0.04,0.5,0.31,0.32,0,0,0,0,17.4,"+1.5 (-140) (o/u 9.5) (+121)","78 O RF 3-10 0% H14% retractable","",7400,38,7900,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
5758,"Cahill","Trevor","SD","SP","MIA",1,5.5,3.46,1.03,0.19,0.41,2.45,4.76,2.47,2.28,0.26,0.04,0.606,0.29,0.35,0,0,0,0,16.5,"+1.5 (-155) (o/u 7.5) (+107)","66 N LR 1-9 4% H62%outdoor","Probable",6400,30,5600,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
7058,"Santiago","Hector","MIN","SP","DET",1,5.4,2.91,1.11,0.16,0.84,2.05,5.06,2.93,2.69,0.23,0.04,0.5,0.27,0.18,0,0,0,0,16.2,"+1.5 (-150) (o/u 8.0) (+118)","50 N RL 2-8 4% H53%outdoor","",7400,34,6400,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
8538,"Karns","Nathan","KC","SP","@ TEX",1,5.4,3.11,1.1,0.25,0.89,2.6,5.53,3.14,2.89,0.25,0.04,0.456,0.24,0.22,0,0,0,0,16.2,"+1.5 (-150) (o/u 9.0) (+143)","68 O CF 10-15 85% H72%outdoor","",6200,28,5900,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
