"Ryan Braun_MIL","Eric Thames_MIL","Keon Broxton_MIL","Starling Marte_PIT","Matt Kemp_ATL","Adam Frazier_PIT","Eduardo Nunez_SF","Travis Shaw_MIL","Freddie Freeman_ATL","Matt Adams_ATL","Andrew McCutchen_PIT","Jonathan Villar_MIL","Brandon Phillips_ATL","Ender Inciarte_ATL","Josh Harrison_PIT","Josh Bell_PIT","Domingo Santana_MIL","Nick Markakis_ATL","Joe Panik_SF","Hernan Perez_MIL","Buster Posey_SF","Tyler Flowers_ATL","Denard Span_SF","Eric Sogard_MIL","Hunter Pence_SF","David Freese_PIT","Jordy Mercer_PIT","Brandon Belt_SF","Austin Slater_SF","Adonis Garcia_ATL","Dansby Swanson_ATL","Jesus Aguilar_MIL","Gregory Polanco_PIT","Manny Pina_MIL","Brett Phillips_MIL","Nick Hundley_SF","Brandon Crawford_SF","Danny Santana_ATL","Jarrett Parker_SF","Jace Peterson_ATL","Christian Arroyo_SF","Orlando Calixte_SF","John Jaso_PIT","Nick Franklin_MIL","Jose Osuna_PIT","Orlando Arcia_MIL","Kurt Suzuki_ATL","Francisco Cervelli_PIT","Elias Diaz_PIT","Michael Reed_MIL","Kelby Tomlinson_SF","Kirk Nieuwenhuis_MIL","Danny Ortiz_PIT","Andrew Susac_MIL","Lewis Brinson_MIL","Kevin Newman_PIT","Micah Johnson_ATL","Rio Ruiz_ATL","Ryan Cordell_MIL","Gorkys Hernandez_SF","Travis Demeritte_ATL","Jacob Stallings_PIT","Jacob Nottingham_MIL","Phil Gosselin_PIT","Chris Bostick_PIT","Corey Ray_MIL","Conor Gillaspie_SF","Aaron Hill_SF","Justin Ruggiano_SF","Gift Ngoepe_PIT","Jett Bandy_MIL","Michael Morse_SF","Mac Williamson_SF","Max Moroff_PIT","Anthony Recker_ATL","Tim Federowicz_SF","Chris Stewart_PIT","John Bormann_PIT","Johan Camargo_ATL","Emilio Bonifacio_ATL","Chris Marrero_SF","Ronald Acuna_ATL","Lane Adams_ATL"
28,25,21,0,0,0,0,24,0,0,0,26,0,0,0,0,22,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0,15,0,0,0,0,0,0,0,0,0,2,0,25,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
25,55,43,0,0,0,0,45,0,0,0,42,0,0,0,0,43,0,0,37,0,0,0,16,0,0,0,0,0,0,0,11,0,26,2,0,0,0,0,0,0,0,0,8,0,48,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
21,43,53,0,0,0,0,44,0,0,0,40,0,0,0,0,45,0,0,35,0,0,0,15,0,0,0,0,0,0,0,19,0,25,0,0,0,0,0,0,0,0,0,4,0,48,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,11,0,9,0,0,0,0,11,0,0,0,9,9,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,52,0,0,0,25,22,0,0,41,52,0,0,0,51,0,0,0,33,0,0,0,0,0,0,0,25,49,0,0,0,0,0,0,9,0,20,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
0,0,0,9,0,38,0,0,0,0,36,0,0,0,33,34,0,0,0,0,0,0,0,0,0,33,35,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,15,0,3,0,0,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,50,0,51,0,35,0,38,0,0,54,7,0,0,0,0,0,0,18,43,0,6,0,26,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,6,10,10,0,0,5,8,0,0,0,0,0,0,0,9,0,0
24,45,44,0,0,0,0,54,0,0,0,42,0,0,0,0,42,0,0,35,0,0,0,12,0,0,0,0,0,0,0,17,0,26,0,0,0,0,0,0,0,0,0,7,0,48,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,25,0,0,0,35,0,0,0,29,35,0,0,0,35,0,0,0,20,0,0,0,0,0,0,0,31,34,0,0,0,0,0,0,3,0,19,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,22,0,0,0,0,24,0,0,20,24,0,0,0,23,0,0,0,17,0,0,0,0,0,0,0,4,22,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
0,0,0,11,0,36,0,0,0,0,62,0,0,0,57,54,0,0,0,0,0,0,0,0,0,42,58,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,23,0,19,0,0,41,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0
26,42,40,0,0,0,0,42,0,0,0,51,0,0,0,0,42,0,0,35,0,0,0,7,0,0,0,0,0,0,0,15,0,25,0,0,0,0,0,0,0,0,0,8,0,43,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
