"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
23,764659571,"evanpro13 (1/2)",0,161.2,"2B Robinson Canó OF Rajai Davis OF Nelson Cruz P Max Scherzer 1B Danny Valencia C Stephen Vogt P James Paxton 3B Kyle Seager OF Brian Goodwin SS Taylor Motter",NA,"Anthony Rendon","16.18%",5
23,764659572,"evanpro13 (2/2)",0,161.2,"2B Robinson Canó OF Rajai Davis OF Nelson Cruz P Max Scherzer 1B Danny Valencia C Stephen Vogt P James Paxton 3B Kyle Seager OF Brian Goodwin SS Taylor Motter",NA,"Rajai Davis","15.99%",7
23,764874673,"WatchTheThrone85",0,161.2,"2B Robinson Canó OF Rajai Davis OF Nelson Cruz P Max Scherzer 1B Danny Valencia C Stephen Vogt P James Paxton 3B Kyle Seager OF Brian Goodwin SS Taylor Motter",NA,"Stephen Vogt","15.45%",2
23,764888337,"scarr58 (2/4)",0,161.2,"2B Robinson Canó OF Rajai Davis OF Nelson Cruz P Max Scherzer 1B Danny Valencia C Stephen Vogt P James Paxton 3B Kyle Seager OF Brian Goodwin SS Taylor Motter",NA,"Brian Goodwin","15.40%",2
28,764544194,"bull3636 (3/3)",0,160.2,"2B Robinson Canó OF Nelson Cruz P Max Scherzer 1B Danny Valencia C Stephen Vogt OF Robbie Grossman SS Ehire Adrianza P James Paxton 3B Kyle Seager OF Guillermo Heredia",NA,"Brian Dozier","15.21%",16
28,764664957,"pauloi1",0,160.2,"2B Robinson Canó OF Nelson Cruz SS Troy Tulowitzki P Max Scherzer 1B Danny Valencia P James Paxton 3B Kyle Seager C Luke Maile OF Kevin Pillar OF Guillermo Heredia",NA,"Corey Seager","14.97%",0
28,764915227,"brettbono (1/3)",0,160.2,"2B Robinson Canó OF Nelson Cruz SS Troy Tulowitzki P Max Scherzer 1B Danny Valencia P James Paxton 3B Kyle Seager C Luke Maile OF Kevin Pillar OF Guillermo Heredia",NA,"Ben Gamel","14.87%",3
28,764916372,"brettbono (2/3)",0,160.2,"2B Robinson Canó OF Nelson Cruz SS Troy Tulowitzki P Max Scherzer 1B Danny Valencia P James Paxton 3B Kyle Seager C Luke Maile OF Kevin Pillar OF Guillermo Heredia",NA,"Ryan Zimmerman","14.58%",0
28,764921518,"brettbono (3/3)",0,160.2,"2B Robinson Canó OF Nelson Cruz SS Troy Tulowitzki P Max Scherzer 1B Danny Valencia P James Paxton 3B Kyle Seager C Luke Maile OF Kevin Pillar OF Guillermo Heredia",NA,"Cody Bellinger","13.61%",0
33,764491994,"leesho",0,159.2,"2B Robinson Canó OF Rajai Davis OF Nelson Cruz SS Troy Tulowitzki P Max Scherzer 1B Danny Valencia C Yasmani Grandal P James Paxton 3B Kyle Seager OF Mark Canha",NA,"Kendrys Morales","13.31%",3
33,764523089,"slysly1440 (1/2)",0,159.2,"2B Robinson Canó OF Rajai Davis P Max Scherzer 1B Danny Valencia C Stephen Vogt P James Paxton 3B Kyle Seager OF Brian Goodwin OF Kevin Pillar SS Trea Turner",NA,"Luke Maile","12.78%",0
33,764586418,"gfay63 (5/20)",0,159.2,"2B Robinson Canó P Max Scherzer 1B Danny Valencia OF Khris Davis P James Paxton 3B Kyle Seager C Mike Zunino OF Kevin Pillar SS Chad Pinder OF Guillermo Heredia",NA,"Brandon McCarthy","11.86%",16.75
33,764894225,"brewpack16 (1/3)",0,159.2,"2B Robinson Canó OF Nelson Cruz SS Troy Tulowitzki P Max Scherzer 1B Danny Valencia OF Ezequiel Carrera P James Paxton 3B Kyle Seager C Luke Maile OF Guillermo Heredia",NA,"Jesse Hahn","11.42%",16.1
33,764900208,"brewpack16 (2/3)",0,159.2,"2B Robinson Canó OF Nelson Cruz SS Troy Tulowitzki P Max Scherzer 1B Danny Valencia OF Ezequiel Carrera P James Paxton 3B Kyle Seager C Luke Maile OF Guillermo Heredia",NA,"Ezequiel Carrera","8.84%",2
33,764905070,"ftimegrind (1/5)",0,159.2,"2B Robinson Canó OF Nelson Cruz SS Troy Tulowitzki P Max Scherzer 1B Danny Valencia P James Paxton 3B Kyle Seager OF Brian Goodwin C Luke Maile OF Guillermo Heredia",NA,"Yonder Alonso","8.31%",0
33,764908202,"brewpack16 (3/3)",0,159.2,"2B Robinson Canó OF Nelson Cruz SS Troy Tulowitzki P Max Scherzer 1B Danny Valencia OF Ezequiel Carrera P James Paxton 3B Kyle Seager C Luke Maile OF Guillermo Heredia",NA,"Miguel Sanó","8.26%",10
40,764622955,"theMush415 (4/20)",0,158.7,"2B Robinson Canó SS Troy Tulowitzki P Marco Estrada P Max Scherzer 1B Danny Valencia OF Robbie Grossman 3B Kyle Seager OF Brian Goodwin C Mike Zunino OF Kevin Pillar",NA,"Héctor Santiago","7.68%",-0.2
40,764908934,"TigerWoulds (1/20)",0,158.7,"OF José Bautista 2B Robinson Canó P Marco Estrada P Max Scherzer 1B Danny Valencia 3B Kyle Seager SS Ryan Goins OF Brian Goodwin C Mike Zunino OF Guillermo Heredia",NA,"Jed Lowrie","7.48%",10
42,764885229,"fuma",0,158.5,"2B Robinson Canó OF Nelson Cruz P Brandon McCarthy 1B Kendrys Morales SS Troy Tulowitzki P Max Scherzer C Stephen Vogt OF Robbie Grossman 3B Kyle Seager OF Guillermo Heredia",NA,"Jarrod Dyson","7.29%",4
43,764849127,"DJ1Mic",0,158.2,"2B Robinson Canó P Max Scherzer 1B Danny Valencia C Matt Wieters P James Paxton 3B Kyle Seager OF Brian Goodwin SS Taylor Motter OF Kevin Pillar OF Guillermo Heredia",NA,"Eduardo Escobar","7.09%",6
43,764910825,"pbnews",0,158.2,"2B Robinson Canó P Max Scherzer 1B Danny Valencia C Stephen Vogt P James Paxton 3B Kyle Seager OF Mark Canha OF Bryce Harper SS Chad Pinder OF Guillermo Heredia",NA,"Robbie Grossman","6.95%",9
43,764914304,"madhater28 (3/9)",0,158.2,"2B Robinson Canó OF Rajai Davis OF Nelson Cruz P Max Scherzer 1B Danny Valencia C Stephen Vogt P James Paxton 3B Kyle Seager SS Chad Pinder OF Guillermo Heredia",NA,"Max Kepler","6.66%",5
46,764610507,"bluester111 (4/6)",0,157.7,"OF Rajai Davis P Marco Estrada P Max Scherzer 1B Danny Valencia C Yasmani Grandal 3B Kyle Seager 2B Brian Dozier OF Kevin Pillar SS Trea Turner OF Guillermo Heredia",NA,"Michael A. Taylor","5.73%",0
46,764908941,"TigerWoulds (8/20)",0,157.7,"2B Robinson Canó OF Nelson Cruz P Marco Estrada P Max Scherzer 1B Danny Valencia 3B Kyle Seager SS Ryan Goins OF Brian Goodwin C Luke Maile OF Guillermo Heredia",NA,"Mark Canha","5.69%",7
48,764572670,"Jakplassy",0,157.2,"2B Robinson Canó OF Rajai Davis OF Nelson Cruz SS Troy Tulowitzki P Max Scherzer 1B Danny Valencia C Stephen Vogt P James Paxton 3B Kyle Seager OF Kevin Pillar",NA,"Adam Rosales","4.96%",5
48,764705167,"sabres1215 (2/2)",0,157.2,"2B Robinson Canó OF Rajai Davis OF Nelson Cruz SS Troy Tulowitzki P Max Scherzer 1B Danny Valencia C Stephen Vogt P James Paxton 3B Kyle Seager OF Kevin Pillar",NA,"Ryan Goins","4.66%",3
48,764839676,"JadedOne1",0,157.2,"2B Robinson Canó OF Rajai Davis OF Nelson Cruz SS Troy Tulowitzki P Max Scherzer 1B Danny Valencia C Stephen Vogt P James Paxton 3B Kyle Seager OF Kevin Pillar",NA,"Chris Taylor","4.52%",8
48,764869368,"ShoNizzle",0,157.2,"OF Nelson Cruz SS Adam Rosales P Max Scherzer 1B Danny Valencia OF Khris Davis P James Paxton 3B Kyle Seager 2B Brian Dozier C Mike Zunino OF Guillermo Heredia",NA,"Chase Utley","4.18%",7
48,764882401,"Khillier (1/2)",0,157.2,"2B Robinson Canó OF Rajai Davis OF Nelson Cruz SS Troy Tulowitzki P Max Scherzer 1B Danny Valencia C Stephen Vogt P James Paxton 3B Kyle Seager OF Kevin Pillar",NA,"Yasiel Puig","3.89%",5
48,764908949,"TigerWoulds (16/20)",0,157.2,"OF Rajai Davis 2B Jed Lowrie P Max Scherzer 1B Danny Valencia OF Khris Davis P James Paxton 3B Kyle Seager C Mike Zunino SS Taylor Motter OF Guillermo Heredia",NA,"Chris Gimenez","3.40%",2
54,764906874,"calebsdad0315",0,156.85,"2B Robinson Canó OF Rajai Davis 1B Ryan Zimmerman P Max Scherzer C Stephen Vogt 3B Kyle Seager OF Mark Canha P Jesse Hahn OF Bryce Harper SS Trea Turner",NA,"Joe Mauer","2.92%",8
55,764543403,"SadSoxFan (2/20)",0,156.2,"OF José Bautista 2B Robinson Canó P Max Scherzer 1B Danny Valencia P James Paxton 3B Kyle Seager SS Ryan Goins C Mike Zunino OF Kevin Pillar OF Guillermo Heredia",NA,"Ehire Adrianza","2.77%",0
55,764584381,"Awesemo (2/20)",0,156.2,"OF Rajai Davis OF Nelson Cruz P Max Scherzer 1B Danny Valencia C Yasmani Grandal P James Paxton 3B Kyle Seager 2B Brian Dozier SS Taylor Motter OF Guillermo Heredia",NA,"Adrián González","2.58%",7
55,764633190,"Cav268 (1/7)",0,156.2,"2B Robinson Canó OF Rajai Davis OF Nelson Cruz P Max Scherzer 1B Danny Valencia C Stephen Vogt P James Paxton 3B Kyle Seager OF Byron Buxton SS Corey Seager",NA,"Byron Buxton","2.58%",10
