"Position","Name...ID","Name","ID","Salary","GameInfo","Team","Opponent","Projection","Projection_dfn","Actual_fpts","RankTargets","RollingTargetPctg","FreqInd","TierRank","ValueWR"
"RB","Le'Veon Bell (9359211)","Le'Veon Bell",9359211,9800,"PIT@CLE 01:00PM ET","PIT","CLE",26.84,21.6,0,0,0,0,0,0
"RB","David Johnson (9359235)","David Johnson",9359235,9400,"ARI@DET 01:00PM ET","ARI","DET",25.12,24.1,0,0,0,0,0,0
"WR","Antonio Brown (9358987)","Antonio Brown",9358987,8800,"PIT@CLE 01:00PM ET","PIT","CLE",23.01,23.2,0,0,0,0,0,0
"WR","Julio Jones (9359003)","Julio Jones",9359003,8500,"ATL@CHI 01:00PM ET","ATL","CHI",21.54,20,0,0,0,0,0,0
"WR","Odell Beckham Jr. (9359352)","Odell Beckham",9359352,8300,"NYG@DAL 08:30PM ET","NYG","DAL",20.53,18,0,0,0,0,0,0
"RB","LeSean McCoy (9358939)","LeSean McCoy",9358939,8200,"NYJ@BUF 01:00PM ET","BUF","NYJ",19.53,19,0,0,0,0,0,0
"RB","Ezekiel Elliott (9359890)","Ezekiel Elliott",9359890,8100,"NYG@DAL 08:30PM ET","DAL","NYG",16.96,19.5,0,0,0,0,0,0
"WR","A.J. Green (9359007)","AJ Green",9359007,8000,"BAL@CIN 01:00PM ET","CIN","BAL",21.04,19.5,0,0,0,0,0,0
"WR","Mike Evans (9359400)","Mike Evans",9359400,7800,"POSTPONED","TB","POSTPONED",0,0,0,0,0,0,0,0
"WR","Brandin Cooks (9358590)","Brandin Cooks",9358590,7700,"KC@NE 08:30PM ET","NE","KC",15.16,16.8,0,0,0,0,0,0
"QB","Tom Brady (9358569)","Tom Brady",9358569,7600,"KC@NE 08:30PM ET","NE","KC",25.27,19.7,0,0,0,0,0,0
"WR","Jordy Nelson (9358801)","Jordy Nelson",9358801,7600,"SEA@GB 04:25PM ET","GB","SEA",19.03,14.6,0,0,0,0,0,0
"WR","Dez Bryant (9358936)","Dez Bryant",9358936,7500,"NYG@DAL 08:30PM ET","DAL","NYG",16.33,15.6,0,0,0,0,0,0
"RB","DeMarco Murray (9358898)","DeMarco Murray",9358898,7400,"OAK@TEN 01:00PM ET","TEN","OAK",16.15,17,0,0,0,0,0,0
"WR","Michael Thomas (9358645)","Michael Thomas",9358645,7400,"NO@MIN 07:10PM ET","NO","MIN",18.77,17.5,0,0,0,0,0,0
"QB","Ben Roethlisberger (9358816)","Ben Roethlisberger",9358816,7300,"PIT@CLE 01:00PM ET","PIT","CLE",20.24,19.1,0,0,0,0,0,0
"WR","Amari Cooper (9359594)","Amari Cooper",9359594,7200,"OAK@TEN 01:00PM ET","OAK","TEN",18.64,16.8,0,0,0,0,0,0
"QB","Drew Brees (9358623)","Drew Brees",9358623,7200,"NO@MIN 07:10PM ET","NO","MIN",17.59,21.4,0,0,0,0,0,0
"QB","Cam Newton (9358917)","Cam Newton",9358917,7100,"CAR@SF 04:25PM ET","CAR","SF",20.93,19.1,0,0,0,0,0,0
"RB","Devonta Freeman (9359384)","Devonta Freeman",9359384,7000,"ATL@CHI 01:00PM ET","ATL","CHI",18.05,13.5,0,0,0,0,0,0
"QB","Aaron Rodgers (9358780)","Aaron Rodgers",9358780,7000,"SEA@GB 04:25PM ET","GB","SEA",25.67,22.6,0,0,0,0,0,0
"QB","Matt Ryan (9358787)","Matt Ryan",9358787,6900,"ATL@CHI 01:00PM ET","ATL","CHI",23.11,19.5,0,0,0,0,0,0
"WR","T.Y. Hilton (9359068)","TY Hilton",9359068,6900,"IND@LAR 04:05PM ET","IND","LAR",16.13,14.8,0,0,0,0,0,0
"QB","Russell Wilson (9358965)","Russell Wilson",9358965,6900,"SEA@GB 04:25PM ET","SEA","GB",24.4,22.5,0,0,0,0,0,0
"TE","Rob Gronkowski (9358612)","Rob Gronkowski",9358612,6800,"KC@NE 08:30PM ET","NE","KC",18.11,10.7,0,0,0,0,0,0
