"Position","Name...ID","Name","ID","Salary","GameInfo","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"DST","Bills  (9358738)","Bills ",9358738,3900,"NYJ@BUF 01:00PM ET","BUF","NYJ",12.12,9.5,0
"DST","Texans  (9358739)","Texans ",9358739,3800,"JAX@HOU 01:00PM ET","HOU","JAX",11.18,9.3,0
"DST","Jaguars  (9358761)","Jaguars ",9358761,3700,"JAX@HOU 01:00PM ET","JAX","HOU",7.81,8.7,0
"DST","Steelers  (9358755)","Steelers ",9358755,3600,"PIT@CLE 01:00PM ET","PIT","CLE",9.43,8,0
"DST","Broncos  (9358461)","Broncos ",9358461,3600,"LAC@DEN 10:20PM ET","DEN","LAC",12.45,9.2,0
"DST","Panthers  (9358760)","Panthers ",9358760,3500,"CAR@SF 04:25PM ET","CAR","SF",11.25,7.4,0
"DST","Patriots  (9358622)","Patriots ",9358622,3400,"KC@NE 08:30PM ET","NE","KC",7.79,7.1,0
"DST","Buccaneers  (9358758)","Buccaneers ",9358758,3400,"POSTPONED","TB","POSTPONED",0,0,0
"DST","Falcons  (9358737)","Falcons ",9358737,3300,"ATL@CHI 01:00PM ET","ATL","CHI",9.6,8.4,0
"DST","Rams  (9358749)","Rams ",9358749,3200,"IND@LAR 04:05PM ET","LAR","IND",9.37,9.3,0
"DST","Bengals  (9358741)","Bengals ",9358741,3100,"BAL@CIN 01:00PM ET","CIN","BAL",9.44,8.3,0
"DST","Redskins  (9358759)","Redskins ",9358759,3000,"PHI@WAS 01:00PM ET","WAS","PHI",7.89,6,0
"DST","Chargers  (9358736)","Chargers ",9358736,3000,"LAC@DEN 10:20PM ET","LAC","DEN",6.74,5.7,0
"DST","Seahawks  (9358757)","Seahawks ",9358757,2900,"SEA@GB 04:25PM ET","SEA","GB",7.26,6.4,0
"DST","Cowboys  (9358743)","Cowboys ",9358743,2900,"NYG@DAL 08:30PM ET","DAL","NYG",8.26,6.7,0
"DST","Vikings  (9358568)","Vikings ",9358568,2900,"NO@MIN 07:10PM ET","MIN","NO",7.33,6.9,0
"DST","Ravens  (9358762)","Ravens ",9358762,2800,"BAL@CIN 01:00PM ET","BAL","CIN",7.03,6.9,0
"DST","Cardinals  (9358754)","Cardinals ",9358754,2800,"ARI@DET 01:00PM ET","ARI","DET",8.58,6.2,0
"DST","Dolphins  (9358750)","Dolphins ",9358750,2800,"POSTPONED","MIA","POSTPONED",0,0,0
"DST","Eagles  (9358753)","Eagles ",9358753,2700,"PHI@WAS 01:00PM ET","PHI","WAS",8.33,6,0
"DST","Colts  (9358747)","Colts ",9358747,2700,"IND@LAR 04:05PM ET","IND","LAR",8.81,6.3,0
"DST","Lions  (9358744)","Lions ",9358744,2600,"ARI@DET 01:00PM ET","DET","ARI",5.65,5.7,0
"DST","Titans  (9358746)","Titans ",9358746,2600,"OAK@TEN 01:00PM ET","TEN","OAK",7.58,5.2,0
"DST","Giants  (9358751)","Giants ",9358751,2600,"NYG@DAL 08:30PM ET","NYG","DAL",7.85,4.6,0
"DST","Raiders  (9358748)","Raiders ",9358748,2500,"OAK@TEN 01:00PM ET","OAK","TEN",7.2,4,0
"DST","Packers  (9358745)","Packers ",9358745,2500,"SEA@GB 04:25PM ET","GB","SEA",7.93,6.2,0
"DST","Jets  (9358752)","Jets ",9358752,2400,"NYJ@BUF 01:00PM ET","NYJ","BUF",6.92,4.8,0
"DST","Saints  (9358677)","Saints ",9358677,2400,"NO@MIN 07:10PM ET","NO","MIN",5.4,5.2,0
"DST","Chiefs  (9358514)","Chiefs ",9358514,2300,"KC@NE 08:30PM ET","KC","NE",4.7,4.2,0
"DST","Bears  (9358740)","Bears ",9358740,2200,"ATL@CHI 01:00PM ET","CHI","ATL",4.76,4.9,0
"DST","49ers  (9358756)","49ers ",9358756,2100,"CAR@SF 04:25PM ET","SF","CAR",5.1,5.4,0
"DST","Browns  (9358742)","Browns ",9358742,2000,"PIT@CLE 01:00PM ET","CLE","PIT",5.04,4.6,0
