P,P,C,1B,2B,3B,SS,OF,OF,OF
Chris Archer,Jesse Chavez,Yasmani Grandal,Adrian Gonzalez,DJ LeMahieu,Justin Turner,Corey Seager,Carlos Gonzalez,Kyle Schwarber,David Peralta
Jesse Chavez,Amir Garrett,Yasmani Grandal,Ryan Zimmerman,DJ LeMahieu,Nolan Arenado,Jorge Polanco,Charlie Blackmon,Kyle Schwarber,Gerardo Parra
Jason Vargas,Jesse Chavez,Jose Lobaton,Ryan Zimmerman,Josh Harrison,Anthony Rendon,Trea Turner,Billy Hamilton,David Peralta,Jason Heyward
Amir Garrett,Jhoulys Chacin,Yasmani Grandal,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Trea Turner,Charlie Blackmon,Jayson Werth,Jason Heyward
Jesse Chavez,Amir Garrett,Geovany Soto,Ryan Zimmerman,DJ LeMahieu,Anthony Rendon,Trea Turner,Adam Eaton,AJ Pollock,Seth Smith
Chris Archer,Amir Garrett,Stuart Turner,Ryan Zimmerman,Jose Peraza,Justin Turner,Trea Turner,Billy Hamilton,Scott Schebler,David Peralta
Jesse Chavez,Amir Garrett,Yasmani Grandal,Ryan Zimmerman,Chase Utley,Nolan Arenado,Trea Turner,Adam Eaton,Michael Taylor,Yasiel Puig
Jesse Chavez,Amir Garrett,Tony Wolters,Ryan Zimmerman,DJ LeMahieu,Justin Turner,Trea Turner,Charlie Blackmon,Carlos Gonzalez,Manuel Margot
Jesse Chavez,Amir Garrett,Jose Lobaton,Anthony Rizzo,Daniel Murphy,Justin Turner,Trea Turner,Adam Eaton,Kyle Schwarber,Andrew Toles
Jesse Chavez,Amir Garrett,Jose Lobaton,Ryan Zimmerman,Ben Zobrist,Anthony Rendon,Corey Seager,Jayson Werth,Billy Hamilton,Kyle Schwarber
Jesse Chavez,Amir Garrett,Francisco Cervelli,Mark Reynolds,Tyler Saladino,Anthony Rendon,Trea Turner,Adam Eaton,Jayson Werth,David Peralta
Chris Archer,Amir Garrett,Yasmani Grandal,Ryan Zimmerman,Chase Utley,Jake Lamb,Corey Seager,Jayson Werth,AJ Pollock,Yasiel Puig
Jesse Chavez,Amir Garrett,Miguel Montero,Joey Votto,Daniel Murphy,Anthony Rendon,Trea Turner,Jayson Werth,Scott Schebler,Andrew Toles
Jason Vargas,Amir Garrett,Miguel Montero,Ryan Zimmerman,Danny Espinosa,Anthony Rendon,Trea Turner,Jayson Werth,AJ Pollock,David Peralta
Chris Archer,Jesse Chavez,Salvador Perez,Adrian Gonzalez,Brian Dozier,Justin Turner,Trea Turner,Carlos Gonzalez,Yasiel Puig,Andrew Toles
Jesse Chavez,Amir Garrett,Jose Lobaton,Mark Reynolds,Daniel Murphy,Jake Lamb,Trea Turner,Jayson Werth,Gerardo Parra,Jason Heyward
Chris Archer,Amir Garrett,Jose Lobaton,Ryan Zimmerman,Yangervis Solarte,Anthony Rendon,Jordy Mercer,Jayson Werth,David Peralta,Kevin Pillar
Chris Archer,Amir Garrett,Tony Wolters,Ryan Zimmerman,DJ LeMahieu,Nolan Arenado,Erick Aybar,Carlos Gonzalez,Jason Heyward,Andrew Toles
Chris Archer,Tyler Anderson,Yasmani Grandal,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Jorge Polanco,Carlos Gonzalez,David Peralta,Andrew Toles
Jesse Chavez,Amir Garrett,Chris Gimenez,Ryan Zimmerman,Brian Dozier,Nolan Arenado,Jorge Polanco,Jayson Werth,AJ Pollock,Robbie Grossman
Chris Archer,Amir Garrett,Jeff Mathis,Mark Reynolds,DJ LeMahieu,Jake Lamb,Corey Seager,Kyle Schwarber,AJ Pollock,David Peralta
Jesse Chavez,Amir Garrett,Buster Posey,Ryan Zimmerman,Daniel Murphy,Mike Moustakas,Corey Seager,Adam Eaton,Jayson Werth,David Peralta
Chris Archer,Jesse Chavez,Tony Wolters,Mark Reynolds,DJ LeMahieu,Justin Turner,Jordy Mercer,Carlos Gonzalez,Jayson Werth,Yasiel Puig
Chris Archer,Amir Garrett,Stuart Turner,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Erick Aybar,Jayson Werth,AJ Pollock,Andrew Toles
Jesse Chavez,Amir Garrett,Chris Gimenez,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Corey Seager,Charlie Blackmon,Billy Hamilton,David Peralta
Jesse Chavez,Amir Garrett,Tony Wolters,Ryan Zimmerman,Tyler Saladino,Nolan Arenado,Trevor Story,Carlos Gonzalez,Kyle Schwarber,David Peralta
Chris Archer,Amir Garrett,Jose Lobaton,Adrian Gonzalez,Daniel Murphy,Justin Turner,Corey Seager,Kyle Schwarber,AJ Pollock,Yasiel Puig
Chris Archer,Jesse Chavez,Salvador Perez,Ryan Zimmerman,DJ LeMahieu,Jake Lamb,Chris Owings,AJ Pollock,David Peralta,Yasiel Puig
Chris Archer,Jesse Chavez,Buster Posey,Ryan Zimmerman,Chase Utley,Justin Turner,Corey Seager,Charlie Blackmon,Kyle Schwarber,Yasiel Puig
Chris Archer,Amir Garrett,Yasmani Grandal,Ryan Zimmerman,Brian Dozier,Miguel Sano,Jorge Polanco,Robbie Grossman,David Peralta,Andrew Toles
Chris Archer,Amir Garrett,Tony Wolters,Mark Reynolds,Josh Harrison,Nolan Arenado,Jorge Polanco,Jayson Werth,Gerardo Parra,Andrew Toles
Chris Archer,Jesse Chavez,Yasmani Grandal,Adrian Gonzalez,Yangervis Solarte,Anthony Rendon,Corey Seager,Jayson Werth,Billy Hamilton,Yasiel Puig
Chris Archer,Matt Garza,Jose Lobaton,Ryan Zimmerman,DJ LeMahieu,Anthony Rendon,Corey Seager,Jayson Werth,Jason Heyward,Andrew Toles
Chris Archer,Amir Garrett,Yasmani Grandal,Anthony Rizzo,Brian Dozier,Anthony Rendon,Corey Seager,Yasiel Puig,Jason Heyward,Andrew Toles
Chris Archer,Amir Garrett,Jose Lobaton,Ryan Zimmerman,DJ LeMahieu,Justin Turner,Erick Aybar,Adam Eaton,Jayson Werth,Jabari Blash
Chris Archer,Amir Garrett,Miguel Montero,Ryan Zimmerman,Javier Baez,Nolan Arenado,Corey Seager,Kyle Schwarber,Yasiel Puig,Jason Heyward
Chris Archer,Amir Garrett,Yasmani Grandal,Mark Reynolds,DJ LeMahieu,Mike Moustakas,Corey Seager,Carlos Gonzalez,Gerardo Parra,Yasiel Puig
Jesse Chavez,Amir Garrett,Yasmani Grandal,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Jorge Polanco,Adam Eaton,Carlos Gonzalez,Andrew Toles
Chris Archer,Jesse Chavez,Tony Wolters,Adrian Gonzalez,DJ LeMahieu,Nolan Arenado,Jorge Polanco,Gerardo Parra,David Peralta,Yasiel Puig
Jesse Chavez,Amir Garrett,Jose Lobaton,Ryan Zimmerman,Daniel Murphy,Nolan Arenado,Jordy Mercer,Adam Eaton,AJ Pollock,Jason Heyward
Chris Archer,Jesse Chavez,Tony Wolters,Ryan Zimmerman,DJ LeMahieu,Mike Moustakas,Corey Seager,Charlie Blackmon,Gerardo Parra,Andrew Toles
Chris Archer,Amir Garrett,Yasmani Grandal,Ryan Zimmerman,Brandon Drury,Nolan Arenado,Jordy Mercer,AJ Pollock,Yasmany Tomas,David Peralta
Chris Archer,Jesse Chavez,Jose Lobaton,Ryan Zimmerman,Josh Harrison,Jake Lamb,Jordy Mercer,Jayson Werth,Michael Taylor,Jason Heyward
Chris Archer,Jesse Chavez,Yasmani Grandal,Joey Votto,Brian Dozier,Justin Turner,Corey Seager,Billy Hamilton,AJ Pollock,Andrew Toles
Jesse Chavez,Amir Garrett,Miguel Montero,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Jorge Polanco,Carlos Gonzalez,Jayson Werth,Scott Schebler
Chris Archer,Amir Garrett,Miguel Montero,Anthony Rizzo,Ben Zobrist,Nolan Arenado,Jordy Mercer,Kyle Schwarber,David Peralta,Andrew Toles
Chris Archer,Jhoulys Chacin,Yasmani Grandal,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Jordy Mercer,Jayson Werth,Yasiel Puig,Jason Heyward
Chris Archer,Jason Vargas,Yasmani Grandal,Adrian Gonzalez,DJ LeMahieu,Justin Turner,Jorge Polanco,Jayson Werth,AJ Pollock,Yasiel Puig
Chris Archer,Tyler Anderson,Chris Gimenez,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Corey Seager,Kyle Schwarber,Gerardo Parra,Jason Heyward
Chris Archer,Jesse Chavez,Francisco Cervelli,Ryan Zimmerman,Josh Harrison,Nolan Arenado,Jordy Mercer,Andrew McCutchen,Kyle Schwarber,Yasiel Puig
Chris Archer,Jason Vargas,Jose Lobaton,Joey Votto,DJ LeMahieu,Justin Turner,Corey Seager,David Peralta,Yasiel Puig,Andrew Toles
Chris Archer,Jesse Chavez,Jose Lobaton,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Erick Aybar,Kyle Schwarber,Jason Heyward,Jabari Blash
