"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs","RankTargets","RollingTargetPctg"
"RB","Le'Veon Bell (8009308)","Le'Veon Bell",8009308,10400,"Cle@Pit 01:00PM ET","Pit","Le'Veon","Bell","Cle",0,0,NA,NA,NA,NA,NA,NA,NA
"RB","David Johnson (8009319)","David Johnson",8009319,9800,"Ari@LA 04:25PM ET","Ari","David","Johnson","LA",25.2,25.4,81,119,4,2,3,2,0.217550274223035
"WR","Odell Beckham Jr. (8009381)","Odell Beckham Jr.",8009381,9000,"NYG@Was 04:25PM ET","NYG","Odell","Beckham","Was",11.48,9.8,99,173,10,1,1,1,0.295726495726496
"RB","LeSean McCoy (8009292)","LeSean McCoy",8009292,8900,"Buf@NYJ 01:00PM ET","Buf","LeSean","McCoy","NYJ",20.04,15.5,51,59,1,2,5,4,0.131403118040089
"WR","Antonio Brown (8009478)","Antonio Brown",8009478,8700,"Cle@Pit 01:00PM ET","Pit","Antonio","Brown","Cle",0,0,110,164,13,1,1,1,0.287719298245614
"WR","Julio Jones (8009351)","Julio Jones",8009351,8400,"NO@Atl 04:25PM ET","Atl","Julio","Jones","NO",20.39,22.1,78,123,5,1,2,1,0.240704500978474
"WR","Jordy Nelson (8009408)","Jordy Nelson",8009408,8100,"GB@Det 08:30PM ET","GB","Jordy","Nelson","Det",19.9,21.2,94,153,14,1,1,1,0.258445945945946
"WR","Mike Evans (8009403)","Mike Evans",8009403,8000,"Car@TB 01:00PM ET","TB","Mike","Evans","Car",19.79,22.8,95,165,11,1,1,1,0.303308823529412
"QB","Aaron Rodgers (8009146)","Aaron Rodgers",8009146,7700,"GB@Det 08:30PM ET","GB","Aaron","Rodgers","Det",23.08,22.4,NA,NA,NA,NA,NA,NA,NA
"RB","Melvin Gordon (8009335)","Melvin Gordon",8009335,7700,"KC@SD 04:25PM ET","SD","Melvin","Gordon","KC",0,0,42,58,2,5,6,5,0.109433962264151
"QB","Drew Brees (8009120)","Drew Brees",8009120,7600,"NO@Atl 04:25PM ET","NO","Drew","Brees","Atl",20,23,NA,NA,NA,NA,NA,NA,NA
"WR","T.Y. Hilton (8009420)","T.Y. Hilton",8009420,7600,"Jax@Ind 01:00PM ET","Ind","T.Y.","Hilton","Jax",18.66,17.1,89,152,7,1,2,1,0.271914132379249
"QB","Matt Ryan (8009121)","Matt Ryan",8009121,7400,"NO@Atl 04:25PM ET","Atl","Matt","Ryan","NO",21.52,22.7,NA,NA,NA,NA,NA,NA,NA
"RB","Ezekiel Elliott (8009305)","Ezekiel Elliott",8009305,7400,"Dal@Phi 01:00PM ET","Dal","Ezekiel","Elliott","Phi",8.81,7.2,32,40,1,5,6,5,0.0856531049250535
"QB","Ben Roethlisberger (8009179)","Ben Roethlisberger",8009179,7300,"Cle@Pit 01:00PM ET","Pit","Ben","Roethlisberger","Cle",0,0,NA,NA,NA,NA,NA,NA,NA
"QB","Tom Brady (8009156)","Tom Brady",8009156,7200,"NE@Mia 01:00PM ET","NE","Tom","Brady","Mia",19.09,19.2,NA,NA,NA,NA,NA,NA,NA
"WR","Doug Baldwin (8009524)","Doug Baldwin",8009524,7200,"Sea@SF 04:25PM ET","Sea","Doug","Baldwin","SF",16.63,16,94,129,7,1,1,1,0.26008064516129
"RB","Devonta Freeman (8009213)","Devonta Freeman",8009213,7000,"NO@Atl 04:25PM ET","Atl","Devonta","Freeman","NO",16.19,15.9,51,62,2,3,7,3,0.12133072407045
"WR","Brandin Cooks (8009358)","Brandin Cooks",8009358,6900,"NO@Atl 04:25PM ET","NO","Brandin","Cooks","Atl",15.25,16.4,77,113,9,2,1,1,0.180223285486443
"WR","A.J. Green (8009367)","A.J. Green",8009367,6800,"Bal@Cin 01:00PM ET","Cin","A.J.","Green","Bal",0,0,68,108,4,1,3,1,0.200743494423792
"RB","Jordan Howard (8009287)","Jordan Howard",8009287,6800,"Chi@Min 01:00PM ET","Chi","Jordan","Howard","Min",14.27,15.6,32,54,1,5,6,4,0.0983606557377049
