"Ryan Braun_Mil","Dexter Fowler_StL","Matt Carpenter_StL","Lorenzo Cain_KC","Jonathan Villar_Mil","Aledmys Diaz_StL","Stephen Piscotty_StL","Eric Hosmer_KC","Rougned Odor_Tex","Shin-Soo Choo_Tex","Adrian Beltre_Tex","Randal Grichuk_StL","Jonathan Lucroy_Tex","Alex Gordon_KC","Mike Napoli_Tex","Brandon Moss_KC","Carlos Gomez_Tex","Jorge Soler_KC","Jedd Gyorko_StL","Whit Merrifield_KC","Elvis Andrus_Tex","Peter O'Brien_KC","Yadier Molina_StL","Keon Broxton_Mil","Salvador Perez_KC","Nomar Mazara_Tex","Eric Thames_Mil","Domingo Santana_Mil","Cheslor Cuthbert_KC","Joey Gallo_Tex","Alcides Escobar_KC","Mike Moustakas_KC","Paulo Orlando_KC","Billy Burns_KC","Jhonny Peralta_StL","Travis Shaw_Mil","Hernan Perez_Mil","Delino DeShields_Tex","Orlando Arcia_Mil","Matt Adams_StL","Kolten Wong_StL","Nick Franklin_Mil","Jurickson Profar_Tex","Jesus Aguilar_Mil","Harrison Bader_StL","Ryan O'Hearn_KC","Jose Martinez_StL","Robinson Chirinos_Tex","Terrance Gore_KC","Andrew Susac_Mil","Greg Garcia_StL","Kirk Nieuwenhuis_Mil","Brett Nicholas_Tex","Christian Colon_KC","Ryan Rua_Tex","Manny Pina_Mil","Carson Kelly_StL","Raul Mondesi_KC","Eric Fryer_StL","Jett Bandy_Mil","Hanser Alberto_Tex","Drew Butera_KC","Drew Robinson_Tex"
79.7272727272727,0,0,0,-28.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.4722222222222,0,0,44.7916666666667,6.42222222222222,0,0,0,0,0,0,0,-18.1181818181818,-17.1,0,-2.90909090909091,0,0,0,0,-12.5,0,0,0,0,0,0,0,9,0,0,0,12.2142857142857,0,0,0,94.7,0,0,0
0,68.7435897435897,-10.0444444444444,0,0,24.9454545454545,-6.31818181818182,0,0,0,0,-1.61818181818182,0,0,0,0,0,0,-22.047619047619,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,6.25,-13.9166666666667,0,0,0,0,0,4.25,0,0,0,-23.55,0,0,0,0,0,0,0,7,0,0,0,0
0,-10.0444444444444,26.6222222222222,0,0,7.48214285714286,7.625,0,0,0,0,12.9821428571429,0,0,0,0,0,0,-2,0,0,0,1.125,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,-1.75,-5.5,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,16.2545454545455,0,0,0,-2.5,0,0,0,0,0,0.172727272727273,0,-14.0357142857143,0,0,0,-42,0,0,0,0,4.15454545454545,0,0,0,2.83333333333333,0,-2.20909090909091,-2.05555555555556,4.83333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,8.76785714285714,0,0,0,0,0
-28.3,0,0,0,100.102564102564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411111111111111,0,0,-38.6666666666667,-1.62222222222222,0,0,0,0,0,0,0,-19.4848484848485,3.9,0,8.25,0,0,0,0,-36.6666666666667,0,0,0,0,0,0,0,5.33333333333333,0,0,0,51.4666666666667,0,0,0,-4.66666666666667,0,0,0
0,24.9454545454545,7.48214285714286,0,0,147.072727272727,-6.27777777777778,0,0,0,0,37.5909090909091,0,0,0,0,0,0,28.05,0,0,0,19.4,0,0,0,0,0,0,0,0,0,0,0,-3.73809523809524,0,0,0,0,55.5,-7.76190476190476,0,0,0,0,0,7.08333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-6.31818181818182,7.625,0,0,-6.27777777777778,71.969696969697,0,0,0,0,-5.47777777777778,0,0,0,0,0,0,29.6,0,0,0,4.57777777777778,0,0,0,0,0,0,0,0,0,0,0,5.47619047619048,0,0,0,0,-15.5,-11.1428571428571,0,0,0,0,0,-6.8,0,0,0,45.45,0,0,0,0,0,0,0,27,0,0,0,0
0,0,0,-2.5,0,0,0,18,0,0,0,0,0,8.3,0,8.25,0,0,0,-21,0,0,0,0,8.5,0,0,0,46.75,0,-0.6,2.375,1.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,0,0,0,0.910714285714286,0,0,0,0,0
0,0,0,0,0,0,0,0,32.4102564102564,14.7272727272727,0,0,3.06666666666667,0,7.69871794871795,0,25.6153846153846,0,0,0,3.98076923076923,0,0,0,0,33.7307692307692,0,0,0,-0.724358974358974,0,0,0,0,0,0,0,0,0,0,0,0,1.21428571428571,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14.7272727272727,66.0606060606061,0,0,21.8611111111111,0,-6.87878787878788,0,11.0909090909091,0,0,0,-11.9090909090909,0,0,0,0,53.5151515151515,0,0,0,-15.2424242424242,0,0,0,0,0,0,0,0,0,0,0,0,14.2857142857143,0,0,0,0,45,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
